"","小区名","地区","道路","厅室","面积","层数","联系人","月租"
"1","润华苑","福田-梅林","梅林路18号","1室1厅","20","11/23","熊瑜",1980
"2","梅林阁","福田-梅林","梅林路","1室1厅","22","24/31","熊瑜",1930
"3","特发和平里","龙华-民治","和平路西399号","1室1厅","25","18/38","刘欢",2970
"4","瑞铧苑","南山-后海","龙城路","1室1厅","29","26/28","马莉娟",1200
"5","锦州花园","福田-新洲","新洲三街168号","1室1厅","35","18/27","高其阳",1550
"6","布吉中心花园","龙岗-布吉","政清路","1室1厅","45","2/27","何广武",2690
"7","南航明珠花园","宝安-西乡","航空路","1室1厅","43","10/16","潘耀栋",3300
"8","荔林苑","福田-农科中心","红荔西路8076号","1室1厅","29","16/29","高其阳",2300
"9","下围园新村一巷22号小区","宝安-西乡","下围园新村一巷22号","1室1厅","20","5/8","熊佳威",2580
"10","联富华庭","龙华-大浪","清泉路","1室1厅","42","6/16","万志琼",1380
"11","苹果园","龙华-民治","龙胜路","1室1厅","42","15/17","鲁和文",1600
"12","紫荆花园","罗湖-草埔","金稻田路","1室0厅","28","2/6","余小玲",1880
"13","泰安轩","福田-车公庙","泰然四路","1室1厅","48","12/18","罗京",3200
"14","裕富苑","宝安-沙井","上星路102号","1室1厅","46","9/12","张小凤",4800
"15","梅林街道办综合楼","福田-梅林","梅华路124号","1室1厅","22","12/27","熊瑜",3000
"16","绿化大厦","福田-梅林","环林街2号","1室1厅","21","7/23","黄宝春",1860
"17","荔林春晓","南山-南山中心","南山大道2118号","1室1厅","30","18/29","董永",4000
"18","纯海岸雅居","南山-科技园","高新南环路","1室1厅","33","17/23","姚瑶",2590
"19","祠堂村","福田-新洲","新南街","1室1厅","30","20/24","高其阳",3140
"20","丹枫雅苑","龙华-龙华中心区","建设路","1室1厅","48","8/18","倪超",3000
"21","盐田新一村","宝安-西乡","西乡大道","1室1厅","30","4/6","刘小红",3180
"22","南贸花园","南山-南头","南新路3012号","1室1厅","45","5/8","杨旦",1800
"23","景梅新村","福田-景田","景田北三街","1室0厅","30","3/7","刘泉",1900
"24","佳嘉豪苑","南山-南油","海德一道","1室1厅","38","3/37","马莉娟",2960
"25","合正园","福田-梅林","梅华路181号","1室1厅","24","18/21","游有盛",1040
"26","华荣路58号小区","龙华-大浪","华荣路58号","1室0厅","32","4/4","桂敏翠",5600
"27","泰安轩","福田-车公庙","泰然四路","1室1厅","39","13/30","黄丽露",3200
"28","香珠花园","福田-农科中心","农轩路29号","1室1厅","27","13/26","高其阳",4899
"29","青年城邦园","龙华-龙华中心区","和平路","1室1厅","11","13/24","李娟",2810
"30","君汇新天","南山-后海","中心路2269号","1室1厅","38","2/38","马莉娟",6400
"31","华讯中心","罗湖-蔡屋围","宝安南路,近红桂横街","1室1厅","50","30/45","王玉铎",3800
"32","TATA公寓","宝安-新安","新安三路","1室1厅","32","2/9","王水燕",2680
"33","特发和平里","龙华-民治","和平路西399号","1室2厅","65","12/26","仲未强",3000
"34","天海花园","南山-后海","粤琴一路22号","1室1厅","34","7/29","马莉娟",2780
"35","彩天名苑","福田-岗厦","彩田路","1室1厅","36","19/32","程放",2030
"36","星河传奇","龙华-民治","民塘路","1室2厅","66","12/30","杨军祥",3500
"37","翠隆花园","龙岗-布吉","布龙路","1室1厅","15","3/19","何叶珍",1920
"38","红梅苑","福田-梅林","西横街133号","1室1厅","26","20/25","熊瑜",2600
"39","招商澜园南区","龙华-龙华区政府","大和路","1室1厅","65","8/16","肖泽权",1900
"40","梅林华景花园","福田-梅林","梅华路","1室1厅","22","18/26","黄宝春",2900
"41","华南西苑","龙岗-平湖","平吉大道北295号","1室1厅","60","25/26","许茂林",1930
"42","松坪村梅苑","南山-科技园","松坪山路14号","1室1厅","31","13/31","姚瑶",2860
"43","新塘村","南山-华侨城","沙河东路","1室1厅","41","25/28","段少英",1960
"44","银华大厦","福田-笔架山","福田区槟榔道20号","1室1厅","14","1/14","王敏",1910
"45","卡罗社区","宝安-宝安中心","裕安一路","1室1厅","55","5/16","王水燕",2900
"46","松坪村竹苑","南山-科技园","松坪街3号","1室1厅","33","8/25","姚瑶",2020
"47","宝星智荟城(商住楼)","宝安-桃源居","洲石路,近前进二路","1室1厅","38","12/14","易嘉亮",3500
"48","恒盛居","福田-梅林","新洲路","1室1厅","21","10/29","熊瑜",5800
"49","万科第五园(四期)","龙岗-坂田","南坑北路","1室1厅","45","11/18","葛昊",2340
"50","荔树人家","福田-上下沙","福强路32号","1室0厅","16","13/31","高其阳",2220
"51","传麒景苑","福田-景田","北环大道7011号","1室1厅","45","22/32","黎承",4800
"52","葵花公寓","福田-石厦","石厦北一街16号","1室1厅","60","17/31","王博",4000
"53","通博花园","龙华-民治","樟坑一区184号","1室0厅","25","6/14","林泽斯",3700
"54","南方证券大厦","罗湖-国贸","建设路2016号","1室0厅","35","11/29","李观生",2090
"55","星座传奇","福田-石厦","石厦北八街3号","1室1厅","44","33/33","张钰",2650
"56","领尚华府","宝安-西乡","航城大道6-1号","1室2厅","52","4/31","郭晓丽",2810
"57","大冲新城花园","南山-科技园","科发路","1室1厅","50","3/39","赵霖",2480
"58","荣德国际城市综合体","龙岗-横岗","龙岗大道","1室1厅","45","16/27","王皆",2010
