Gregorian-Lunar Calendar Conversion Table of 1904 (Jia-chen ¡V year of the Dragon)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1904/01/01     14                  Friday                             
1904/01/02     15                  Saturday                           
1904/01/03     16                  Sunday                             
1904/01/04     17                  Monday                             
1904/01/05     18                  Tuesday                            
1904/01/06     19                  Wednesday                          
1904/01/07     20                  Thursday       Moderate Cold       
1904/01/08     21                  Friday                             
1904/01/09     22                  Saturday                           
1904/01/10     23                  Sunday                             
1904/01/11     24                  Monday                             
1904/01/12     25                  Tuesday                            
1904/01/13     26                  Wednesday                          
1904/01/14     27                  Thursday                           
1904/01/15     28                  Friday                             
1904/01/16     29                  Saturday                           
1904/01/17     12th Lunar month    Sunday                             
1904/01/18     2                   Monday                             
1904/01/19     3                   Tuesday                            
1904/01/20     4                   Wednesday                          
1904/01/21     5                   Thursday       Severe Cold         
1904/01/22     6                   Friday                             
1904/01/23     7                   Saturday                           
1904/01/24     8                   Sunday                             
1904/01/25     9                   Monday                             
1904/01/26     10                  Tuesday                            
1904/01/27     11                  Wednesday                          
1904/01/28     12                  Thursday                           
1904/01/29     13                  Friday                             
1904/01/30     14                  Saturday                           
1904/01/31     15                  Sunday                             
1904/02/01     16                  Monday                             
1904/02/02     17                  Tuesday                            
1904/02/03     18                  Wednesday                          
1904/02/04     19                  Thursday                           
1904/02/05     20                  Friday         Spring Commences    
1904/02/06     21                  Saturday                           
1904/02/07     22                  Sunday                             
1904/02/08     23                  Monday                             
1904/02/09     24                  Tuesday                            
1904/02/10     25                  Wednesday                          
1904/02/11     26                  Thursday                           
1904/02/12     27                  Friday                             
1904/02/13     28                  Saturday                           
1904/02/14     29                  Sunday                             
1904/02/15     30                  Monday                             
1904/02/16     1st Lunar month     Tuesday                            
1904/02/17     2                   Wednesday                          
1904/02/18     3                   Thursday                           
1904/02/19     4                   Friday                             
1904/02/20     5                   Saturday       Spring Showers      
1904/02/21     6                   Sunday                             
1904/02/22     7                   Monday                             
1904/02/23     8                   Tuesday                            
1904/02/24     9                   Wednesday                          
1904/02/25     10                  Thursday                           
1904/02/26     11                  Friday                             
1904/02/27     12                  Saturday                           
1904/02/28     13                  Sunday                             
1904/02/29     14                  Monday                             
1904/03/01     15                  Tuesday                            
1904/03/02     16                  Wednesday                          
1904/03/03     17                  Thursday                           
1904/03/04     18                  Friday                             
1904/03/05     19                  Saturday                           
1904/03/06     20                  Sunday         Insects Waken       
1904/03/07     21                  Monday                             
