Gregorian-Lunar Calendar Conversion Table of 1906 (Bing-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1906/01/01     7                   Monday                             
1906/01/02     8                   Tuesday                            
1906/01/03     9                   Wednesday                          
1906/01/04     10                  Thursday                           
1906/01/05     11                  Friday                             
1906/01/06     12                  Saturday       Moderate Cold       
1906/01/07     13                  Sunday                             
1906/01/08     14                  Monday                             
1906/01/09     15                  Tuesday                            
1906/01/10     16                  Wednesday                          
1906/01/11     17                  Thursday                           
1906/01/12     18                  Friday                             
1906/01/13     19                  Saturday                           
1906/01/14     20                  Sunday                             
1906/01/15     21                  Monday                             
1906/01/16     22                  Tuesday                            
1906/01/17     23                  Wednesday                          
1906/01/18     24                  Thursday                           
1906/01/19     25                  Friday                             
1906/01/20     26                  Saturday                           
1906/01/21     27                  Sunday         Severe Cold         
1906/01/22     28                  Monday                             
1906/01/23     29                  Tuesday                            
1906/01/24     30                  Wednesday                          
1906/01/25     1st Lunar month     Thursday                           
1906/01/26     2                   Friday                             
1906/01/27     3                   Saturday                           
1906/01/28     4                   Sunday                             
1906/01/29     5                   Monday                             
1906/01/30     6                   Tuesday                            
1906/01/31     7                   Wednesday                          
1906/02/01     8                   Thursday                           
1906/02/02     9                   Friday                             
1906/02/03     10                  Saturday                           
1906/02/04     11                  Sunday                             
1906/02/05     12                  Monday         Spring Commences    
1906/02/06     13                  Tuesday                            
1906/02/07     14                  Wednesday                          
1906/02/08     15                  Thursday                           
1906/02/09     16                  Friday                             
1906/02/10     17                  Saturday                           
1906/02/11     18                  Sunday                             
1906/02/12     19                  Monday                             
1906/02/13     20                  Tuesday                            
1906/02/14     21                  Wednesday                          
1906/02/15     22                  Thursday                           
1906/02/16     23                  Friday                             
1906/02/17     24                  Saturday                           
1906/02/18     25                  Sunday                             
1906/02/19     26                  Monday         Spring Showers      
1906/02/20     27                  Tuesday                            
1906/02/21     28                  Wednesday                          
1906/02/22     29                  Thursday                           
1906/02/23     2nd Lunar month     Friday                          
1906/02/24     2                   Saturday                           
1906/02/25     3                   Sunday                             
1906/02/26     4                   Monday                             
1906/02/27     5                   Tuesday                            
1906/02/28     6                   Wednesday                          
1906/03/01     7                   Thursday                           
1906/03/02     8                   Friday                             
1906/03/03     9                   Saturday                           
1906/03/04     10                  Sunday                             
1906/03/05     11                  Monday                             
1906/03/06     12                  Tuesday        Insects Waken       
1906/03/07     13                  Wednesday                          
1906/03/08     14                  Thursday                           
1906/03/09     15                  Friday                             
1906/03/10     16                  Saturday                           
1906/03/11     17                  Sunday                             
1906/03/12     18                  Monday                             
1906/03/13     19                  Tuesday                            
1906/03/14     20                  Wednesday                          
1906/03/15     21                  Thursday                           
1906/03/16     22                  Friday                             
1906/03/17     23                  Saturday                           
1906/03/18     24                  Sunday                             
1906/03/19     25                  Monday                             
1906/03/20     26                  Tuesday                            
1906/03/21     27                  Wednesday      Vernal Equinox      
1906/03/22     28                  Thursday                           
1906/03/23     29                  Friday                             
1906/03/24     30                  Saturday                           
1906/03/25     3rd Lunar month     Sunday                             
1906/03/26     2                   Monday                             
1906/03/27     3                   Tuesday                            
1906/03/28     4                   Wednesday                          
1906/03/29     5                   Thursday                           
1906/03/30     6                   Friday                             
1906/03/31     7                   Saturday                           
1906/04/01     8                   Sunday                             
1906/04/02     9                   Monday                             
1906/04/03     10                  Tuesday                            
1906/04/04     11                  Wednesday                          
1906/04/05     12                  Thursday                           
1906/04/06     13                  Friday         Bright & Clear      
1906/04/07     14                  Saturday                           
1906/04/08     15                  Sunday                             
1906/04/09     16                  Monday                             
1906/04/10     17                  Tuesday                            
1906/04/11     18                  Wednesday                          
1906/04/12     19                  Thursday                           
1906/04/13     20                  Friday                             
1906/04/14     21                  Saturday                           
1906/04/15     22                  Sunday                             
1906/04/16     23                  Monday                             
1906/04/17     24                  Tuesday                            
1906/04/18     25                  Wednesday                          
1906/04/19     26                  Thursday                           
1906/04/20     27                  Friday                             
1906/04/21     28                  Saturday       Corn Rain           
1906/04/22     29                  Sunday                             
1906/04/23     30                  Monday                             
1906/04/24     4th Lunar month     Tuesday                            
1906/04/25     2                   Wednesday                          
1906/04/26     3                   Thursday                           
1906/04/27     4                   Friday                             
1906/04/28     5                   Saturday                           
1906/04/29     6                   Sunday                             
1906/04/30     7                   Monday                             
1906/05/01     8                   Tuesday                            
1906/05/02     9                   Wednesday                          
1906/05/03     10                  Thursday                           
1906/05/04     11                  Friday                             
1906/05/05     12                  Saturday                           
