Gregorian-Lunar Calendar Conversion Table of 1913 (Gui-chou ¡V year of the Ox)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1913/01/01     24                  Wednesday                          
1913/01/02     25                  Thursday                           
1913/01/03     26                  Friday                             
1913/01/04     27                  Saturday                           
1913/01/05     28                  Sunday                             
1913/01/06     29                  Monday         Moderate Cold       
1913/01/07     12th Lunar month    Tuesday                            
1913/01/08     2                   Wednesday                          
1913/01/09     3                   Thursday                           
1913/01/10     4                   Friday                             
1913/01/11     5                   Saturday                           
1913/01/12     6                   Sunday                             
1913/01/13     7                   Monday                             
1913/01/14     8                   Tuesday                            
1913/01/15     9                   Wednesday                          
1913/01/16     10                  Thursday                           
1913/01/17     11                  Friday                             
1913/01/18     12                  Saturday                           
1913/01/19     13                  Sunday                             
1913/01/20     14                  Monday         Severe Cold         
1913/01/21     15                  Tuesday                            
1913/01/22     16                  Wednesday                          
1913/01/23     17                  Thursday                           
1913/01/24     18                  Friday                             
1913/01/25     19                  Saturday                           
1913/01/26     20                  Sunday                             
1913/01/27     21                  Monday                             
1913/01/28     22                  Tuesday                            
1913/01/29     23                  Wednesday                          
1913/01/30     24                  Thursday                           
1913/01/31     25                  Friday                             
1913/02/01     26                  Saturday                           
1913/02/02     27                  Sunday                             
1913/02/03     28                  Monday                             
1913/02/04     29                  Tuesday        Spring Commences    
1913/02/05     30                  Wednesday                          
1913/02/06     1st Lunar month     Thursday                           
1913/02/07     2                   Friday                             
1913/02/08     3                   Saturday                           
1913/02/09     4                   Sunday                             
1913/02/10     5                   Monday                             
1913/02/11     6                   Tuesday                            
1913/02/12     7                   Wednesday                          
1913/02/13     8                   Thursday                           
1913/02/14     9                   Friday                             
1913/02/15     10                  Saturday                           
1913/02/16     11                  Sunday                             
1913/02/17     12                  Monday                             
1913/02/18     13                  Tuesday                            
1913/02/19     14                  Wednesday      Spring Showers      
1913/02/20     15                  Thursday                           
1913/02/21     16                  Friday                             
1913/02/22     17                  Saturday                           
1913/02/23     18                  Sunday                             
1913/02/24     19                  Monday                             
1913/02/25     20                  Tuesday                            
1913/02/26     21                  Wednesday                          
1913/02/27     22                  Thursday                           
1913/02/28     23                  Friday                             
1913/03/01     24                  Saturday                           
1913/03/02     25                  Sunday                             
1913/03/03     26                  Monday                             
1913/03/04     27                  Tuesday                            
1913/03/05     28                  Wednesday                          
1913/03/06     29                  Thursday       Insects Waken       
1913/03/07     30                  Friday                             
1913/03/08     2nd Lunar month     Saturday                           
1913/03/09     2                   Sunday                             
1913/03/10     3                   Monday                             
1913/03/11     4                   Tuesday                            
