Gregorian-Lunar Calendar Conversion Table of 1914 (Jia-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1914/01/01     6                   Thursday                           
1914/01/02     7                   Friday                             
1914/01/03     8                   Saturday                           
1914/01/04     9                   Sunday                             
1914/01/05     10                  Monday                             
1914/01/06     11                  Tuesday        Moderate Cold       
1914/01/07     12                  Wednesday                          
1914/01/08     13                  Thursday                           
1914/01/09     14                  Friday                             
1914/01/10     15                  Saturday                           
1914/01/11     16                  Sunday                             
1914/01/12     17                  Monday                             
1914/01/13     18                  Tuesday                            
1914/01/14     19                  Wednesday                          
1914/01/15     20                  Thursday                           
1914/01/16     21                  Friday                             
1914/01/17     22                  Saturday                           
1914/01/18     23                  Sunday                             
1914/01/19     24                  Monday                             
1914/01/20     25                  Tuesday                            
1914/01/21     26                  Wednesday      Severe Cold         
1914/01/22     27                  Thursday                           
1914/01/23     28                  Friday                             
1914/01/24     29                  Saturday                           
1914/01/25     30                  Sunday                             
1914/01/26     1st Lunar month     Monday                             
1914/01/27     2                   Tuesday                            
1914/01/28     3                   Wednesday                          
1914/01/29     4                   Thursday                           
1914/01/30     5                   Friday                             
1914/01/31     6                   Saturday                           
1914/02/01     7                   Sunday                             
1914/02/02     8                   Monday                             
1914/02/03     9                   Tuesday                            
1914/02/04     10                  Wednesday      Spring Commences    
1914/02/05     11                  Thursday                           
1914/02/06     12                  Friday                             
1914/02/07     13                  Saturday                           
1914/02/08     14                  Sunday                             
1914/02/09     15                  Monday                             
1914/02/10     16                  Tuesday                            
1914/02/11     17                  Wednesday                          
1914/02/12     18                  Thursday                           
1914/02/13     19                  Friday                             
1914/02/14     20                  Saturday                           
1914/02/15     21                  Sunday                             
1914/02/16     22                  Monday                             
1914/02/17     23                  Tuesday                            
1914/02/18     24                  Wednesday                          
1914/02/19     25                  Thursday       Spring Showers      
1914/02/20     26                  Friday                             
1914/02/21     27                  Saturday                           
1914/02/22     28                  Sunday                             
1914/02/23     29                  Monday                          
1914/02/24     30                  Tuesday                            
1914/02/25     2nd Lunar month     Wednesday                          
1914/02/26     2                   Thursday                           
1914/02/27     3                   Friday                             
1914/02/28     4                   Saturday                           
1914/03/01     5                   Sunday                             
1914/03/02     6                   Monday                             
1914/03/03     7                   Tuesday                            
1914/03/04     8                   Wednesday                          
1914/03/05     9                   Thursday                           
1914/03/06     10                  Friday         Insects Waken       
1914/03/07     11                  Saturday                           
1914/03/08     12                  Sunday                             
1914/03/09     13                  Monday                             
1914/03/10     14                  Tuesday                            
1914/03/11     15                  Wednesday                          
1914/03/12     16                  Thursday                           
1914/03/13     17                  Friday                             
1914/03/14     18                  Saturday                           
1914/03/15     19                  Sunday                             
1914/03/16     20                  Monday                             
1914/03/17     21                  Tuesday                            
1914/03/18     22                  Wednesday                          
1914/03/19     23                  Thursday                           
1914/03/20     24                  Friday                             
1914/03/21     25                  Saturday       Vernal Equinox      
1914/03/22     26                  Sunday                             
1914/03/23     27                  Monday                             
1914/03/24     28                  Tuesday                            
1914/03/25     29                  Wednesday                          
1914/03/26     30                  Thursday                           
1914/03/27     3rd Lunar month     Friday                             
1914/03/28     2                   Saturday                           
1914/03/29     3                   Sunday                             
1914/03/30     4                   Monday                             
1914/03/31     5                   Tuesday                            
1914/04/01     6                   Wednesday                          
1914/04/02     7                   Thursday                           
1914/04/03     8                   Friday                             
1914/04/04     9                   Saturday                           
1914/04/05     10                  Sunday         Bright & Clear      
1914/04/06     11                  Monday                             
1914/04/07     12                  Tuesday                            
1914/04/08     13                  Wednesday                          
1914/04/09     14                  Thursday                           
1914/04/10     15                  Friday                             
1914/04/11     16                  Saturday                           
1914/04/12     17                  Sunday                             
1914/04/13     18                  Monday                             
1914/04/14     19                  Tuesday                            
1914/04/15     20                  Wednesday                          
1914/04/16     21                  Thursday                           
1914/04/17     22                  Friday                             
1914/04/18     23                  Saturday                           
1914/04/19     24                  Sunday                             
1914/04/20     25                  Monday                             
1914/04/21     26                  Tuesday        Corn Rain           
1914/04/22     27                  Wednesday                          
1914/04/23     28                  Thursday                           
1914/04/24     29                  Friday                             
1914/04/25     4th Lunar month     Saturday                           
1914/04/26     2                   Sunday                             
1914/04/27     3                   Monday                             
1914/04/28     4                   Tuesday                            
1914/04/29     5                   Wednesday                          
1914/04/30     6                   Thursday                           
1914/05/01     7                   Friday                             
1914/05/02     8                   Saturday                           
1914/05/03     9                   Sunday                             
1914/05/04     10                  Monday                             
1914/05/05     11                  Tuesday                            
1914/05/06     12                  Wednesday      Summer Commences    
1914/05/07     13                  Thursday                           
1914/05/08     14                  Friday                             
1914/05/09     15                  Saturday                           
1914/05/10     16                  Sunday                             
1914/05/11     17                  Monday                             
1914/05/12     18                  Tuesday                            
1914/05/13     19                  Wednesday                          
1914/05/14     20                  Thursday                           
1914/05/15     21                  Friday                             
1914/05/16     22                  Saturday                           
1914/05/17     23                  Sunday                             
1914/05/18     24                  Monday                             
1914/05/19     25                  Tuesday                            
1914/05/20     26                  Wednesday                          
1914/05/21     27                  Thursday                           
1914/05/22     28                  Friday         Corn Forms          
1914/05/23     29                  Saturday                           
1914/05/24     30                  Sunday                             
1914/05/25     5th Lunar month     Monday                             
1914/05/26     2                   Tuesday                            
1914/05/27     3                   Wednesday                          
1914/05/28     4                   Thursday                           
1914/05/29     5                   Friday                             
1914/05/30     6                   Saturday                           
1914/05/31     7                   Sunday                             
1914/06/01     8                   Monday                             
1914/06/02     9                   Tuesday                            
1914/06/03     10                  Wednesday                          
1914/06/04     11                  Thursday                           
1914/06/05     12                  Friday                             
1914/06/06     13                  Saturday       Corn on Ear         
1914/06/07     14                  Sunday                             
1914/06/08     15                  Monday                             
1914/06/09     16                  Tuesday                            
1914/06/10     17                  Wednesday                          
1914/06/11     18                  Thursday                           
1914/06/12     19                  Friday                             
1914/06/13     20                  Saturday                           
1914/06/14     21                  Sunday                             
1914/06/15     22                  Monday                             
1914/06/16     23                  Tuesday                            
1914/06/17     24                  Wednesday                          
