Gregorian-Lunar Calendar Conversion Table of 1919 (Ji-wei ¡V year of the Goat)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1919/01/01     30                  Wednesday                          
1919/01/02     12th Lunar month    Thursday                           
1919/01/03     2                   Friday                             
1919/01/04     3                   Saturday                           
1919/01/05     4                   Sunday                             
1919/01/06     5                   Monday         Moderate Cold       
1919/01/07     6                   Tuesday                            
1919/01/08     7                   Wednesday                          
1919/01/09     8                   Thursday                           
1919/01/10     9                   Friday                             
1919/01/11     10                  Saturday                           
1919/01/12     11                  Sunday                             
1919/01/13     12                  Monday                             
1919/01/14     13                  Tuesday                            
1919/01/15     14                  Wednesday                          
1919/01/16     15                  Thursday                           
1919/01/17     16                  Friday                             
1919/01/18     17                  Saturday                           
1919/01/19     18                  Sunday                             
1919/01/20     19                  Monday                             
1919/01/21     20                  Tuesday        Severe Cold         
1919/01/22     21                  Wednesday                          
1919/01/23     22                  Thursday                           
1919/01/24     23                  Friday                             
1919/01/25     24                  Saturday                           
1919/01/26     25                  Sunday                             
1919/01/27     26                  Monday                             
1919/01/28     27                  Tuesday                            
1919/01/29     28                  Wednesday                          
1919/01/30     29                  Thursday                           
1919/01/31     30                  Friday                             
1919/02/01     1st Lunar month     Saturday                           
1919/02/02     2                   Sunday                             
1919/02/03     3                   Monday                             
1919/02/04     4                   Tuesday                            
1919/02/05     5                   Wednesday      Spring Commences    
1919/02/06     6                   Thursday                           
1919/02/07     7                   Friday                             
1919/02/08     8                   Saturday                           
1919/02/09     9                   Sunday                             
1919/02/10     10                  Monday                             
1919/02/11     11                  Tuesday                            
1919/02/12     12                  Wednesday                          
1919/02/13     13                  Thursday                           
1919/02/14     14                  Friday                             
1919/02/15     15                  Saturday                           
1919/02/16     16                  Sunday                             
1919/02/17     17                  Monday                             
1919/02/18     18                  Tuesday                            
1919/02/19     19                  Wednesday                          
1919/02/20     20                  Thursday       Spring Showers      
1919/02/21     21                  Friday                             
1919/02/22     22                  Saturday                           
1919/02/23     23                  Sunday                             
1919/02/24     24                  Monday                             
1919/02/25     25                  Tuesday                            
1919/02/26     26                  Wednesday                          
1919/02/27     27                  Thursday                           
1919/02/28     28                  Friday                             
1919/03/01     29                  Saturday                           
1919/03/02     2nd Lunar month     Sunday                             
1919/03/03     2                   Monday                             
1919/03/04     3                   Tuesday                            
1919/03/05     4                   Wednesday                          
1919/03/06     5                   Thursday       Insects Waken       
1919/03/07     6                   Friday                             
1919/03/08     7                   Saturday                           
1919/03/09     8                   Sunday                             
1919/03/10     9                   Monday                             
