Gregorian-Lunar Calendar Conversion Table of 1922 (Ren-xu ¡V year of the Dog)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1922/01/01     4                   Sunday                             
1922/01/02     5                   Monday                             
1922/01/03     6                   Tuesday                            
1922/01/04     7                   Wednesday                          
1922/01/05     8                   Thursday                           
1922/01/06     9                   Friday         Moderate Cold       
1922/01/07     10                  Saturday                           
1922/01/08     11                  Sunday                             
1922/01/09     12                  Monday                             
1922/01/10     13                  Tuesday                            
1922/01/11     14                  Wednesday                          
1922/01/12     15                  Thursday                           
1922/01/13     16                  Friday                             
1922/01/14     17                  Saturday                           
1922/01/15     18                  Sunday                             
1922/01/16     19                  Monday                             
1922/01/17     20                  Tuesday                            
1922/01/18     21                  Wednesday                          
1922/01/19     22                  Thursday                           
1922/01/20     23                  Friday                             
1922/01/21     24                  Saturday       Severe Cold         
1922/01/22     25                  Sunday                             
1922/01/23     26                  Monday                             
1922/01/24     27                  Tuesday                            
1922/01/25     28                  Wednesday                          
1922/01/26     29                  Thursday                           
1922/01/27     30                  Friday                             
1922/01/28     1st Lunar month     Saturday                           
1922/01/29     2                   Sunday                             
1922/01/30     3                   Monday                             
1922/01/31     4                   Tuesday                            
1922/02/01     5                   Wednesday                          
1922/02/02     6                   Thursday                           
1922/02/03     7                   Friday                             
1922/02/04     8                   Saturday       Spring Commences    
1922/02/05     9                   Sunday                             
1922/02/06     10                  Monday                             
1922/02/07     11                  Tuesday                            
1922/02/08     12                  Wednesday                          
1922/02/09     13                  Thursday                           
1922/02/10     14                  Friday                             
1922/02/11     15                  Saturday                           
1922/02/12     16                  Sunday                             
1922/02/13     17                  Monday                             
1922/02/14     18                  Tuesday                            
1922/02/15     19                  Wednesday                          
1922/02/16     20                  Thursday                           
1922/02/17     21                  Friday                             
1922/02/18     22                  Saturday                           
1922/02/19     23                  Sunday         Spring Showers      
1922/02/20     24                  Monday                             
1922/02/21     25                  Tuesday                            
1922/02/22     26                  Wednesday                          
1922/02/23     27                  Thursday                           
1922/02/24     28                  Friday                             
1922/02/25     29                  Saturday                           
1922/02/26     30                  Sunday                             
1922/02/27     2nd Lunar month     Monday                             
1922/02/28     2                   Tuesday                            
1922/03/01     3                   Wednesday                          
1922/03/02     4                   Thursday                           
1922/03/03     5                   Friday                             
1922/03/04     6                   Saturday                           
1922/03/05     7                   Sunday                             
1922/03/06     8                   Monday         Insects Waken       
1922/03/07     9                   Tuesday                            
1922/03/08     10                  Wednesday                          
