Gregorian-Lunar Calendar Conversion Table of 1929 (Ji-si ¡V year of the Snake)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1929/01/01     21                  Tuesday                            
1929/01/02     22                  Wednesday                          
1929/01/03     23                  Thursday                           
1929/01/04     24                  Friday                             
1929/01/05     25                  Saturday                           
1929/01/06     26                  Sunday         Moderate Cold       
1929/01/07     27                  Monday                             
1929/01/08     28                  Tuesday                            
1929/01/09     29                  Wednesday                          
1929/01/10     30                  Thursday                           
1929/01/11     12th Lunar month    Friday                             
1929/01/12     2                   Saturday                           
1929/01/13     3                   Sunday                             
1929/01/14     4                   Monday                             
1929/01/15     5                   Tuesday                            
1929/01/16     6                   Wednesday                          
1929/01/17     7                   Thursday                           
1929/01/18     8                   Friday                             
1929/01/19     9                   Saturday                           
1929/01/20     10                  Sunday         Severe Cold         
1929/01/21     11                  Monday                             
1929/01/22     12                  Tuesday                            
1929/01/23     13                  Wednesday                          
1929/01/24     14                  Thursday                           
1929/01/25     15                  Friday                             
1929/01/26     16                  Saturday                           
1929/01/27     17                  Sunday                             
1929/01/28     18                  Monday                             
1929/01/29     19                  Tuesday                            
1929/01/30     20                  Wednesday                          
1929/01/31     21                  Thursday                           
1929/02/01     22                  Friday                             
1929/02/02     23                  Saturday                           
1929/02/03     24                  Sunday                             
1929/02/04     25                  Monday         Spring Commences    
1929/02/05     26                  Tuesday                            
1929/02/06     27                  Wednesday                          
1929/02/07     28                  Thursday                           
1929/02/08     29                  Friday                             
1929/02/09     30                  Saturday                           
1929/02/10     1st Lunar month     Sunday                             
1929/02/11     2                   Monday                             
1929/02/12     3                   Tuesday                            
1929/02/13     4                   Wednesday                          
1929/02/14     5                   Thursday                           
1929/02/15     6                   Friday                             
1929/02/16     7                   Saturday                           
1929/02/17     8                   Sunday                             
1929/02/18     9                   Monday                             
1929/02/19     10                  Tuesday        Spring Showers      
1929/02/20     11                  Wednesday                          
1929/02/21     12                  Thursday                           
1929/02/22     13                  Friday                             
1929/02/23     14                  Saturday                           
1929/02/24     15                  Sunday                             
1929/02/25     16                  Monday                             
1929/02/26     17                  Tuesday                            
1929/02/27     18                  Wednesday                          
1929/02/28     19                  Thursday                           
1929/03/01     20                  Friday                             
1929/03/02     21                  Saturday                           
1929/03/03     22                  Sunday                             
1929/03/04     23                  Monday                             
1929/03/05     24                  Tuesday                            
1929/03/06     25                  Wednesday      Insects Waken       
1929/03/07     26                  Thursday                           
1929/03/08     27                  Friday                             
1929/03/09     28                  Saturday                           
1929/03/10     29                  Sunday                             
1929/03/11     2nd Lunar month     Monday                             
1929/03/12     2                   Tuesday                            
1929/03/13     3                   Wednesday                          
1929/03/14     4                   Thursday                           
1929/03/15     5                   Friday                             
1929/03/16     6                   Saturday                           
1929/03/17     7                   Sunday                             
1929/03/18     8                   Monday                             
1929/03/19     9                   Tuesday                            
1929/03/20     10                  Wednesday                          
1929/03/21     11                  Thursday       Vernal Equinox      
1929/03/22     12                  Friday                             
