Gregorian-Lunar Calendar Conversion Table of 1936 (Bing-zi ¡V year of the Mouse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1936/01/01     7                   Wednesday                          
1936/01/02     8                   Thursday                           
1936/01/03     9                   Friday                             
1936/01/04     10                  Saturday                           
1936/01/05     11                  Sunday                             
1936/01/06     12                  Monday         Moderate Cold       
1936/01/07     13                  Tuesday                            
1936/01/08     14                  Wednesday                          
1936/01/09     15                  Thursday                           
1936/01/10     16                  Friday                             
1936/01/11     17                  Saturday                           
1936/01/12     18                  Sunday                             
1936/01/13     19                  Monday                             
1936/01/14     20                  Tuesday                            
1936/01/15     21                  Wednesday                          
1936/01/16     22                  Thursday                           
1936/01/17     23                  Friday                             
1936/01/18     24                  Saturday                           
1936/01/19     25                  Sunday                             
1936/01/20     26                  Monday                             
1936/01/21     27                  Tuesday        Severe Cold         
1936/01/22     28                  Wednesday                          
1936/01/23     29                  Thursday                           
1936/01/24     1st Lunar month     Friday                             
1936/01/25     2                   Saturday                           
1936/01/26     3                   Sunday                             
1936/01/27     4                   Monday                             
1936/01/28     5                   Tuesday                            
1936/01/29     6                   Wednesday                          
1936/01/30     7                   Thursday                           
1936/01/31     8                   Friday                             
1936/02/01     9                   Saturday                           
1936/02/02     10                  Sunday                             
1936/02/03     11                  Monday                             
1936/02/04     12                  Tuesday                            
1936/02/05     13                  Wednesday      Spring Commences    
1936/02/06     14                  Thursday                           
1936/02/07     15                  Friday                             
1936/02/08     16                  Saturday                           
1936/02/09     17                  Sunday                             
1936/02/10     18                  Monday                             
1936/02/11     19                  Tuesday                            
1936/02/12     20                  Wednesday                          
1936/02/13     21                  Thursday                           
1936/02/14     22                  Friday                             
1936/02/15     23                  Saturday                           
1936/02/16     24                  Sunday                             
1936/02/17     25                  Monday                             
1936/02/18     26                  Tuesday                            
1936/02/19     27                  Wednesday                          
1936/02/20     28                  Thursday       Spring Showers      
1936/02/21     29                  Friday                             
1936/02/22     30                  Saturday                           
1936/02/23     2nd Lunar month     Sunday                          
1936/02/24     2                   Monday                             
1936/02/25     3                   Tuesday                            
1936/02/26     4                   Wednesday                          
1936/02/27     5                   Thursday                           
1936/02/28     6                   Friday                             
1936/02/29     7                   Saturday                           
1936/03/01     8                   Sunday                             
1936/03/02     9                   Monday                             
1936/03/03     10                  Tuesday                            
1936/03/04     11                  Wednesday                          
1936/03/05     12                  Thursday                           
1936/03/06     13                  Friday         Insects Waken       
1936/03/07     14                  Saturday                           
1936/03/08     15                  Sunday                             
