Gregorian-Lunar Calendar Conversion Table of 1938 (Wu-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1938/01/01     30                  Saturday                           
1938/01/02     12th Lunar month    Sunday                             
1938/01/03     2                   Monday                             
1938/01/04     3                   Tuesday                            
1938/01/05     4                   Wednesday                          
1938/01/06     5                   Thursday       Moderate Cold       
1938/01/07     6                   Friday                             
1938/01/08     7                   Saturday                           
1938/01/09     8                   Sunday                             
1938/01/10     9                   Monday                             
1938/01/11     10                  Tuesday                            
1938/01/12     11                  Wednesday                          
1938/01/13     12                  Thursday                           
1938/01/14     13                  Friday                             
1938/01/15     14                  Saturday                           
1938/01/16     15                  Sunday                             
1938/01/17     16                  Monday                             
1938/01/18     17                  Tuesday                            
1938/01/19     18                  Wednesday                          
1938/01/20     19                  Thursday                           
1938/01/21     20                  Friday         Severe Cold         
1938/01/22     21                  Saturday                           
1938/01/23     22                  Sunday                             
1938/01/24     23                  Monday                             
1938/01/25     24                  Tuesday                            
1938/01/26     25                  Wednesday                          
1938/01/27     26                  Thursday                           
1938/01/28     27                  Friday                             
1938/01/29     28                  Saturday                           
1938/01/30     29                  Sunday                             
1938/01/31     1st Lunar month     Monday                             
1938/02/01     2                   Tuesday                            
1938/02/02     3                   Wednesday                          
1938/02/03     4                   Thursday                           
1938/02/04     5                   Friday         Spring Commences    
1938/02/05     6                   Saturday                           
1938/02/06     7                   Sunday                             
1938/02/07     8                   Monday                             
1938/02/08     9                   Tuesday                            
1938/02/09     10                  Wednesday                          
1938/02/10     11                  Thursday                           
1938/02/11     12                  Friday                             
1938/02/12     13                  Saturday                           
1938/02/13     14                  Sunday                             
1938/02/14     15                  Monday                             
1938/02/15     16                  Tuesday                            
1938/02/16     17                  Wednesday                          
1938/02/17     18                  Thursday                           
1938/02/18     19                  Friday                             
1938/02/19     20                  Saturday       Spring Showers      
1938/02/20     21                  Sunday                             
1938/02/21     22                  Monday                             
1938/02/22     23                  Tuesday                            
1938/02/23     24                  Wednesday                          
1938/02/24     25                  Thursday                           
1938/02/25     26                  Friday                             
1938/02/26     27                  Saturday                           
1938/02/27     28                  Sunday                             
1938/02/28     29                  Monday                             
1938/03/01     30                  Tuesday                            
1938/03/02     2nd Lunar month     Wednesday                          
1938/03/03     2                   Thursday                           
1938/03/04     3                   Friday                             
1938/03/05     4                   Saturday                           
1938/03/06     5                   Sunday         Insects Waken       
1938/03/07     6                   Monday                             
1938/03/08     7                   Tuesday                            
1938/03/09     8                   Wednesday                          
1938/03/10     9                   Thursday                           
1938/03/11     10                  Friday                             
1938/03/12     11                  Saturday                           
1938/03/13     12                  Sunday                             
1938/03/14     13                  Monday                             
1938/03/15     14                  Tuesday                            
1938/03/16     15                  Wednesday                          
1938/03/17     16                  Thursday                           
1938/03/18     17                  Friday                             
1938/03/19     18                  Saturday                           
1938/03/20     19                  Sunday                             
1938/03/21     20                  Monday         Vernal Equinox      
1938/03/22     21                  Tuesday                            
1938/03/23     22                  Wednesday                          
1938/03/24     23                  Thursday                           
1938/03/25     24                  Friday                             
1938/03/26     25                  Saturday                           
1938/03/27     26                  Sunday                             
1938/03/28     27                  Monday                             
1938/03/29     28                  Tuesday                            
1938/03/30     29                  Wednesday                          
1938/03/31     30                  Thursday                           
1938/04/01     3rd Lunar month     Friday                             
1938/04/02     2                   Saturday                           
1938/04/03     3                   Sunday                             
1938/04/04     4                   Monday                             
1938/04/05     5                   Tuesday        Bright & Clear      
1938/04/06     6                   Wednesday                          
1938/04/07     7                   Thursday                           
1938/04/08     8                   Friday                             
1938/04/09     9                   Saturday                           
1938/04/10     10                  Sunday                             
1938/04/11     11                  Monday                             
1938/04/12     12                  Tuesday                            
1938/04/13     13                  Wednesday                          
1938/04/14     14                  Thursday                           
1938/04/15     15                  Friday                             
1938/04/16     16                  Saturday                           
1938/04/17     17                  Sunday                             
1938/04/18     18                  Monday                             
1938/04/19     19                  Tuesday                            
1938/04/20     20                  Wednesday                          
1938/04/21     21                  Thursday       Corn Rain           
1938/04/22     22                  Friday                             
1938/04/23     23                  Saturday                           
1938/04/24     24                  Sunday                             
1938/04/25     25                  Monday                             
1938/04/26     26                  Tuesday                            
1938/04/27     27                  Wednesday                          
1938/04/28     28                  Thursday                           
1938/04/29     29                  Friday                             
1938/04/30     4th Lunar month     Saturday                           
1938/05/01     2                   Sunday                             
1938/05/02     3                   Monday                             
1938/05/03     4                   Tuesday                            
1938/05/04     5                   Wednesday                          
1938/05/05     6                   Thursday                           
1938/05/06     7                   Friday         Summer Commences    
1938/05/07     8                   Saturday                           
1938/05/08     9                   Sunday                             
1938/05/09     10                  Monday                             
1938/05/10     11                  Tuesday                            
1938/05/11     12                  Wednesday                          
1938/05/12     13                  Thursday                           
1938/05/13     14                  Friday                             
1938/05/14     15                  Saturday                           
1938/05/15     16                  Sunday                             
1938/05/16     17                  Monday                             
1938/05/17     18                  Tuesday                            
1938/05/18     19                  Wednesday                          
1938/05/19     20                  Thursday                           
1938/05/20     21                  Friday                             
1938/05/21     22                  Saturday                           
1938/05/22     23                  Sunday         Corn Forms          
1938/05/23     24                  Monday                             
1938/05/24     25                  Tuesday                            
1938/05/25     26                  Wednesday                          
1938/05/26     27                  Thursday                           
1938/05/27     28                  Friday                             
1938/05/28     29                  Saturday                           
1938/05/29     5th Lunar month     Sunday                             
1938/05/30     2                   Monday                             
1938/05/31     3                   Tuesday                            
1938/06/01     4                   Wednesday                          
1938/06/02     5                   Thursday                           
1938/06/03     6                   Friday                             
1938/06/04     7                   Saturday                           
1938/06/05     8                   Sunday                             
1938/06/06     9                   Monday         Corn on Ear         
1938/06/07     10                  Tuesday                            
1938/06/08     11                  Wednesday                          
1938/06/09     12                  Thursday                           
1938/06/10     13                  Friday                             
1938/06/11     14                  Saturday                           
1938/06/12     15                  Sunday                             
1938/06/13     16                  Monday                             
1938/06/14     17                  Tuesday                            
1938/06/15     18                  Wednesday                          
1938/06/16     19                  Thursday                           
1938/06/17     20                  Friday                             
1938/06/18     21                  Saturday                           
1938/06/19     22                  Sunday                             
1938/06/20     23                  Monday                             
1938/06/21     24                  Tuesday                            
1938/06/22     25                  Wednesday      Summer Solstice     
1938/06/23     26                  Thursday                           
1938/06/24     27                  Friday                             
1938/06/25     28                  Saturday                           
1938/06/26     29                  Sunday                             
1938/06/27     30                  Monday                             
1938/06/28     6th Lunar month     Tuesday                            
1938/06/29     2                   Wednesday                          
1938/06/30     3                   Thursday                           
1938/07/01     4                   Friday                             
1938/07/02     5                   Saturday                           
1938/07/03     6                   Sunday                             
1938/07/04     7                   Monday                             
1938/07/05     8                   Tuesday                            
