Gregorian-Lunar Calendar Conversion Table of 1939 (Ji-mao ¡V year of the Rabbit)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1939/01/01     11                  Sunday                             
1939/01/02     12                  Monday                             
1939/01/03     13                  Tuesday                            
1939/01/04     14                  Wednesday                          
1939/01/05     15                  Thursday                           
1939/01/06     16                  Friday         Moderate Cold       
1939/01/07     17                  Saturday                           
1939/01/08     18                  Sunday                             
1939/01/09     19                  Monday                             
1939/01/10     20                  Tuesday                            
1939/01/11     21                  Wednesday                          
1939/01/12     22                  Thursday                           
1939/01/13     23                  Friday                             
1939/01/14     24                  Saturday                           
1939/01/15     25                  Sunday                             
1939/01/16     26                  Monday                             
1939/01/17     27                  Tuesday                            
1939/01/18     28                  Wednesday                          
1939/01/19     29                  Thursday                           
1939/01/20     12th Lunar month    Friday                             
1939/01/21     2                   Saturday       Severe Cold         
1939/01/22     3                   Sunday                             
1939/01/23     4                   Monday                             
1939/01/24     5                   Tuesday                            
1939/01/25     6                   Wednesday                          
1939/01/26     7                   Thursday                           
1939/01/27     8                   Friday                             
1939/01/28     9                   Saturday                           
1939/01/29     10                  Sunday                             
1939/01/30     11                  Monday                             
1939/01/31     12                  Tuesday                            
1939/02/01     13                  Wednesday                          
1939/02/02     14                  Thursday                           
1939/02/03     15                  Friday                             
1939/02/04     16                  Saturday                           
1939/02/05     17                  Sunday         Spring Commences    
1939/02/06     18                  Monday                             
1939/02/07     19                  Tuesday                            
1939/02/08     20                  Wednesday                          
1939/02/09     21                  Thursday                           
1939/02/10     22                  Friday                             
1939/02/11     23                  Saturday                           
1939/02/12     24                  Sunday                             
1939/02/13     25                  Monday                             
1939/02/14     26                  Tuesday                            
1939/02/15     27                  Wednesday                          
1939/02/16     28                  Thursday                           
1939/02/17     29                  Friday                             
1939/02/18     30                  Saturday                           
1939/02/19     1st Lunar month     Sunday         Spring Showers      
1939/02/20     2                   Monday                             
1939/02/21     3                   Tuesday                            
1939/02/22     4                   Wednesday                          
1939/02/23     5                   Thursday                        
1939/02/24     6                   Friday                             
1939/02/25     7                   Saturday                           
1939/02/26     8                   Sunday                             
1939/02/27     9                   Monday                             
1939/02/28     10                  Tuesday                            
