Gregorian-Lunar Calendar Conversion Table of 1941 (Xin-si ¡V year of the Snake)                                                        
Gregorian date Lunar date          Day-of-week    Solar terms         
1941/01/01     4                   Wednesday                          
1941/01/02     5                   Thursday                           
1941/01/03     6                   Friday                             
1941/01/04     7                   Saturday                           
1941/01/05     8                   Sunday                             
1941/01/06     9                   Monday         Moderate Cold       
1941/01/07     10                  Tuesday                            
1941/01/08     11                  Wednesday                          
1941/01/09     12                  Thursday                           
1941/01/10     13                  Friday                             
1941/01/11     14                  Saturday                           
1941/01/12     15                  Sunday                             
1941/01/13     16                  Monday                             
1941/01/14     17                  Tuesday                            
1941/01/15     18                  Wednesday                          
1941/01/16     19                  Thursday                           
1941/01/17     20                  Friday                             
1941/01/18     21                  Saturday                           
1941/01/19     22                  Sunday                             
1941/01/20     23                  Monday         Severe Cold         
1941/01/21     24                  Tuesday                            
1941/01/22     25                  Wednesday                          
1941/01/23     26                  Thursday                           
1941/01/24     27                  Friday                             
1941/01/25     28                  Saturday                           
1941/01/26     29                  Sunday                             
1941/01/27     1st Lunar month     Monday                             
1941/01/28     2                   Tuesday                            
1941/01/29     3                   Wednesday                          
1941/01/30     4                   Thursday                           
1941/01/31     5                   Friday                             
1941/02/01     6                   Saturday                           
1941/02/02     7                   Sunday                             
1941/02/03     8                   Monday                             
1941/02/04     9                   Tuesday        Spring Commences    
1941/02/05     10                  Wednesday                          
1941/02/06     11                  Thursday                           
1941/02/07     12                  Friday                             
1941/02/08     13                  Saturday                           
1941/02/09     14                  Sunday                             
1941/02/10     15                  Monday                             
1941/02/11     16                  Tuesday                            
1941/02/12     17                  Wednesday                          
1941/02/13     18                  Thursday                           
1941/02/14     19                  Friday                             
1941/02/15     20                  Saturday                           
1941/02/16     21                  Sunday                             
1941/02/17     22                  Monday                             
1941/02/18     23                  Tuesday                            
1941/02/19     24                  Wednesday      Spring Showers      
1941/02/20     25                  Thursday                           
1941/02/21     26                  Friday                             
1941/02/22     27                  Saturday                           
1941/02/23     28                  Sunday                          
1941/02/24     29                  Monday                             
1941/02/25     30                  Tuesday                            
1941/02/26     2nd Lunar month     Wednesday                          
1941/02/27     2                   Thursday                           
1941/02/28     3                   Friday                             
1941/03/01     4                   Saturday                           
1941/03/02     5                   Sunday                             
1941/03/03     6                   Monday                             
1941/03/04     7                   Tuesday                            
1941/03/05     8                   Wednesday                          
1941/03/06     9                   Thursday       Insects Waken       
1941/03/07     10                  Friday                             
1941/03/08     11                  Saturday                           
1941/03/09     12                  Sunday                             
1941/03/10     13                  Monday                             
1941/03/11     14                  Tuesday                            
1941/03/12     15                  Wednesday                          
1941/03/13     16                  Thursday                           
1941/03/14     17                  Friday                             
1941/03/15     18                  Saturday                           
1941/03/16     19                  Sunday                             
1941/03/17     20                  Monday                             
1941/03/18     21                  Tuesday                            
1941/03/19     22                  Wednesday                          
1941/03/20     23                  Thursday                           
1941/03/21     24                  Friday         Vernal Equinox      
1941/03/22     25                  Saturday                           
1941/03/23     26                  Sunday                             
1941/03/24     27                  Monday                             
1941/03/25     28                  Tuesday                            
1941/03/26     29                  Wednesday                          
1941/03/27     30                  Thursday                           
1941/03/28     3rd Lunar month     Friday                             
1941/03/29     2                   Saturday                           
1941/03/30     3                   Sunday                             
1941/03/31     4                   Monday                             
1941/04/01     5                   Tuesday                            
1941/04/02     6                   Wednesday                          
1941/04/03     7                   Thursday                           
1941/04/04     8                   Friday                             
1941/04/05     9                   Saturday       Bright & Clear      
1941/04/06     10                  Sunday                             
1941/04/07     11                  Monday                             
1941/04/08     12                  Tuesday                            
1941/04/09     13                  Wednesday                          
1941/04/10     14                  Thursday                           
1941/04/11     15                  Friday                             
1941/04/12     16                  Saturday                           
1941/04/13     17                  Sunday                             
1941/04/14     18                  Monday                             
