Gregorian-Lunar Calendar Conversion Table of 1943 (Gui-wei ¡V year of the Goat)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1943/01/01     25                  Friday                             
1943/01/02     26                  Saturday                           
1943/01/03     27                  Sunday                             
1943/01/04     28                  Monday                             
1943/01/05     29                  Tuesday                            
1943/01/06     12th Lunar month    Wednesday      Moderate Cold       
1943/01/07     2                   Thursday                           
1943/01/08     3                   Friday                             
1943/01/09     4                   Saturday                           
1943/01/10     5                   Sunday                             
1943/01/11     6                   Monday                             
1943/01/12     7                   Tuesday                            
1943/01/13     8                   Wednesday                          
1943/01/14     9                   Thursday                           
1943/01/15     10                  Friday                             
1943/01/16     11                  Saturday                           
1943/01/17     12                  Sunday                             
1943/01/18     13                  Monday                             
1943/01/19     14                  Tuesday                            
1943/01/20     15                  Wednesday                          
1943/01/21     16                  Thursday       Severe Cold         
1943/01/22     17                  Friday                             
1943/01/23     18                  Saturday                           
1943/01/24     19                  Sunday                             
1943/01/25     20                  Monday                             
1943/01/26     21                  Tuesday                            
1943/01/27     22                  Wednesday                          
1943/01/28     23                  Thursday                           
1943/01/29     24                  Friday                             
1943/01/30     25                  Saturday                           
1943/01/31     26                  Sunday                             
1943/02/01     27                  Monday                             
1943/02/02     28                  Tuesday                            
1943/02/03     29                  Wednesday                          
1943/02/04     30                  Thursday                           
1943/02/05     1st Lunar month     Friday         Spring Commences    
1943/02/06     2                   Saturday                           
1943/02/07     3                   Sunday                             
1943/02/08     4                   Monday                             
1943/02/09     5                   Tuesday                            
1943/02/10     6                   Wednesday                          
1943/02/11     7                   Thursday                           
1943/02/12     8                   Friday                             
1943/02/13     9                   Saturday                           
1943/02/14     10                  Sunday                             
1943/02/15     11                  Monday                             
1943/02/16     12                  Tuesday                            
1943/02/17     13                  Wednesday                          
1943/02/18     14                  Thursday                           
1943/02/19     15                  Friday         Spring Showers      
1943/02/20     16                  Saturday                           
1943/02/21     17                  Sunday                             
1943/02/22     18                  Monday                             
1943/02/23     19                  Tuesday                            
1943/02/24     20                  Wednesday                          
1943/02/25     21                  Thursday                           
1943/02/26     22                  Friday                             
1943/02/27     23                  Saturday                           
1943/02/28     24                  Sunday                             
1943/03/01     25                  Monday                             
1943/03/02     26                  Tuesday                            
1943/03/03     27                  Wednesday                          
1943/03/04     28                  Thursday                           
1943/03/05     29                  Friday                             
1943/03/06     2nd Lunar month     Saturday       Insects Waken       
1943/03/07     2                   Sunday                             
1943/03/08     3                   Monday                             
1943/03/09     4                   Tuesday                            
1943/03/10     5                   Wednesday                          
1943/03/11     6                   Thursday                           
1943/03/12     7                   Friday                             
1943/03/13     8                   Saturday                           
1943/03/14     9                   Sunday                             
1943/03/15     10                  Monday                             
1943/03/16     11                  Tuesday                            
1943/03/17     12                  Wednesday                          
