Gregorian-Lunar Calendar Conversion Table of 1944 (Jia-shen ¡V year of the Monkey)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1944/01/01     6                   Saturday                           
1944/01/02     7                   Sunday                             
1944/01/03     8                   Monday                             
1944/01/04     9                   Tuesday                            
1944/01/05     10                  Wednesday                          
1944/01/06     11                  Thursday       Moderate Cold       
1944/01/07     12                  Friday                             
1944/01/08     13                  Saturday                           
1944/01/09     14                  Sunday                             
1944/01/10     15                  Monday                             
1944/01/11     16                  Tuesday                            
1944/01/12     17                  Wednesday                          
1944/01/13     18                  Thursday                           
1944/01/14     19                  Friday                             
1944/01/15     20                  Saturday                           
1944/01/16     21                  Sunday                             
1944/01/17     22                  Monday                             
1944/01/18     23                  Tuesday                            
1944/01/19     24                  Wednesday                          
1944/01/20     25                  Thursday                           
1944/01/21     26                  Friday         Severe Cold         
1944/01/22     27                  Saturday                           
1944/01/23     28                  Sunday                             
1944/01/24     29                  Monday                             
1944/01/25     1st Lunar month     Tuesday                            
1944/01/26     2                   Wednesday                          
1944/01/27     3                   Thursday                           
1944/01/28     4                   Friday                             
1944/01/29     5                   Saturday                           
1944/01/30     6                   Sunday                             
1944/01/31     7                   Monday                             
1944/02/01     8                   Tuesday                            
1944/02/02     9                   Wednesday                          
1944/02/03     10                  Thursday                           
1944/02/04     11                  Friday                             
1944/02/05     12                  Saturday       Spring Commences    
1944/02/06     13                  Sunday                             
1944/02/07     14                  Monday                             
1944/02/08     15                  Tuesday                            
1944/02/09     16                  Wednesday                          
1944/02/10     17                  Thursday                           
1944/02/11     18                  Friday                             
1944/02/12     19                  Saturday                           
1944/02/13     20                  Sunday                             
1944/02/14     21                  Monday                             
1944/02/15     22                  Tuesday                            
1944/02/16     23                  Wednesday                          
1944/02/17     24                  Thursday                           
1944/02/18     25                  Friday                             
1944/02/19     26                  Saturday                           
1944/02/20     27                  Sunday         Spring Showers      
1944/02/21     28                  Monday                             
1944/02/22     29                  Tuesday                            
1944/02/23     30                  Wednesday                          
1944/02/24     2nd Lunar month     Thursday                           
1944/02/25     2                   Friday                             
1944/02/26     3                   Saturday                           
1944/02/27     4                   Sunday                             
1944/02/28     5                   Monday                             
1944/02/29     6                   Tuesday                            
1944/03/01     7                   Wednesday                          
1944/03/02     8                   Thursday                           
1944/03/03     9                   Friday                             
1944/03/04     10                  Saturday                           
1944/03/05     11                  Sunday                             
1944/03/06     12                  Monday         Insects Waken       
1944/03/07     13                  Tuesday                            
