Gregorian-Lunar Calendar Conversion Table of 1946 (Bing-xu ¡V year of the Dog)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1946/01/01     28                  Tuesday                            
1946/01/02     29                  Wednesday                          
1946/01/03     12th Lunar month    Thursday                           
1946/01/04     2                   Friday                             
1946/01/05     3                   Saturday                           
1946/01/06     4                   Sunday         Moderate Cold       
1946/01/07     5                   Monday                             
1946/01/08     6                   Tuesday                            
1946/01/09     7                   Wednesday                          
1946/01/10     8                   Thursday                           
1946/01/11     9                   Friday                             
1946/01/12     10                  Saturday                           
1946/01/13     11                  Sunday                             
1946/01/14     12                  Monday                             
1946/01/15     13                  Tuesday                            
1946/01/16     14                  Wednesday                          
1946/01/17     15                  Thursday                           
1946/01/18     16                  Friday                             
1946/01/19     17                  Saturday                           
1946/01/20     18                  Sunday         Severe Cold         
1946/01/21     19                  Monday                             
1946/01/22     20                  Tuesday                            
1946/01/23     21                  Wednesday                          
1946/01/24     22                  Thursday                           
1946/01/25     23                  Friday                             
1946/01/26     24                  Saturday                           
1946/01/27     25                  Sunday                             
1946/01/28     26                  Monday                             
1946/01/29     27                  Tuesday                            
1946/01/30     28                  Wednesday                          
1946/01/31     29                  Thursday                           
1946/02/01     30                  Friday                             
1946/02/02     1st Lunar month     Saturday                           
1946/02/03     2                   Sunday                             
1946/02/04     3                   Monday         Spring Commences    
1946/02/05     4                   Tuesday                            
1946/02/06     5                   Wednesday                          
1946/02/07     6                   Thursday                           
1946/02/08     7                   Friday                             
1946/02/09     8                   Saturday                           
1946/02/10     9                   Sunday                             
1946/02/11     10                  Monday                             
1946/02/12     11                  Tuesday                            
1946/02/13     12                  Wednesday                          
1946/02/14     13                  Thursday                           
1946/02/15     14                  Friday                             
1946/02/16     15                  Saturday                           
1946/02/17     16                  Sunday                             
1946/02/18     17                  Monday                             
1946/02/19     18                  Tuesday        Spring Showers      
1946/02/20     19                  Wednesday                          
1946/02/21     20                  Thursday                           
1946/02/22     21                  Friday                             
1946/02/23     22                  Saturday                           
1946/02/24     23                  Sunday                             
1946/02/25     24                  Monday                             
1946/02/26     25                  Tuesday                            
1946/02/27     26                  Wednesday                          
1946/02/28     27                  Thursday                           
1946/03/01     28                  Friday                             
1946/03/02     29                  Saturday                           
1946/03/03     30                  Sunday                             
1946/03/04     2nd Lunar month     Monday                             
1946/03/05     2                   Tuesday                            
1946/03/06     3                   Wednesday      Insects Waken       
1946/03/07     4                   Thursday                           
1946/03/08     5                   Friday                             
1946/03/09     6                   Saturday                           
1946/03/10     7                   Sunday                             
1946/03/11     8                   Monday                             
1946/03/12     9                   Tuesday                            
1946/03/13     10                  Wednesday                          
1946/03/14     11                  Thursday                           
1946/03/15     12                  Friday                             
1946/03/16     13                  Saturday                           
1946/03/17     14                  Sunday                             
1946/03/18     15                  Monday                             
1946/03/19     16                  Tuesday                            
