Gregorian-Lunar Calendar Conversion Table of 1951 (Xin-mao ¡V year of the Rabbit)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1951/01/01     24                  Monday                             
1951/01/02     25                  Tuesday                            
1951/01/03     26                  Wednesday                          
1951/01/04     27                  Thursday                           
1951/01/05     28                  Friday                             
1951/01/06     29                  Saturday       Moderate Cold       
1951/01/07     30                  Sunday                             
1951/01/08     12th Lunar month    Monday                             
1951/01/09     2                   Tuesday                            
1951/01/10     3                   Wednesday                          
1951/01/11     4                   Thursday                           
1951/01/12     5                   Friday                             
1951/01/13     6                   Saturday                           
1951/01/14     7                   Sunday                             
1951/01/15     8                   Monday                             
1951/01/16     9                   Tuesday                            
1951/01/17     10                  Wednesday                          
1951/01/18     11                  Thursday                           
1951/01/19     12                  Friday                             
1951/01/20     13                  Saturday                           
1951/01/21     14                  Sunday         Severe Cold         
1951/01/22     15                  Monday                             
1951/01/23     16                  Tuesday                            
1951/01/24     17                  Wednesday                          
1951/01/25     18                  Thursday                           
1951/01/26     19                  Friday                             
1951/01/27     20                  Saturday                           
1951/01/28     21                  Sunday                             
1951/01/29     22                  Monday                             
1951/01/30     23                  Tuesday                            
1951/01/31     24                  Wednesday                          
1951/02/01     25                  Thursday                           
1951/02/02     26                  Friday                             
1951/02/03     27                  Saturday                           
1951/02/04     28                  Sunday         Spring Commences    
1951/02/05     29                  Monday                             
1951/02/06     1st Lunar month     Tuesday                            
1951/02/07     2                   Wednesday                          
1951/02/08     3                   Thursday                           
1951/02/09     4                   Friday                             
1951/02/10     5                   Saturday                           
1951/02/11     6                   Sunday                             
1951/02/12     7                   Monday                             
1951/02/13     8                   Tuesday                            
1951/02/14     9                   Wednesday                          
1951/02/15     10                  Thursday                           
1951/02/16     11                  Friday                             
1951/02/17     12                  Saturday                           
1951/02/18     13                  Sunday                             
1951/02/19     14                  Monday         Spring Showers      
1951/02/20     15                  Tuesday                            
1951/02/21     16                  Wednesday                          
1951/02/22     17                  Thursday                           
1951/02/23     18                  Friday                             
1951/02/24     19                  Saturday                           
1951/02/25     20                  Sunday                             
1951/02/26     21                  Monday                             
1951/02/27     22                  Tuesday                            
1951/02/28     23                  Wednesday                          
1951/03/01     24                  Thursday                           
1951/03/02     25                  Friday                             
1951/03/03     26                  Saturday                           
1951/03/04     27                  Sunday                             
1951/03/05     28                  Monday                             
1951/03/06     29                  Tuesday        Insects Waken       
1951/03/07     30                  Wednesday                          
1951/03/08     2nd Lunar month     Thursday                           
1951/03/09     2                   Friday                             
1951/03/10     3                   Saturday                           
1951/03/11     4                   Sunday                             
1951/03/12     5                   Monday                             
1951/03/13     6                   Tuesday                            
1951/03/14     7                   Wednesday                          
1951/03/15     8                   Thursday                           
1951/03/16     9                   Friday                             
1951/03/17     10                  Saturday                           
1951/03/18     11                  Sunday                             
1951/03/19     12                  Monday                             
1951/03/20     13                  Tuesday                            
1951/03/21     14                  Wednesday      Vernal Equinox      
1951/03/22     15                  Thursday                           
1951/03/23     16                  Friday                             
1951/03/24     17                  Saturday                           
1951/03/25     18                  Sunday                             
1951/03/26     19                  Monday                             
1951/03/27     20                  Tuesday                            
1951/03/28     21                  Wednesday                          
1951/03/29     22                  Thursday                           
1951/03/30     23                  Friday                             
1951/03/31     24                  Saturday                           
1951/04/01     25                  Sunday                             
1951/04/02     26                  Monday                             
1951/04/03     27                  Tuesday                            
1951/04/04     28                  Wednesday                          
1951/04/05     29                  Thursday       Bright & Clear      
1951/04/06     3rd Lunar month     Friday                             
1951/04/07     2                   Saturday                           
1951/04/08     3                   Sunday                             
1951/04/09     4                   Monday                             
1951/04/10     5                   Tuesday                            
1951/04/11     6                   Wednesday                          
1951/04/12     7                   Thursday                           
1951/04/13     8                   Friday                             
1951/04/14     9                   Saturday                           
1951/04/15     10                  Sunday                             
1951/04/16     11                  Monday                             
1951/04/17     12                  Tuesday                            
1951/04/18     13                  Wednesday                          
1951/04/19     14                  Thursday                           
1951/04/20     15                  Friday                             
1951/04/21     16                  Saturday       Corn Rain           
1951/04/22     17                  Sunday                             
1951/04/23     18                  Monday                             
1951/04/24     19                  Tuesday                            
1951/04/25     20                  Wednesday                          
1951/04/26     21                  Thursday                           
1951/04/27     22                  Friday                             
1951/04/28     23                  Saturday                           
1951/04/29     24                  Sunday                             
1951/04/30     25                  Monday                             
1951/05/01     26                  Tuesday                            
1951/05/02     27                  Wednesday                          
1951/05/03     28                  Thursday                           
1951/05/04     29                  Friday                             
1951/05/05     30                  Saturday                           
1951/05/06     4th Lunar month     Sunday         Summer Commences    
1951/05/07     2                   Monday                             
1951/05/08     3                   Tuesday                            
1951/05/09     4                   Wednesday                          
1951/05/10     5                   Thursday                           
1951/05/11     6                   Friday                             
1951/05/12     7                   Saturday                           
1951/05/13     8                   Sunday                             
1951/05/14     9                   Monday                             
1951/05/15     10                  Tuesday                            
1951/05/16     11                  Wednesday                          
1951/05/17     12                  Thursday                           
1951/05/18     13                  Friday                             
1951/05/19     14                  Saturday                           
1951/05/20     15                  Sunday                             
1951/05/21     16                  Monday                             
1951/05/22     17                  Tuesday        Corn Forms          
1951/05/23     18                  Wednesday                          
1951/05/24     19                  Thursday                           
1951/05/25     20                  Friday                             
1951/05/26     21                  Saturday                           
1951/05/27     22                  Sunday                             
1951/05/28     23                  Monday                             
1951/05/29     24                  Tuesday                            
1951/05/30     25                  Wednesday                          
1951/05/31     26                  Thursday                           
1951/06/01     27                  Friday                             
1951/06/02     28                  Saturday                           
1951/06/03     29                  Sunday                             
1951/06/04     30                  Monday                             
1951/06/05     5th Lunar month     Tuesday                            
