Gregorian-Lunar Calendar Conversion Table of 1959 (Ji-hai ¡V year of the Pig)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1959/01/01     22                  Thursday                           
1959/01/02     23                  Friday                             
1959/01/03     24                  Saturday                           
1959/01/04     25                  Sunday                             
1959/01/05     26                  Monday                             
1959/01/06     27                  Tuesday        Moderate Cold       
1959/01/07     28                  Wednesday                          
1959/01/08     29                  Thursday                           
1959/01/09     12th Lunar month    Friday                             
1959/01/10     2                   Saturday                           
1959/01/11     3                   Sunday                             
1959/01/12     4                   Monday                             
1959/01/13     5                   Tuesday                            
1959/01/14     6                   Wednesday                          
1959/01/15     7                   Thursday                           
1959/01/16     8                   Friday                             
1959/01/17     9                   Saturday                           
1959/01/18     10                  Sunday                             
1959/01/19     11                  Monday                             
1959/01/20     12                  Tuesday                            
1959/01/21     13                  Wednesday      Severe Cold         
1959/01/22     14                  Thursday                           
1959/01/23     15                  Friday                             
1959/01/24     16                  Saturday                           
1959/01/25     17                  Sunday                             
1959/01/26     18                  Monday                             
1959/01/27     19                  Tuesday                            
1959/01/28     20                  Wednesday                          
1959/01/29     21                  Thursday                           
1959/01/30     22                  Friday                             
1959/01/31     23                  Saturday                           
1959/02/01     24                  Sunday                             
1959/02/02     25                  Monday                             
1959/02/03     26                  Tuesday                            
1959/02/04     27                  Wednesday      Spring Commences    
1959/02/05     28                  Thursday                           
1959/02/06     29                  Friday                             
1959/02/07     30                  Saturday                           
1959/02/08     1st Lunar month     Sunday                             
1959/02/09     2                   Monday                             
1959/02/10     3                   Tuesday                            
1959/02/11     4                   Wednesday                          
1959/02/12     5                   Thursday                           
1959/02/13     6                   Friday                             
1959/02/14     7                   Saturday                           
1959/02/15     8                   Sunday                             
1959/02/16     9                   Monday                             
1959/02/17     10                  Tuesday                            
1959/02/18     11                  Wednesday                          
1959/02/19     12                  Thursday       Spring Showers      
1959/02/20     13                  Friday                             
1959/02/21     14                  Saturday                           
1959/02/22     15                  Sunday                             
1959/02/23     16                  Monday                             
1959/02/24     17                  Tuesday                            
1959/02/25     18                  Wednesday                          
1959/02/26     19                  Thursday                           
1959/02/27     20                  Friday                             
1959/02/28     21                  Saturday                           
1959/03/01     22                  Sunday                             
1959/03/02     23                  Monday                             
1959/03/03     24                  Tuesday                            
1959/03/04     25                  Wednesday                          
1959/03/05     26                  Thursday                           
1959/03/06     27                  Friday         Insects Waken       
1959/03/07     28                  Saturday                           
1959/03/08     29                  Sunday                             
1959/03/09     2nd Lunar month     Monday                             
1959/03/10     2                   Tuesday                            
1959/03/11     3                   Wednesday                          
1959/03/12     4                   Thursday                           
1959/03/13     5                   Friday                             
1959/03/14     6                   Saturday                           
1959/03/15     7                   Sunday                             
1959/03/16     8                   Monday                             
1959/03/17     9                   Tuesday                            
1959/03/18     10                  Wednesday                          
1959/03/19     11                  Thursday                           
1959/03/20     12                  Friday                             
1959/03/21     13                  Saturday       Vernal Equinox      
1959/03/22     14                  Sunday                             
1959/03/23     15                  Monday                             
1959/03/24     16                  Tuesday                            
1959/03/25     17                  Wednesday                          
1959/03/26     18                  Thursday                           
1959/03/27     19                  Friday                             
1959/03/28     20                  Saturday                           
1959/03/29     21                  Sunday                             
1959/03/30     22                  Monday                             
1959/03/31     23                  Tuesday                            
1959/04/01     24                  Wednesday                          
1959/04/02     25                  Thursday                           
1959/04/03     26                  Friday                             
1959/04/04     27                  Saturday                           
1959/04/05     28                  Sunday         Bright & Clear      
1959/04/06     29                  Monday                             
1959/04/07     30                  Tuesday                            
1959/04/08     3rd Lunar month     Wednesday                          
1959/04/09     2                   Thursday                           
1959/04/10     3                   Friday                             
1959/04/11     4                   Saturday                           
1959/04/12     5                   Sunday                             
1959/04/13     6                   Monday                             
1959/04/14     7                   Tuesday                            
1959/04/15     8                   Wednesday                          
1959/04/16     9                   Thursday                           
1959/04/17     10                  Friday                             
1959/04/18     11                  Saturday                           
1959/04/19     12                  Sunday                             
1959/04/20     13                  Monday                             
1959/04/21     14                  Tuesday        Corn Rain           
1959/04/22     15                  Wednesday                          
1959/04/23     16                  Thursday                           
1959/04/24     17                  Friday                             
1959/04/25     18                  Saturday                           
1959/04/26     19                  Sunday                             
1959/04/27     20                  Monday                             
1959/04/28     21                  Tuesday                            
1959/04/29     22                  Wednesday                          
1959/04/30     23                  Thursday                           
1959/05/01     24                  Friday                             
1959/05/02     25                  Saturday                           
1959/05/03     26                  Sunday                             
1959/05/04     27                  Monday                             
1959/05/05     28                  Tuesday                            
1959/05/06     29                  Wednesday      Summer Commences    
1959/05/07     30                  Thursday                           
1959/05/08     4th Lunar month     Friday                             
1959/05/09     2                   Saturday                           
1959/05/10     3                   Sunday                             
1959/05/11     4                   Monday                             
1959/05/12     5                   Tuesday                            
1959/05/13     6                   Wednesday                          
1959/05/14     7                   Thursday                           
1959/05/15     8                   Friday                             
1959/05/16     9                   Saturday                           
1959/05/17     10                  Sunday                             
1959/05/18     11                  Monday                             
1959/05/19     12                  Tuesday                            
1959/05/20     13                  Wednesday                          
1959/05/21     14                  Thursday                           
1959/05/22     15                  Friday         Corn Forms          
1959/05/23     16                  Saturday                           
1959/05/24     17                  Sunday                             
1959/05/25     18                  Monday                             
1959/05/26     19                  Tuesday                            
1959/05/27     20                  Wednesday                          
1959/05/28     21                  Thursday                           
1959/05/29     22                  Friday                             
1959/05/30     23                  Saturday                           
1959/05/31     24                  Sunday                             
1959/06/01     25                  Monday                             
1959/06/02     26                  Tuesday                            
1959/06/03     27                  Wednesday                          
1959/06/04     28                  Thursday                           
1959/06/05     29                  Friday                             
1959/06/06     5th Lunar month     Saturday       Corn on Ear         
1959/06/07     2                   Sunday                             
1959/06/08     3                   Monday                             
1959/06/09     4                   Tuesday                            
1959/06/10     5                   Wednesday                          
1959/06/11     6                   Thursday                           
1959/06/12     7                   Friday                             
1959/06/13     8                   Saturday                           
1959/06/14     9                   Sunday                             
1959/06/15     10                  Monday                             
1959/06/16     11                  Tuesday                            
1959/06/17     12                  Wednesday                          
1959/06/18     13                  Thursday                           
1959/06/19     14                  Friday                             
1959/06/20     15                  Saturday                           
1959/06/21     16                  Sunday                             
1959/06/22     17                  Monday         Summer Solstice     
1959/06/23     18                  Tuesday                            
1959/06/24     19                  Wednesday                          
1959/06/25     20                  Thursday                           
1959/06/26     21                  Friday                             
1959/06/27     22                  Saturday                           
1959/06/28     23                  Sunday                             
1959/06/29     24                  Monday                             
1959/06/30     25                  Tuesday                            
1959/07/01     26                  Wednesday                          
1959/07/02     27                  Thursday                           
1959/07/03     28                  Friday                             
1959/07/04     29                  Saturday                           
1959/07/05     30                  Sunday                             
1959/07/06     6th Lunar month     Monday                             
1959/07/07     2                   Tuesday                            
1959/07/08     3                   Wednesday      Moderate Heat       
1959/07/09     4                   Thursday                           
1959/07/10     5                   Friday                             
1959/07/11     6                   Saturday                           
1959/07/12     7                   Sunday                             
1959/07/13     8                   Monday                             
1959/07/14     9                   Tuesday                            
1959/07/15     10                  Wednesday                          
1959/07/16     11                  Thursday                           
1959/07/17     12                  Friday                             
1959/07/18     13                  Saturday                           
1959/07/19     14                  Sunday                             
1959/07/20     15                  Monday                             
1959/07/21     16                  Tuesday                            
1959/07/22     17                  Wednesday                          
