Gregorian-Lunar Calendar Conversion Table of 1960 (Geng-zi ¡V year of the Mouse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1960/01/01     3                   Friday                             
1960/01/02     4                   Saturday                           
1960/01/03     5                   Sunday                             
1960/01/04     6                   Monday                             
1960/01/05     7                   Tuesday                            
1960/01/06     8                   Wednesday      Moderate Cold       
1960/01/07     9                   Thursday                           
1960/01/08     10                  Friday                             
1960/01/09     11                  Saturday                           
1960/01/10     12                  Sunday                             
1960/01/11     13                  Monday                             
1960/01/12     14                  Tuesday                            
1960/01/13     15                  Wednesday                          
1960/01/14     16                  Thursday                           
1960/01/15     17                  Friday                             
1960/01/16     18                  Saturday                           
1960/01/17     19                  Sunday                             
1960/01/18     20                  Monday                             
1960/01/19     21                  Tuesday                            
1960/01/20     22                  Wednesday                          
1960/01/21     23                  Thursday       Severe Cold         
1960/01/22     24                  Friday                             
1960/01/23     25                  Saturday                           
1960/01/24     26                  Sunday                             
1960/01/25     27                  Monday                             
1960/01/26     28                  Tuesday                            
1960/01/27     29                  Wednesday                          
1960/01/28     1st Lunar month     Thursday                           
1960/01/29     2                   Friday                             
1960/01/30     3                   Saturday                           
1960/01/31     4                   Sunday                             
1960/02/01     5                   Monday                             
1960/02/02     6                   Tuesday                            
1960/02/03     7                   Wednesday                          
1960/02/04     8                   Thursday                           
1960/02/05     9                   Friday         Spring Commences    
1960/02/06     10                  Saturday                           
1960/02/07     11                  Sunday                             
1960/02/08     12                  Monday                             
1960/02/09     13                  Tuesday                            
1960/02/10     14                  Wednesday                          
1960/02/11     15                  Thursday                           
1960/02/12     16                  Friday                             
1960/02/13     17                  Saturday                           
1960/02/14     18                  Sunday                             
1960/02/15     19                  Monday                             
1960/02/16     20                  Tuesday                            
1960/02/17     21                  Wednesday                          
1960/02/18     22                  Thursday                           
1960/02/19     23                  Friday         Spring Showers      
1960/02/20     24                  Saturday                           
1960/02/21     25                  Sunday                             
1960/02/22     26                  Monday                             
1960/02/23     27                  Tuesday                         
1960/02/24     28                  Wednesday                          
1960/02/25     29                  Thursday                           
1960/02/26     30                  Friday                             
1960/02/27     2nd Lunar month     Saturday                           
1960/02/28     2                   Sunday                             
1960/02/29     3                   Monday                             
1960/03/01     4                   Tuesday                            
1960/03/02     5                   Wednesday                          
1960/03/03     6                   Thursday                           
1960/03/04     7                   Friday                             
1960/03/05     8                   Saturday       Insects Waken       
1960/03/06     9                   Sunday                             
1960/03/07     10                  Monday                             
1960/03/08     11                  Tuesday                            
1960/03/09     12                  Wednesday                          
1960/03/10     13                  Thursday                           
1960/03/11     14                  Friday                             
1960/03/12     15                  Saturday                           
1960/03/13     16                  Sunday                             
1960/03/14     17                  Monday                             
1960/03/15     18                  Tuesday                            
1960/03/16     19                  Wednesday                          
1960/03/17     20                  Thursday                           
1960/03/18     21                  Friday                             
1960/03/19     22                  Saturday                           
1960/03/20     23                  Sunday         Vernal Equinox      
1960/03/21     24                  Monday                             
1960/03/22     25                  Tuesday                            
1960/03/23     26                  Wednesday                       
1960/03/24     27                  Thursday                           
1960/03/25     28                  Friday                             
1960/03/26     29                  Saturday                           
1960/03/27     3rd Lunar month     Sunday                             
1960/03/28     2                   Monday                             
1960/03/29     3                   Tuesday                            
1960/03/30     4                   Wednesday                          
1960/03/31     5                   Thursday                           
1960/04/01     6                   Friday                             
1960/04/02     7                   Saturday                           
1960/04/03     8                   Sunday                             
1960/04/04     9                   Monday                             
1960/04/05     10                  Tuesday        Bright & Clear      
1960/04/06     11                  Wednesday                          
1960/04/07     12                  Thursday                           
1960/04/08     13                  Friday                             
1960/04/09     14                  Saturday                           
1960/04/10     15                  Sunday                             
1960/04/11     16                  Monday                             
1960/04/12     17                  Tuesday                            
1960/04/13     18                  Wednesday                          
1960/04/14     19                  Thursday                           
1960/04/15     20                  Friday                             
1960/04/16     21                  Saturday                           
1960/04/17     22                  Sunday                             
1960/04/18     23                  Monday                             
1960/04/19     24                  Tuesday                            
1960/04/20     25                  Wednesday      Corn Rain           
1960/04/21     26                  Thursday                           
1960/04/22     27                  Friday                             
1960/04/23     28                  Saturday                           
1960/04/24     29                  Sunday                             
1960/04/25     30                  Monday                             
