Gregorian-Lunar Calendar Conversion Table of 1961 (Xin-chou ¡V year of the Ox)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1961/01/01     15                  Sunday                             
1961/01/02     16                  Monday                             
1961/01/03     17                  Tuesday                            
1961/01/04     18                  Wednesday                          
1961/01/05     19                  Thursday       Moderate Cold       
1961/01/06     20                  Friday                             
1961/01/07     21                  Saturday                           
1961/01/08     22                  Sunday                             
1961/01/09     23                  Monday                             
1961/01/10     24                  Tuesday                            
1961/01/11     25                  Wednesday                          
1961/01/12     26                  Thursday                           
1961/01/13     27                  Friday                             
1961/01/14     28                  Saturday                           
1961/01/15     29                  Sunday                             
1961/01/16     30                  Monday                             
1961/01/17     12th Lunar month    Tuesday                            
1961/01/18     2                   Wednesday                          
1961/01/19     3                   Thursday                           
1961/01/20     4                   Friday         Severe Cold         
1961/01/21     5                   Saturday                           
1961/01/22     6                   Sunday                             
1961/01/23     7                   Monday                             
1961/01/24     8                   Tuesday                            
1961/01/25     9                   Wednesday                          
1961/01/26     10                  Thursday                           
1961/01/27     11                  Friday                             
1961/01/28     12                  Saturday                           
1961/01/29     13                  Sunday                             
1961/01/30     14                  Monday                             
1961/01/31     15                  Tuesday                            
1961/02/01     16                  Wednesday                          
1961/02/02     17                  Thursday                           
1961/02/03     18                  Friday                             
1961/02/04     19                  Saturday       Spring Commences    
1961/02/05     20                  Sunday                             
1961/02/06     21                  Monday                             
1961/02/07     22                  Tuesday                            
1961/02/08     23                  Wednesday                          
1961/02/09     24                  Thursday                           
1961/02/10     25                  Friday                             
1961/02/11     26                  Saturday                           
1961/02/12     27                  Sunday                             
1961/02/13     28                  Monday                             
1961/02/14     29                  Tuesday                            
1961/02/15     1st Lunar month     Wednesday                          
1961/02/16     2                   Thursday                           
1961/02/17     3                   Friday                             
1961/02/18     4                   Saturday                           
1961/02/19     5                   Sunday         Spring Showers      
1961/02/20     6                   Monday                             
1961/02/21     7                   Tuesday                            
1961/02/22     8                   Wednesday                          
1961/02/23     9                   Thursday                           
1961/02/24     10                  Friday                             
1961/02/25     11                  Saturday                           
1961/02/26     12                  Sunday                             
1961/02/27     13                  Monday                             
1961/02/28     14                  Tuesday                            
1961/03/01     15                  Wednesday                          
1961/03/02     16                  Thursday                           
1961/03/03     17                  Friday                             
1961/03/04     18                  Saturday                           
1961/03/05     19                  Sunday                             
1961/03/06     20                  Monday         Insects Waken       
1961/03/07     21                  Tuesday                            
1961/03/08     22                  Wednesday                          
1961/03/09     23                  Thursday                           
1961/03/10     24                  Friday                             
1961/03/11     25                  Saturday                           
1961/03/12     26                  Sunday                             
1961/03/13     27                  Monday                             
1961/03/14     28                  Tuesday                            
1961/03/15     29                  Wednesday                          
1961/03/16     30                  Thursday                           
1961/03/17     2nd Lunar month     Friday                             
1961/03/18     2                   Saturday                           
1961/03/19     3                   Sunday                             
1961/03/20     4                   Monday                             
1961/03/21     5                   Tuesday        Vernal Equinox      
1961/03/22     6                   Wednesday                          
1961/03/23     7                   Thursday                           
1961/03/24     8                   Friday                             
1961/03/25     9                   Saturday                           
1961/03/26     10                  Sunday                             
1961/03/27     11                  Monday                             
1961/03/28     12                  Tuesday                            
1961/03/29     13                  Wednesday                          
1961/03/30     14                  Thursday                           
1961/03/31     15                  Friday                             
1961/04/01     16                  Saturday                           
1961/04/02     17                  Sunday                             
1961/04/03     18                  Monday                             
1961/04/04     19                  Tuesday                            
1961/04/05     20                  Wednesday      Bright & Clear      
1961/04/06     21                  Thursday                           
1961/04/07     22                  Friday                             
1961/04/08     23                  Saturday                           
1961/04/09     24                  Sunday                             
1961/04/10     25                  Monday                             
1961/04/11     26                  Tuesday                            
1961/04/12     27                  Wednesday                          
1961/04/13     28                  Thursday                           
1961/04/14     29                  Friday                             
1961/04/15     3rd Lunar month     Saturday                           
1961/04/16     2                   Sunday                             
1961/04/17     3                   Monday                             
1961/04/18     4                   Tuesday                            
1961/04/19     5                   Wednesday                          
1961/04/20     6                   Thursday       Corn Rain           
1961/04/21     7                   Friday                             
1961/04/22     8                   Saturday                           
1961/04/23     9                   Sunday                             
1961/04/24     10                  Monday                             
1961/04/25     11                  Tuesday                            
1961/04/26     12                  Wednesday                          
1961/04/27     13                  Thursday                           
1961/04/28     14                  Friday                             
1961/04/29     15                  Saturday                           
1961/04/30     16                  Sunday                             
1961/05/01     17                  Monday                             
1961/05/02     18                  Tuesday                            
1961/05/03     19                  Wednesday                          
1961/05/04     20                  Thursday                           
1961/05/05     21                  Friday                             
1961/05/06     22                  Saturday       Summer Commences    
1961/05/07     23                  Sunday                             
1961/05/08     24                  Monday                             
1961/05/09     25                  Tuesday                            
1961/05/10     26                  Wednesday                          
1961/05/11     27                  Thursday                           
1961/05/12     28                  Friday                             
1961/05/13     29                  Saturday                           
1961/05/14     30                  Sunday                             
1961/05/15     4th Lunar month     Monday                             
1961/05/16     2                   Tuesday                            
1961/05/17     3                   Wednesday                          
1961/05/18     4                   Thursday                           
1961/05/19     5                   Friday                             
1961/05/20     6                   Saturday                           
1961/05/21     7                   Sunday         Corn Forms          
1961/05/22     8                   Monday                             
1961/05/23     9                   Tuesday                            
1961/05/24     10                  Wednesday                          
1961/05/25     11                  Thursday                           
1961/05/26     12                  Friday                             
1961/05/27     13                  Saturday                           
1961/05/28     14                  Sunday                             
1961/05/29     15                  Monday                             
1961/05/30     16                  Tuesday                            
1961/05/31     17                  Wednesday                          
1961/06/01     18                  Thursday                           
1961/06/02     19                  Friday                             
1961/06/03     20                  Saturday                           
1961/06/04     21                  Sunday                             
1961/06/05     22                  Monday                             
1961/06/06     23                  Tuesday        Corn on Ear         
1961/06/07     24                  Wednesday                          
1961/06/08     25                  Thursday                           
1961/06/09     26                  Friday                             
1961/06/10     27                  Saturday                           
1961/06/11     28                  Sunday                             
1961/06/12     29                  Monday                             
