Gregorian-Lunar Calendar Conversion Table of 1962 (Ren-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1962/01/01     25                  Monday                             
1962/01/02     26                  Tuesday                            
1962/01/03     27                  Wednesday                          
1962/01/04     28                  Thursday                           
1962/01/05     29                  Friday                             
1962/01/06     12th Lunar month    Saturday       Moderate Cold       
1962/01/07     2                   Sunday                             
1962/01/08     3                   Monday                             
1962/01/09     4                   Tuesday                            
1962/01/10     5                   Wednesday                          
1962/01/11     6                   Thursday                           
1962/01/12     7                   Friday                             
1962/01/13     8                   Saturday                           
1962/01/14     9                   Sunday                             
1962/01/15     10                  Monday                             
1962/01/16     11                  Tuesday                            
1962/01/17     12                  Wednesday                          
1962/01/18     13                  Thursday                           
1962/01/19     14                  Friday                             
1962/01/20     15                  Saturday       Severe Cold         
1962/01/21     16                  Sunday                             
1962/01/22     17                  Monday                             
1962/01/23     18                  Tuesday                            
1962/01/24     19                  Wednesday                          
1962/01/25     20                  Thursday                           
1962/01/26     21                  Friday                             
1962/01/27     22                  Saturday                           
1962/01/28     23                  Sunday                             
1962/01/29     24                  Monday                             
1962/01/30     25                  Tuesday                            
1962/01/31     26                  Wednesday                          
1962/02/01     27                  Thursday                           
1962/02/02     28                  Friday                             
1962/02/03     29                  Saturday                           
1962/02/04     30                  Sunday         Spring Commences    
1962/02/05     1st Lunar month     Monday                             
1962/02/06     2                   Tuesday                            
1962/02/07     3                   Wednesday                          
1962/02/08     4                   Thursday                           
1962/02/09     5                   Friday                             
1962/02/10     6                   Saturday                           
1962/02/11     7                   Sunday                             
1962/02/12     8                   Monday                             
1962/02/13     9                   Tuesday                            
1962/02/14     10                  Wednesday                          
1962/02/15     11                  Thursday                           
1962/02/16     12                  Friday                             
1962/02/17     13                  Saturday                           
1962/02/18     14                  Sunday                             
1962/02/19     15                  Monday         Spring Showers      
1962/02/20     16                  Tuesday                            
1962/02/21     17                  Wednesday                          
1962/02/22     18                  Thursday                           
1962/02/23     19                  Friday                        
1962/02/24     20                  Saturday                           
1962/02/25     21                  Sunday                             
1962/02/26     22                  Monday                             
1962/02/27     23                  Tuesday                            
1962/02/28     24                  Wednesday                          
1962/03/01     25                  Thursday                           
1962/03/02     26                  Friday                             
1962/03/03     27                  Saturday                           
1962/03/04     28                  Sunday                             
1962/03/05     29                  Monday                             
1962/03/06     2nd Lunar month     Tuesday        Insects Waken       
1962/03/07     2                   Wednesday                          
1962/03/08     3                   Thursday                           
1962/03/09     4                   Friday                             
1962/03/10     5                   Saturday                           
1962/03/11     6                   Sunday                             
1962/03/12     7                   Monday                             
1962/03/13     8                   Tuesday                            
1962/03/14     9                   Wednesday                          
1962/03/15     10                  Thursday                           
1962/03/16     11                  Friday                             
1962/03/17     12                  Saturday                           
1962/03/18     13                  Sunday                             
1962/03/19     14                  Monday                             
1962/03/20     15                  Tuesday                            
1962/03/21     16                  Wednesday      Vernal Equinox      
1962/03/22     17                  Thursday                           
1962/03/23     18                  Friday                             
1962/03/24     19                  Saturday                           
1962/03/25     20                  Sunday                             
1962/03/26     21                  Monday                             
1962/03/27     22                  Tuesday                            
1962/03/28     23                  Wednesday                          
1962/03/29     24                  Thursday                           
1962/03/30     25                  Friday                             
1962/03/31     26                  Saturday                           
1962/04/01     27                  Sunday                             
1962/04/02     28                  Monday                             
1962/04/03     29                  Tuesday                            
1962/04/04     30                  Wednesday                          
1962/04/05     3rd Lunar month     Thursday       Bright & Clear      
1962/04/06     2                   Friday                             
1962/04/07     3                   Saturday                           
1962/04/08     4                   Sunday                             
1962/04/09     5                   Monday                             
1962/04/10     6                   Tuesday                            
1962/04/11     7                   Wednesday                          
1962/04/12     8                   Thursday                           
1962/04/13     9                   Friday                             
1962/04/14     10                  Saturday                           
1962/04/15     11                  Sunday                             
1962/04/16     12                  Monday                             
1962/04/17     13                  Tuesday                            
1962/04/18     14                  Wednesday                          
1962/04/19     15                  Thursday                           
1962/04/20     16                  Friday         Corn Rain           
1962/04/21     17                  Saturday                           
1962/04/22     18                  Sunday                             
1962/04/23     19                  Monday                             
1962/04/24     20                  Tuesday                            
1962/04/25     21                  Wednesday                          
1962/04/26     22                  Thursday                           
1962/04/27     23                  Friday                             
1962/04/28     24                  Saturday                           
1962/04/29     25                  Sunday                             
1962/04/30     26                  Monday                             
1962/05/01     27                  Tuesday                            
1962/05/02     28                  Wednesday                          
1962/05/03     29                  Thursday                           
1962/05/04     4th Lunar month     Friday                             
1962/05/05     2                   Saturday                           
1962/05/06     3                   Sunday         Summer Commences    
1962/05/07     4                   Monday                             
1962/05/08     5                   Tuesday                            
1962/05/09     6                   Wednesday                          
1962/05/10     7                   Thursday                           
1962/05/11     8                   Friday                             
1962/05/12     9                   Saturday                           
1962/05/13     10                  Sunday                             
1962/05/14     11                  Monday                             
1962/05/15     12                  Tuesday                            
1962/05/16     13                  Wednesday                          
1962/05/17     14                  Thursday                           
1962/05/18     15                  Friday                             
1962/05/19     16                  Saturday                           
1962/05/20     17                  Sunday                             
1962/05/21     18                  Monday         Corn Forms          
1962/05/22     19                  Tuesday                            
1962/05/23     20                  Wednesday                          
1962/05/24     21                  Thursday                           
1962/05/25     22                  Friday                             
1962/05/26     23                  Saturday                           
1962/05/27     24                  Sunday                             
