Gregorian-Lunar Calendar Conversion Table of 1963 (Gui-mao ¡V year of the Rabbit)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1963/01/01     6                   Tuesday                            
1963/01/02     7                   Wednesday                          
1963/01/03     8                   Thursday                           
1963/01/04     9                   Friday                             
1963/01/05     10                  Saturday                           
1963/01/06     11                  Sunday         Moderate Cold       
1963/01/07     12                  Monday                             
1963/01/08     13                  Tuesday                            
1963/01/09     14                  Wednesday                          
1963/01/10     15                  Thursday                           
1963/01/11     16                  Friday                             
1963/01/12     17                  Saturday                           
1963/01/13     18                  Sunday                             
1963/01/14     19                  Monday                             
1963/01/15     20                  Tuesday                            
1963/01/16     21                  Wednesday                          
1963/01/17     22                  Thursday                           
1963/01/18     23                  Friday                             
1963/01/19     24                  Saturday                           
1963/01/20     25                  Sunday                             
1963/01/21     26                  Monday         Severe Cold         
1963/01/22     27                  Tuesday                            
1963/01/23     28                  Wednesday                          
1963/01/24     29                  Thursday                           
1963/01/25     1st Lunar month     Friday                             
1963/01/26     2                   Saturday                           
1963/01/27     3                   Sunday                             
1963/01/28     4                   Monday                             
1963/01/29     5                   Tuesday                            
1963/01/30     6                   Wednesday                          
1963/01/31     7                   Thursday                           
1963/02/01     8                   Friday                             
1963/02/02     9                   Saturday                           
1963/02/03     10                  Sunday                             
1963/02/04     11                  Monday         Spring Commences    
1963/02/05     12                  Tuesday                            
1963/02/06     13                  Wednesday                          
1963/02/07     14                  Thursday                           
1963/02/08     15                  Friday                             
1963/02/09     16                  Saturday                           
1963/02/10     17                  Sunday                             
1963/02/11     18                  Monday                             
1963/02/12     19                  Tuesday                            
1963/02/13     20                  Wednesday                          
1963/02/14     21                  Thursday                           
1963/02/15     22                  Friday                             
1963/02/16     23                  Saturday                           
1963/02/17     24                  Sunday                             
1963/02/18     25                  Monday                             
1963/02/19     26                  Tuesday        Spring Showers      
1963/02/20     27                  Wednesday                          
1963/02/21     28                  Thursday                           
1963/02/22     29                  Friday                             
1963/02/23     30                  Saturday                           
1963/02/24     2nd Lunar month     Sunday                             
1963/02/25     2                   Monday                             
1963/02/26     3                   Tuesday                            
1963/02/27     4                   Wednesday                          
1963/02/28     5                   Thursday                           
1963/03/01     6                   Friday                             
1963/03/02     7                   Saturday                           
1963/03/03     8                   Sunday                             
1963/03/04     9                   Monday                             
1963/03/05     10                  Tuesday                            
1963/03/06     11                  Wednesday      Insects Waken       
1963/03/07     12                  Thursday                           
1963/03/08     13                  Friday                             
1963/03/09     14                  Saturday                           
1963/03/10     15                  Sunday                             
1963/03/11     16                  Monday                             
1963/03/12     17                  Tuesday                            
1963/03/13     18                  Wednesday                          
1963/03/14     19                  Thursday                           
1963/03/15     20                  Friday                             
1963/03/16     21                  Saturday                           
1963/03/17     22                  Sunday                             
1963/03/18     23                  Monday                             
1963/03/19     24                  Tuesday                            
1963/03/20     25                  Wednesday                          
1963/03/21     26                  Thursday       Vernal Equinox      
1963/03/22     27                  Friday                             
1963/03/23     28                  Saturday                           
1963/03/24     29                  Sunday                             
1963/03/25     3rd Lunar month     Monday                             
1963/03/26     2                   Tuesday                            
1963/03/27     3                   Wednesday                          
1963/03/28     4                   Thursday                           
1963/03/29     5                   Friday                             
1963/03/30     6                   Saturday                           
1963/03/31     7                   Sunday                             
1963/04/01     8                   Monday                             
1963/04/02     9                   Tuesday                            
1963/04/03     10                  Wednesday                          
1963/04/04     11                  Thursday                           
1963/04/05     12                  Friday         Bright & Clear      
1963/04/06     13                  Saturday                           
1963/04/07     14                  Sunday                             
1963/04/08     15                  Monday                             
1963/04/09     16                  Tuesday                            
1963/04/10     17                  Wednesday                          
1963/04/11     18                  Thursday                           
1963/04/12     19                  Friday                             
1963/04/13     20                  Saturday                           
1963/04/14     21                  Sunday                             
1963/04/15     22                  Monday                             
1963/04/16     23                  Tuesday                            
1963/04/17     24                  Wednesday                          
1963/04/18     25                  Thursday                           
1963/04/19     26                  Friday                             
1963/04/20     27                  Saturday                           
1963/04/21     28                  Sunday         Corn Rain           
1963/04/22     29                  Monday                             
1963/04/23     30                  Tuesday                            
1963/04/24     4th Lunar month     Wednesday                          
1963/04/25     2                   Thursday                           
1963/04/26     3                   Friday                             
