Gregorian-Lunar Calendar Conversion Table of 1965 (Yi-si ¡V year of the Snake)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1965/01/01     29                  Friday                             
1965/01/02     30                  Saturday                           
1965/01/03     12th Lunar month    Sunday                             
1965/01/04     2                   Monday                             
1965/01/05     3                   Tuesday        Moderate Cold       
1965/01/06     4                   Wednesday                          
1965/01/07     5                   Thursday                           
1965/01/08     6                   Friday                             
1965/01/09     7                   Saturday                           
1965/01/10     8                   Sunday                             
1965/01/11     9                   Monday                             
1965/01/12     10                  Tuesday                            
1965/01/13     11                  Wednesday                          
1965/01/14     12                  Thursday                           
1965/01/15     13                  Friday                             
1965/01/16     14                  Saturday                           
1965/01/17     15                  Sunday                             
1965/01/18     16                  Monday                             
1965/01/19     17                  Tuesday                            
1965/01/20     18                  Wednesday      Severe Cold         
1965/01/21     19                  Thursday                           
1965/01/22     20                  Friday                             
1965/01/23     21                  Saturday                           
1965/01/24     22                  Sunday                             
1965/01/25     23                  Monday                             
1965/01/26     24                  Tuesday                            
1965/01/27     25                  Wednesday                          
1965/01/28     26                  Thursday                           
1965/01/29     27                  Friday                             
1965/01/30     28                  Saturday                           
1965/01/31     29                  Sunday                             
1965/02/01     30                  Monday                             
1965/02/02     1st Lunar month     Tuesday                            
1965/02/03     2                   Wednesday                          
1965/02/04     3                   Thursday       Spring Commences    
1965/02/05     4                   Friday                             
1965/02/06     5                   Saturday                           
1965/02/07     6                   Sunday                             
1965/02/08     7                   Monday                             
1965/02/09     8                   Tuesday                            
1965/02/10     9                   Wednesday                          
1965/02/11     10                  Thursday                           
1965/02/12     11                  Friday                             
1965/02/13     12                  Saturday                           
1965/02/14     13                  Sunday                             
1965/02/15     14                  Monday                             
1965/02/16     15                  Tuesday                            
1965/02/17     16                  Wednesday                          
1965/02/18     17                  Thursday                           
1965/02/19     18                  Friday         Spring Showers      
1965/02/20     19                  Saturday                           
1965/02/21     20                  Sunday                             
1965/02/22     21                  Monday                             
1965/02/23     22                  Tuesday                            
1965/02/24     23                  Wednesday                          
1965/02/25     24                  Thursday                           
1965/02/26     25                  Friday                             
1965/02/27     26                  Saturday                           
1965/02/28     27                  Sunday                             
1965/03/01     28                  Monday                             
1965/03/02     29                  Tuesday                            
1965/03/03     2nd Lunar month     Wednesday                          
1965/03/04     2                   Thursday                           
1965/03/05     3                   Friday                             
1965/03/06     4                   Saturday       Insects Waken       
1965/03/07     5                   Sunday                             
1965/03/08     6                   Monday                             
1965/03/09     7                   Tuesday                            
1965/03/10     8                   Wednesday                          
1965/03/11     9                   Thursday                           
1965/03/12     10                  Friday                             
1965/03/13     11                  Saturday                           
1965/03/14     12                  Sunday                             
1965/03/15     13                  Monday                             
1965/03/16     14                  Tuesday                            
1965/03/17     15                  Wednesday                          
1965/03/18     16                  Thursday                           
1965/03/19     17                  Friday                             
1965/03/20     18                  Saturday                           
1965/03/21     19                  Sunday         Vernal Equinox      
1965/03/22     20                  Monday                             
1965/03/23     21                  Tuesday                            
1965/03/24     22                  Wednesday                          
1965/03/25     23                  Thursday                           
1965/03/26     24                  Friday                             
1965/03/27     25                  Saturday                           
1965/03/28     26                  Sunday                             
1965/03/29     27                  Monday                             
1965/03/30     28                  Tuesday                            
1965/03/31     29                  Wednesday                          
1965/04/01     30                  Thursday                           
1965/04/02     3rd Lunar month     Friday                             
1965/04/03     2                   Saturday                           
1965/04/04     3                   Sunday                             
1965/04/05     4                   Monday         Bright & Clear      
1965/04/06     5                   Tuesday                            
1965/04/07     6                   Wednesday                          
1965/04/08     7                   Thursday                           
1965/04/09     8                   Friday                             
1965/04/10     9                   Saturday                           
1965/04/11     10                  Sunday                             
1965/04/12     11                  Monday                             
1965/04/13     12                  Tuesday                            
1965/04/14     13                  Wednesday                          
1965/04/15     14                  Thursday                           
1965/04/16     15                  Friday                             
1965/04/17     16                  Saturday                           
1965/04/18     17                  Sunday                             
1965/04/19     18                  Monday                             
1965/04/20     19                  Tuesday        Corn Rain           
1965/04/21     20                  Wednesday                          
1965/04/22     21                  Thursday                           
1965/04/23     22                  Friday                             
1965/04/24     23                  Saturday                           
1965/04/25     24                  Sunday                             
1965/04/26     25                  Monday                             
1965/04/27     26                  Tuesday                            
1965/04/28     27                  Wednesday                          
1965/04/29     28                  Thursday                           
1965/04/30     29                  Friday                             
1965/05/01     4th Lunar month     Saturday                           
1965/05/02     2                   Sunday                             
1965/05/03     3                   Monday                             
1965/05/04     4                   Tuesday                            
1965/05/05     5                   Wednesday                          
