Gregorian-Lunar Calendar Conversion Table of 1969 (Ji-you ¡V year of the Rooster)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1969/01/01     13                  Wednesday                          
1969/01/02     14                  Thursday                           
1969/01/03     15                  Friday                             
1969/01/04     16                  Saturday                           
1969/01/05     17                  Sunday         Moderate Cold       
1969/01/06     18                  Monday                             
1969/01/07     19                  Tuesday                            
1969/01/08     20                  Wednesday                          
1969/01/09     21                  Thursday                           
1969/01/10     22                  Friday                             
1969/01/11     23                  Saturday                           
1969/01/12     24                  Sunday                             
1969/01/13     25                  Monday                             
1969/01/14     26                  Tuesday                            
1969/01/15     27                  Wednesday                          
1969/01/16     28                  Thursday                           
1969/01/17     29                  Friday                             
1969/01/18     12th Lunar month    Saturday                           
1969/01/19     2                   Sunday                             
1969/01/20     3                   Monday         Severe Cold         
1969/01/21     4                   Tuesday                            
1969/01/22     5                   Wednesday                          
1969/01/23     6                   Thursday                           
1969/01/24     7                   Friday                             
1969/01/25     8                   Saturday                           
1969/01/26     9                   Sunday                             
1969/01/27     10                  Monday                             
1969/01/28     11                  Tuesday                            
1969/01/29     12                  Wednesday                          
1969/01/30     13                  Thursday                           
1969/01/31     14                  Friday                             
1969/02/01     15                  Saturday                           
1969/02/02     16                  Sunday                             
1969/02/03     17                  Monday                             
1969/02/04     18                  Tuesday        Spring Commences    
1969/02/05     19                  Wednesday                          
1969/02/06     20                  Thursday                           
1969/02/07     21                  Friday                             
1969/02/08     22                  Saturday                           
1969/02/09     23                  Sunday                             
1969/02/10     24                  Monday                             
1969/02/11     25                  Tuesday                            
1969/02/12     26                  Wednesday                          
1969/02/13     27                  Thursday                           
1969/02/14     28                  Friday                             
1969/02/15     29                  Saturday                           
1969/02/16     30                  Sunday                             
1969/02/17     1st Lunar month     Monday                             
1969/02/18     2                   Tuesday                            
1969/02/19     3                   Wednesday      Spring Showers      
1969/02/20     4                   Thursday                           
1969/02/21     5                   Friday                             
1969/02/22     6                   Saturday                           
1969/02/23     7                   Sunday                             
1969/02/24     8                   Monday                             
1969/02/25     9                   Tuesday                            
1969/02/26     10                  Wednesday                          
1969/02/27     11                  Thursday                           
1969/02/28     12                  Friday                             
1969/03/01     13                  Saturday                           
1969/03/02     14                  Sunday                             
1969/03/03     15                  Monday                             
1969/03/04     16                  Tuesday                            
1969/03/05     17                  Wednesday                          
1969/03/06     18                  Thursday       Insects Waken       
1969/03/07     19                  Friday                             
1969/03/08     20                  Saturday                           
1969/03/09     21                  Sunday                             
1969/03/10     22                  Monday                             
1969/03/11     23                  Tuesday                            
1969/03/12     24                  Wednesday                          
1969/03/13     25                  Thursday                           
1969/03/14     26                  Friday                             
1969/03/15     27                  Saturday                           
1969/03/16     28                  Sunday                             
1969/03/17     29                  Monday                             
1969/03/18     2nd Lunar month     Tuesday                            
1969/03/19     2                   Wednesday                          
1969/03/20     3                   Thursday                           
1969/03/21     4                   Friday         Vernal Equinox      
1969/03/22     5                   Saturday                           
1969/03/23     6                   Sunday                             
1969/03/24     7                   Monday                             
1969/03/25     8                   Tuesday                            
1969/03/26     9                   Wednesday                          
1969/03/27     10                  Thursday                           
1969/03/28     11                  Friday                             
1969/03/29     12                  Saturday                           
1969/03/30     13                  Sunday                             
1969/03/31     14                  Monday                             
1969/04/01     15                  Tuesday                            
1969/04/02     16                  Wednesday                          
1969/04/03     17                  Thursday                           
1969/04/04     18                  Friday                             
1969/04/05     19                  Saturday       Bright & Clear      
1969/04/06     20                  Sunday                             
1969/04/07     21                  Monday                             
1969/04/08     22                  Tuesday                            
1969/04/09     23                  Wednesday                          
1969/04/10     24                  Thursday                           
1969/04/11     25                  Friday                             
1969/04/12     26                  Saturday                           
1969/04/13     27                  Sunday                             
1969/04/14     28                  Monday                             
1969/04/15     29                  Tuesday                            
1969/04/16     30                  Wednesday                          
1969/04/17     3rd Lunar month     Thursday                           
1969/04/18     2                   Friday                             
1969/04/19     3                   Saturday                           
1969/04/20     4                   Sunday         Corn Rain           
1969/04/21     5                   Monday                             
1969/04/22     6                   Tuesday                            
1969/04/23     7                   Wednesday                          
1969/04/24     8                   Thursday                           
1969/04/25     9                   Friday                             
1969/04/26     10                  Saturday                           
1969/04/27     11                  Sunday                             
1969/04/28     12                  Monday                             
