Gregorian-Lunar Calendar Conversion Table of 1971 (Xin-hai ¡V year of the Pig)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1971/01/01     5                   Friday                             
1971/01/02     6                   Saturday                           
1971/01/03     7                   Sunday                             
1971/01/04     8                   Monday                             
1971/01/05     9                   Tuesday                            
1971/01/06     10                  Wednesday      Moderate Cold       
1971/01/07     11                  Thursday                           
1971/01/08     12                  Friday                             
1971/01/09     13                  Saturday                           
1971/01/10     14                  Sunday                             
1971/01/11     15                  Monday                             
1971/01/12     16                  Tuesday                            
1971/01/13     17                  Wednesday                          
1971/01/14     18                  Thursday                           
1971/01/15     19                  Friday                             
1971/01/16     20                  Saturday                           
1971/01/17     21                  Sunday                             
1971/01/18     22                  Monday                             
1971/01/19     23                  Tuesday                            
1971/01/20     24                  Wednesday                          
1971/01/21     25                  Thursday       Severe Cold         
1971/01/22     26                  Friday                             
1971/01/23     27                  Saturday                           
1971/01/24     28                  Sunday                             
1971/01/25     29                  Monday                             
1971/01/26     30                  Tuesday                            
1971/01/27     1st Lunar month     Wednesday                          
1971/01/28     2                   Thursday                           
1971/01/29     3                   Friday                             
1971/01/30     4                   Saturday                           
1971/01/31     5                   Sunday                             
1971/02/01     6                   Monday                             
1971/02/02     7                   Tuesday                            
1971/02/03     8                   Wednesday                          
1971/02/04     9                   Thursday       Spring Commences    
1971/02/05     10                  Friday                             
1971/02/06     11                  Saturday                           
1971/02/07     12                  Sunday                             
1971/02/08     13                  Monday                             
1971/02/09     14                  Tuesday                            
1971/02/10     15                  Wednesday                          
1971/02/11     16                  Thursday                           
1971/02/12     17                  Friday                             
1971/02/13     18                  Saturday                           
1971/02/14     19                  Sunday                             
1971/02/15     20                  Monday                             
1971/02/16     21                  Tuesday                            
1971/02/17     22                  Wednesday                          
1971/02/18     23                  Thursday                           
1971/02/19     24                  Friday         Spring Showers      
1971/02/20     25                  Saturday                           
1971/02/21     26                  Sunday                             
1971/02/22     27                  Monday                             
1971/02/23     28                  Tuesday                            
1971/02/24     29                  Wednesday                          
1971/02/25     2nd Lunar month     Thursday                           
1971/02/26     2                   Friday                             
1971/02/27     3                   Saturday                           
1971/02/28     4                   Sunday                             
1971/03/01     5                   Monday                             
1971/03/02     6                   Tuesday                            
1971/03/03     7                   Wednesday                          
1971/03/04     8                   Thursday                           
1971/03/05     9                   Friday                             
1971/03/06     10                  Saturday       Insects Waken       
1971/03/07     11                  Sunday                             
1971/03/08     12                  Monday                             
1971/03/09     13                  Tuesday                            
1971/03/10     14                  Wednesday                          
1971/03/11     15                  Thursday                           
1971/03/12     16                  Friday                             
1971/03/13     17                  Saturday                           
1971/03/14     18                  Sunday                             
1971/03/15     19                  Monday                             
1971/03/16     20                  Tuesday                            
1971/03/17     21                  Wednesday                          
1971/03/18     22                  Thursday                           
1971/03/19     23                  Friday                             
1971/03/20     24                  Saturday                           
1971/03/21     25                  Sunday         Vernal Equinox      
1971/03/22     26                  Monday                             
1971/03/23     27                  Tuesday                            
1971/03/24     28                  Wednesday                          
1971/03/25     29                  Thursday                           
1971/03/26     30                  Friday                             
1971/03/27     3rd Lunar month     Saturday                           
1971/03/28     2                   Sunday                             
1971/03/29     3                   Monday                             
1971/03/30     4                   Tuesday                            
1971/03/31     5                   Wednesday                          
1971/04/01     6                   Thursday                           
1971/04/02     7                   Friday                             
1971/04/03     8                   Saturday                           
1971/04/04     9                   Sunday                             
1971/04/05     10                  Monday         Bright & Clear      
1971/04/06     11                  Tuesday                            
1971/04/07     12                  Wednesday                          
1971/04/08     13                  Thursday                           
1971/04/09     14                  Friday                             
1971/04/10     15                  Saturday                           
1971/04/11     16                  Sunday                             
1971/04/12     17                  Monday                             
1971/04/13     18                  Tuesday                            
1971/04/14     19                  Wednesday                          
1971/04/15     20                  Thursday                           
1971/04/16     21                  Friday                             
1971/04/17     22                  Saturday                           
1971/04/18     23                  Sunday                             
1971/04/19     24                  Monday                             
1971/04/20     25                  Tuesday                            
1971/04/21     26                  Wednesday      Corn Rain           
1971/04/22     27                  Thursday                           
1971/04/23     28                  Friday                             
1971/04/24     29                  Saturday                           
1971/04/25     4th Lunar month     Sunday                             
1971/04/26     2                   Monday                             
1971/04/27     3                   Tuesday                            
1971/04/28     4                   Wednesday                          
1971/04/29     5                   Thursday                           
1971/04/30     6                   Friday                             
1971/05/01     7                   Saturday                           
1971/05/02     8                   Sunday                             
1971/05/03     9                   Monday                             
1971/05/04     10                  Tuesday                            
1971/05/05     11                  Wednesday                          
1971/05/06     12                  Thursday       Summer Commences    
1971/05/07     13                  Friday                             
1971/05/08     14                  Saturday                           
1971/05/09     15                  Sunday                             
1971/05/10     16                  Monday                             
1971/05/11     17                  Tuesday                            
1971/05/12     18                  Wednesday                          
1971/05/13     19                  Thursday                           
1971/05/14     20                  Friday                             
1971/05/15     21                  Saturday                           
1971/05/16     22                  Sunday                             
1971/05/17     23                  Monday                             
1971/05/18     24                  Tuesday                            
1971/05/19     25                  Wednesday                          
1971/05/20     26                  Thursday                           
1971/05/21     27                  Friday                             
1971/05/22     28                  Saturday       Corn Forms          
1971/05/23     29                  Sunday                             
1971/05/24     5th Lunar month     Monday                             
1971/05/25     2                   Tuesday                            
1971/05/26     3                   Wednesday                          
1971/05/27     4                   Thursday                           
