Gregorian-Lunar Calendar Conversion Table of 1978 (Wu-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1978/01/01     22                  Sunday                             
1978/01/02     23                  Monday                             
1978/01/03     24                  Tuesday                            
1978/01/04     25                  Wednesday                          
1978/01/05     26                  Thursday                           
1978/01/06     27                  Friday         Moderate Cold       
1978/01/07     28                  Saturday                           
1978/01/08     29                  Sunday                             
1978/01/09     12th Lunar month    Monday                             
1978/01/10     2                   Tuesday                            
1978/01/11     3                   Wednesday                          
1978/01/12     4                   Thursday                           
1978/01/13     5                   Friday                             
1978/01/14     6                   Saturday                           
1978/01/15     7                   Sunday                             
1978/01/16     8                   Monday                             
1978/01/17     9                   Tuesday                            
1978/01/18     10                  Wednesday                          
1978/01/19     11                  Thursday                           
1978/01/20     12                  Friday         Severe Cold         
1978/01/21     13                  Saturday                           
1978/01/22     14                  Sunday                             
1978/01/23     15                  Monday                             
1978/01/24     16                  Tuesday                            
1978/01/25     17                  Wednesday                          
1978/01/26     18                  Thursday                           
1978/01/27     19                  Friday                             
1978/01/28     20                  Saturday                           
1978/01/29     21                  Sunday                             
1978/01/30     22                  Monday                             
1978/01/31     23                  Tuesday                            
1978/02/01     24                  Wednesday                          
1978/02/02     25                  Thursday                           
1978/02/03     26                  Friday                             
1978/02/04     27                  Saturday       Spring Commences    
1978/02/05     28                  Sunday                             
1978/02/06     29                  Monday                             
1978/02/07     1st Lunar month     Tuesday                            
1978/02/08     2                   Wednesday                          
1978/02/09     3                   Thursday                           
1978/02/10     4                   Friday                             
1978/02/11     5                   Saturday                           
1978/02/12     6                   Sunday                             
1978/02/13     7                   Monday                             
1978/02/14     8                   Tuesday                            
1978/02/15     9                   Wednesday                          
1978/02/16     10                  Thursday                           
1978/02/17     11                  Friday                             
1978/02/18     12                  Saturday                           
1978/02/19     13                  Sunday         Spring Showers      
1978/02/20     14                  Monday                             
1978/02/21     15                  Tuesday                            
1978/02/22     16                  Wednesday                          
1978/02/23     17                  Thursday                           
1978/02/24     18                  Friday                             
1978/02/25     19                  Saturday                           
1978/02/26     20                  Sunday                             
1978/02/27     21                  Monday                             
1978/02/28     22                  Tuesday                            
1978/03/01     23                  Wednesday                          
1978/03/02     24                  Thursday                           
1978/03/03     25                  Friday                             
1978/03/04     26                  Saturday                           
1978/03/05     27                  Sunday                             
1978/03/06     28                  Monday         Insects Waken       
1978/03/07     29                  Tuesday                            
1978/03/08     30                  Wednesday                          
1978/03/09     2nd Lunar month     Thursday                           
1978/03/10     2                   Friday                             
1978/03/11     3                   Saturday                           
1978/03/12     4                   Sunday                             
1978/03/13     5                   Monday                             
1978/03/14     6                   Tuesday                            
1978/03/15     7                   Wednesday                          
1978/03/16     8                   Thursday                           
1978/03/17     9                   Friday                             
1978/03/18     10                  Saturday                           
1978/03/19     11                  Sunday                             
1978/03/20     12                  Monday                             
1978/03/21     13                  Tuesday        Vernal Equinox      
1978/03/22     14                  Wednesday                          
1978/03/23     15                  Thursday                           
1978/03/24     16                  Friday                             
1978/03/25     17                  Saturday                           
1978/03/26     18                  Sunday                             
1978/03/27     19                  Monday                             
1978/03/28     20                  Tuesday                            
1978/03/29     21                  Wednesday                          
1978/03/30     22                  Thursday                           
1978/03/31     23                  Friday                             
1978/04/01     24                  Saturday                           
1978/04/02     25                  Sunday                             
1978/04/03     26                  Monday                             
1978/04/04     27                  Tuesday                            
1978/04/05     28                  Wednesday      Bright & Clear      
1978/04/06     29                  Thursday                           
1978/04/07     3rd Lunar month     Friday                             
1978/04/08     2                   Saturday                           
1978/04/09     3                   Sunday                             
1978/04/10     4                   Monday                             
1978/04/11     5                   Tuesday                            
1978/04/12     6                   Wednesday                          
1978/04/13     7                   Thursday                           
1978/04/14     8                   Friday                             
1978/04/15     9                   Saturday                           
1978/04/16     10                  Sunday                             
1978/04/17     11                  Monday                             
1978/04/18     12                  Tuesday                            
1978/04/19     13                  Wednesday                          
1978/04/20     14                  Thursday       Corn Rain           
1978/04/21     15                  Friday                             
1978/04/22     16                  Saturday                           
1978/04/23     17                  Sunday                             
1978/04/24     18                  Monday                             
1978/04/25     19                  Tuesday                            
1978/04/26     20                  Wednesday                          
1978/04/27     21                  Thursday                           
1978/04/28     22                  Friday                             
1978/04/29     23                  Saturday                           
1978/04/30     24                  Sunday                             
1978/05/01     25                  Monday                             
1978/05/02     26                  Tuesday                            
1978/05/03     27                  Wednesday                          
1978/05/04     28                  Thursday                           
1978/05/05     29                  Friday                             
1978/05/06     30                  Saturday       Summer Commences    
1978/05/07     4th Lunar month     Sunday                             
1978/05/08     2                   Monday                             
1978/05/09     3                   Tuesday                            
1978/05/10     4                   Wednesday                          
1978/05/11     5                   Thursday                           
1978/05/12     6                   Friday                             
