Gregorian-Lunar Calendar Conversion Table of 1980 (Geng-shen ¡V year of the Monkey)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1980/01/01     14                  Tuesday                            
1980/01/02     15                  Wednesday                          
1980/01/03     16                  Thursday                           
1980/01/04     17                  Friday                             
1980/01/05     18                  Saturday                           
1980/01/06     19                  Sunday         Moderate Cold       
1980/01/07     20                  Monday                             
1980/01/08     21                  Tuesday                            
1980/01/09     22                  Wednesday                          
1980/01/10     23                  Thursday                           
1980/01/11     24                  Friday                             
1980/01/12     25                  Saturday                           
1980/01/13     26                  Sunday                             
1980/01/14     27                  Monday                             
1980/01/15     28                  Tuesday                            
1980/01/16     29                  Wednesday                          
1980/01/17     30                  Thursday                           
1980/01/18     12th Lunar month    Friday                             
1980/01/19     2                   Saturday                           
1980/01/20     3                   Sunday                             
1980/01/21     4                   Monday         Severe Cold         
1980/01/22     5                   Tuesday                            
1980/01/23     6                   Wednesday                          
1980/01/24     7                   Thursday                           
1980/01/25     8                   Friday                             
1980/01/26     9                   Saturday                           
1980/01/27     10                  Sunday                             
1980/01/28     11                  Monday                             
1980/01/29     12                  Tuesday                            
1980/01/30     13                  Wednesday                          
1980/01/31     14                  Thursday                           
1980/02/01     15                  Friday                             
1980/02/02     16                  Saturday                           
1980/02/03     17                  Sunday                             
1980/02/04     18                  Monday                             
1980/02/05     19                  Tuesday        Spring Commences    
1980/02/06     20                  Wednesday                          
1980/02/07     21                  Thursday                           
1980/02/08     22                  Friday                             
1980/02/09     23                  Saturday                           
1980/02/10     24                  Sunday                             
1980/02/11     25                  Monday                             
1980/02/12     26                  Tuesday                            
1980/02/13     27                  Wednesday                          
1980/02/14     28                  Thursday                           
1980/02/15     29                  Friday                             
1980/02/16     1st Lunar month     Saturday                           
1980/02/17     2                   Sunday                             
1980/02/18     3                   Monday                             
1980/02/19     4                   Tuesday        Spring Showers      
1980/02/20     5                   Wednesday                          
1980/02/21     6                   Thursday                           
1980/02/22     7                   Friday                             
1980/02/23     8                   Saturday                           
1980/02/24     9                   Sunday                             
1980/02/25     10                  Monday                             
1980/02/26     11                  Tuesday                            
1980/02/27     12                  Wednesday                          
1980/02/28     13                  Thursday                           
1980/02/29     14                  Friday                             
1980/03/01     15                  Saturday                           
1980/03/02     16                  Sunday                             
1980/03/03     17                  Monday                             
1980/03/04     18                  Tuesday                            
1980/03/05     19                  Wednesday      Insects Waken       
1980/03/06     20                  Thursday                           
1980/03/07     21                  Friday                             
1980/03/08     22                  Saturday                           
1980/03/09     23                  Sunday                             
1980/03/10     24                  Monday                             
1980/03/11     25                  Tuesday                            
1980/03/12     26                  Wednesday                          
1980/03/13     27                  Thursday                           
1980/03/14     28                  Friday                             
1980/03/15     29                  Saturday                           
1980/03/16     30                  Sunday                             
1980/03/17     2nd Lunar month     Monday                             
1980/03/18     2                   Tuesday                            
1980/03/19     3                   Wednesday                          
1980/03/20     4                   Thursday       Vernal Equinox      
1980/03/21     5                   Friday                             
1980/03/22     6                   Saturday                           
1980/03/23     7                   Sunday                             
1980/03/24     8                   Monday                             
1980/03/25     9                   Tuesday                            
1980/03/26     10                  Wednesday                          
1980/03/27     11                  Thursday                           
1980/03/28     12                  Friday                             
1980/03/29     13                  Saturday                           
1980/03/30     14                  Sunday                             
1980/03/31     15                  Monday                             
1980/04/01     16                  Tuesday                            
1980/04/02     17                  Wednesday                          
1980/04/03     18                  Thursday                           
1980/04/04     19                  Friday         Bright & Clear      
1980/04/05     20                  Saturday                           
1980/04/06     21                  Sunday                             
1980/04/07     22                  Monday                             
1980/04/08     23                  Tuesday                            
1980/04/09     24                  Wednesday                          
1980/04/10     25                  Thursday                           
1980/04/11     26                  Friday                             
1980/04/12     27                  Saturday                           
1980/04/13     28                  Sunday                             
1980/04/14     29                  Monday                             
1980/04/15     3rd Lunar month     Tuesday                            
1980/04/16     2                   Wednesday                          
1980/04/17     3                   Thursday                           
1980/04/18     4                   Friday                             
1980/04/19     5                   Saturday                           
1980/04/20     6                   Sunday         Corn Rain           
