Gregorian-Lunar Calendar Conversion Table of 1991 (Xin-wei ¡V year of the Goat)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1991/01/01     16                  Tuesday                            
1991/01/02     17                  Wednesday                          
1991/01/03     18                  Thursday                           
1991/01/04     19                  Friday                             
1991/01/05     20                  Saturday                           
1991/01/06     21                  Sunday         Moderate Cold       
1991/01/07     22                  Monday                             
1991/01/08     23                  Tuesday                            
1991/01/09     24                  Wednesday                          
1991/01/10     25                  Thursday                           
1991/01/11     26                  Friday                             
1991/01/12     27                  Saturday                           
1991/01/13     28                  Sunday                             
1991/01/14     29                  Monday                             
1991/01/15     30                  Tuesday                            
1991/01/16     12th Lunar month    Wednesday                          
1991/01/17     2                   Thursday                           
1991/01/18     3                   Friday                             
1991/01/19     4                   Saturday                           
1991/01/20     5                   Sunday         Severe Cold         
1991/01/21     6                   Monday                             
1991/01/22     7                   Tuesday                            
1991/01/23     8                   Wednesday                          
1991/01/24     9                   Thursday                           
1991/01/25     10                  Friday                             
1991/01/26     11                  Saturday                           
1991/01/27     12                  Sunday                             
1991/01/28     13                  Monday                             
1991/01/29     14                  Tuesday                            
1991/01/30     15                  Wednesday                          
1991/01/31     16                  Thursday                           
1991/02/01     17                  Friday                             
1991/02/02     18                  Saturday                           
1991/02/03     19                  Sunday                             
1991/02/04     20                  Monday         Spring Commences    
1991/02/05     21                  Tuesday                            
1991/02/06     22                  Wednesday                          
1991/02/07     23                  Thursday                           
1991/02/08     24                  Friday                             
1991/02/09     25                  Saturday                           
1991/02/10     26                  Sunday                             
1991/02/11     27                  Monday                             
1991/02/12     28                  Tuesday                            
1991/02/13     29                  Wednesday                          
1991/02/14     30                  Thursday                           
1991/02/15     1st Lunar month     Friday                             
1991/02/16     2                   Saturday                           
1991/02/17     3                   Sunday                             
1991/02/18     4                   Monday                             
1991/02/19     5                   Tuesday        Spring Showers      
1991/02/20     6                   Wednesday                          
1991/02/21     7                   Thursday                           
1991/02/22     8                   Friday                             
1991/02/23     9                   Saturday                           
1991/02/24     10                  Sunday                             
1991/02/25     11                  Monday                             
1991/02/26     12                  Tuesday                            
1991/02/27     13                  Wednesday                          
1991/02/28     14                  Thursday                           
1991/03/01     15                  Friday                             
1991/03/02     16                  Saturday                           
1991/03/03     17                  Sunday                             
1991/03/04     18                  Monday                             
1991/03/05     19                  Tuesday                            
1991/03/06     20                  Wednesday      Insects Waken       
1991/03/07     21                  Thursday                           
1991/03/08     22                  Friday                             
1991/03/09     23                  Saturday                           
1991/03/10     24                  Sunday                             
1991/03/11     25                  Monday                             
1991/03/12     26                  Tuesday                            
1991/03/13     27                  Wednesday                          
1991/03/14     28                  Thursday                           
1991/03/15     29                  Friday                             
1991/03/16     2nd Lunar month     Saturday                           
1991/03/17     2                   Sunday                             
1991/03/18     3                   Monday                             
1991/03/19     4                   Tuesday                            
1991/03/20     5                   Wednesday                          
1991/03/21     6                   Thursday       Vernal Equinox      
1991/03/22     7                   Friday                             
1991/03/23     8                   Saturday                           
1991/03/24     9                   Sunday                             
1991/03/25     10                  Monday                             
1991/03/26     11                  Tuesday                            
1991/03/27     12                  Wednesday                          
1991/03/28     13                  Thursday                           
1991/03/29     14                  Friday                             
1991/03/30     15                  Saturday                           
1991/03/31     16                  Sunday                             
1991/04/01     17                  Monday                             
1991/04/02     18                  Tuesday                            
1991/04/03     19                  Wednesday                          
1991/04/04     20                  Thursday                           
1991/04/05     21                  Friday         Bright & Clear      
1991/04/06     22                  Saturday                           
1991/04/07     23                  Sunday                             
1991/04/08     24                  Monday                             
