Gregorian-Lunar Calendar Conversion Table of 1992 (Ren-shen ¡V year of the Monkey)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1992/01/01     27                  Wednesday                          
1992/01/02     28                  Thursday                           
1992/01/03     29                  Friday                             
1992/01/04     30                  Saturday                           
1992/01/05     12th Lunar month    Sunday                             
1992/01/06     2                   Monday         Moderate Cold       
1992/01/07     3                   Tuesday                            
1992/01/08     4                   Wednesday                          
1992/01/09     5                   Thursday                           
1992/01/10     6                   Friday                             
1992/01/11     7                   Saturday                           
1992/01/12     8                   Sunday                             
1992/01/13     9                   Monday                             
1992/01/14     10                  Tuesday                            
1992/01/15     11                  Wednesday                          
1992/01/16     12                  Thursday                           
1992/01/17     13                  Friday                             
1992/01/18     14                  Saturday                           
1992/01/19     15                  Sunday                             
1992/01/20     16                  Monday                             
1992/01/21     17                  Tuesday        Severe Cold         
1992/01/22     18                  Wednesday                          
1992/01/23     19                  Thursday                           
1992/01/24     20                  Friday                             
1992/01/25     21                  Saturday                           
1992/01/26     22                  Sunday                             
1992/01/27     23                  Monday                             
1992/01/28     24                  Tuesday                            
1992/01/29     25                  Wednesday                          
1992/01/30     26                  Thursday                           
1992/01/31     27                  Friday                             
1992/02/01     28                  Saturday                           
1992/02/02     29                  Sunday                             
1992/02/03     30                  Monday                             
1992/02/04     1st Lunar month     Tuesday        Spring Commences    
1992/02/05     2                   Wednesday                          
1992/02/06     3                   Thursday                           
1992/02/07     4                   Friday                             
1992/02/08     5                   Saturday                           
1992/02/09     6                   Sunday                             
1992/02/10     7                   Monday                             
1992/02/11     8                   Tuesday                            
1992/02/12     9                   Wednesday                          
1992/02/13     10                  Thursday                           
1992/02/14     11                  Friday                             
1992/02/15     12                  Saturday                           
1992/02/16     13                  Sunday                             
1992/02/17     14                  Monday                             
1992/02/18     15                  Tuesday                            
1992/02/19     16                  Wednesday      Spring Showers      
1992/02/20     17                  Thursday                           
1992/02/21     18                  Friday                             
1992/02/22     19                  Saturday                           
1992/02/23     20                  Sunday                             
1992/02/24     21                  Monday                             
1992/02/25     22                  Tuesday                            
1992/02/26     23                  Wednesday                          
1992/02/27     24                  Thursday                           
1992/02/28     25                  Friday                             
1992/02/29     26                  Saturday                           
1992/03/01     27                  Sunday                             
1992/03/02     28                  Monday                             
1992/03/03     29                  Tuesday                            
1992/03/04     2nd Lunar month     Wednesday                          
1992/03/05     2                   Thursday       Insects Waken       
1992/03/06     3                   Friday                             
1992/03/07     4                   Saturday                           
1992/03/08     5                   Sunday                             
1992/03/09     6                   Monday                             
1992/03/10     7                   Tuesday                            
1992/03/11     8                   Wednesday                          
1992/03/12     9                   Thursday                           
1992/03/13     10                  Friday                             
1992/03/14     11                  Saturday                           
1992/03/15     12                  Sunday                             
1992/03/16     13                  Monday                             
1992/03/17     14                  Tuesday                            
1992/03/18     15                  Wednesday                          
1992/03/19     16                  Thursday                           
1992/03/20     17                  Friday         Vernal Equinox      
1992/03/21     18                  Saturday                           
1992/03/22     19                  Sunday                             
1992/03/23     20                  Monday                             
1992/03/24     21                  Tuesday                            
1992/03/25     22                  Wednesday                          
1992/03/26     23                  Thursday                           
1992/03/27     24                  Friday                             
1992/03/28     25                  Saturday                           
1992/03/29     26                  Sunday                             
1992/03/30     27                  Monday                             
1992/03/31     28                  Tuesday                            
1992/04/01     29                  Wednesday                          
1992/04/02     30                  Thursday                           
1992/04/03     3rd Lunar month     Friday                             
1992/04/04     2                   Saturday       Bright & Clear      
1992/04/05     3                   Sunday                             
1992/04/06     4                   Monday                             
1992/04/07     5                   Tuesday                            
1992/04/08     6                   Wednesday                          
1992/04/09     7                   Thursday                           
1992/04/10     8                   Friday                             
1992/04/11     9                   Saturday                           
1992/04/12     10                  Sunday                             
1992/04/13     11                  Monday                             
1992/04/14     12                  Tuesday                            
1992/04/15     13                  Wednesday                          
1992/04/16     14                  Thursday                           
1992/04/17     15                  Friday                             
1992/04/18     16                  Saturday                           
1992/04/19     17                  Sunday                             
1992/04/20     18                  Monday         Corn Rain           
1992/04/21     19                  Tuesday                            
1992/04/22     20                  Wednesday                          
1992/04/23     21                  Thursday                           
1992/04/24     22                  Friday                             
1992/04/25     23                  Saturday                           
1992/04/26     24                  Sunday                             
1992/04/27     25                  Monday                             
1992/04/28     26                  Tuesday                            
1992/04/29     27                  Wednesday                          
1992/04/30     28                  Thursday                           
1992/05/01     29                  Friday                             
1992/05/02     30                  Saturday                           
1992/05/03     4th Lunar month     Sunday                             
1992/05/04     2                   Monday                             
1992/05/05     3                   Tuesday        Summer Commences    
1992/05/06     4                   Wednesday                          
1992/05/07     5                   Thursday                           
1992/05/08     6                   Friday                             
1992/05/09     7                   Saturday                           
1992/05/10     8                   Sunday                             
1992/05/11     9                   Monday                             
1992/05/12     10                  Tuesday                            
1992/05/13     11                  Wednesday                          
1992/05/14     12                  Thursday                           
1992/05/15     13                  Friday                             
1992/05/16     14                  Saturday                           
1992/05/17     15                  Sunday                             
1992/05/18     16                  Monday                             
1992/05/19     17                  Tuesday                            
1992/05/20     18                  Wednesday                          
1992/05/21     19                  Thursday       Corn Forms          
1992/05/22     20                  Friday                             
1992/05/23     21                  Saturday                           
1992/05/24     22                  Sunday                             
1992/05/25     23                  Monday                             
1992/05/26     24                  Tuesday                            
1992/05/27     25                  Wednesday                          
1992/05/28     26                  Thursday                           
1992/05/29     27                  Friday                             
1992/05/30     28                  Saturday                           
1992/05/31     29                  Sunday                             
1992/06/01     5th Lunar month     Monday                             
1992/06/02     2                   Tuesday                            
1992/06/03     3                   Wednesday                          
1992/06/04     4                   Thursday                           
1992/06/05     5                   Friday         Corn on Ear         
1992/06/06     6                   Saturday                           
1992/06/07     7                   Sunday                             
1992/06/08     8                   Monday                             
1992/06/09     9                   Tuesday                            
1992/06/10     10                  Wednesday                          
1992/06/11     11                  Thursday                           
1992/06/12     12                  Friday                             
1992/06/13     13                  Saturday                           
1992/06/14     14                  Sunday                             
1992/06/15     15                  Monday                             
1992/06/16     16                  Tuesday                            
1992/06/17     17                  Wednesday                          
1992/06/18     18                  Thursday                           
1992/06/19     19                  Friday                             
1992/06/20     20                  Saturday                           
1992/06/21     21                  Sunday         Summer Solstice     
1992/06/22     22                  Monday                             
1992/06/23     23                  Tuesday                            
1992/06/24     24                  Wednesday                          
1992/06/25     25                  Thursday                           
1992/06/26     26                  Friday                             
1992/06/27     27                  Saturday                           
1992/06/28     28                  Sunday                             
1992/06/29     29                  Monday                             
1992/06/30     6th Lunar month     Tuesday                            
1992/07/01     2                   Wednesday                          
