Gregorian-Lunar Calendar Conversion Table of 1994 (Jia-xu ¡V year of the Dog)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
1994/01/01     20                  Saturday                           
1994/01/02     21                  Sunday                             
1994/01/03     22                  Monday                             
1994/01/04     23                  Tuesday                            
1994/01/05     24                  Wednesday      Moderate Cold       
1994/01/06     25                  Thursday                           
1994/01/07     26                  Friday                             
1994/01/08     27                  Saturday                           
1994/01/09     28                  Sunday                             
1994/01/10     29                  Monday                             
1994/01/11     30                  Tuesday                            
1994/01/12     12th Lunar month    Wednesday                          
1994/01/13     2                   Thursday                           
1994/01/14     3                   Friday                             
1994/01/15     4                   Saturday                           
1994/01/16     5                   Sunday                             
1994/01/17     6                   Monday                             
1994/01/18     7                   Tuesday                            
1994/01/19     8                   Wednesday                          
1994/01/20     9                   Thursday       Severe Cold         
1994/01/21     10                  Friday                             
1994/01/22     11                  Saturday                           
1994/01/23     12                  Sunday                             
1994/01/24     13                  Monday                             
1994/01/25     14                  Tuesday                            
1994/01/26     15                  Wednesday                          
1994/01/27     16                  Thursday                           
1994/01/28     17                  Friday                             
1994/01/29     18                  Saturday                           
1994/01/30     19                  Sunday                             
1994/01/31     20                  Monday                             
1994/02/01     21                  Tuesday                            
1994/02/02     22                  Wednesday                          
1994/02/03     23                  Thursday                           
1994/02/04     24                  Friday         Spring Commences    
1994/02/05     25                  Saturday                           
1994/02/06     26                  Sunday                             
1994/02/07     27                  Monday                             
1994/02/08     28                  Tuesday                            
1994/02/09     29                  Wednesday                          
1994/02/10     1st Lunar month     Thursday                           
1994/02/11     2                   Friday                             
1994/02/12     3                   Saturday                           
1994/02/13     4                   Sunday                             
1994/02/14     5                   Monday                             
1994/02/15     6                   Tuesday                            
1994/02/16     7                   Wednesday                          
1994/02/17     8                   Thursday                           
1994/02/18     9                   Friday                             
1994/02/19     10                  Saturday       Spring Showers      
1994/02/20     11                  Sunday                             
1994/02/21     12                  Monday                             
1994/02/22     13                  Tuesday                            
1994/02/23     14                  Wednesday                          
1994/02/24     15                  Thursday                           
1994/02/25     16                  Friday                             
1994/02/26     17                  Saturday                           
