Gregorian-Lunar Calendar Conversion Table of 2001 (Xin-si ¡V year of the Snake)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
2001/01/01     7                   Monday                             
2001/01/02     8                   Tuesday                            
2001/01/03     9                   Wednesday                          
2001/01/04     10                  Thursday                           
2001/01/05     11                  Friday         Moderate Cold       
2001/01/06     12                  Saturday                           
2001/01/07     13                  Sunday                             
2001/01/08     14                  Monday                             
2001/01/09     15                  Tuesday                            
2001/01/10     16                  Wednesday                          
2001/01/11     17                  Thursday                           
2001/01/12     18                  Friday                             
2001/01/13     19                  Saturday                           
2001/01/14     20                  Sunday                             
2001/01/15     21                  Monday                             
2001/01/16     22                  Tuesday                            
2001/01/17     23                  Wednesday                          
2001/01/18     24                  Thursday                           
2001/01/19     25                  Friday                             
2001/01/20     26                  Saturday       Severe Cold         
2001/01/21     27                  Sunday                             
2001/01/22     28                  Monday                             
2001/01/23     29                  Tuesday                            
2001/01/24     1st Lunar month     Wednesday                          
2001/01/25     2                   Thursday                           
2001/01/26     3                   Friday                             
2001/01/27     4                   Saturday                           
2001/01/28     5                   Sunday                             
2001/01/29     6                   Monday                             
2001/01/30     7                   Tuesday                            
2001/01/31     8                   Wednesday                          
2001/02/01     9                   Thursday                           
2001/02/02     10                  Friday                             
2001/02/03     11                  Saturday                           
2001/02/04     12                  Sunday         Spring Commences    
2001/02/05     13                  Monday                             
2001/02/06     14                  Tuesday                            
2001/02/07     15                  Wednesday                          
2001/02/08     16                  Thursday                           
2001/02/09     17                  Friday                             
2001/02/10     18                  Saturday                           
2001/02/11     19                  Sunday                             
2001/02/12     20                  Monday                             
2001/02/13     21                  Tuesday                            
2001/02/14     22                  Wednesday                          
2001/02/15     23                  Thursday                           
2001/02/16     24                  Friday                             
2001/02/17     25                  Saturday                           
2001/02/18     26                  Sunday         Spring Showers      
2001/02/19     27                  Monday                             
2001/02/20     28                  Tuesday                            
2001/02/21     29                  Wednesday                          
2001/02/22     30                  Thursday                           
2001/02/23     2nd Lunar month     Friday                             
2001/02/24     2                   Saturday                           
2001/02/25     3                   Sunday                             
2001/02/26     4                   Monday                             
2001/02/27     5                   Tuesday                            
2001/02/28     6                   Wednesday                          
2001/03/01     7                   Thursday                           
2001/03/02     8                   Friday                             
2001/03/03     9                   Saturday                           
2001/03/04     10                  Sunday                             
2001/03/05     11                  Monday         Insects Waken       
2001/03/06     12                  Tuesday                            
2001/03/07     13                  Wednesday                          
2001/03/08     14                  Thursday                           
2001/03/09     15                  Friday                             
2001/03/10     16                  Saturday                           
2001/03/11     17                  Sunday                             
2001/03/12     18                  Monday                             
2001/03/13     19                  Tuesday                            
2001/03/14     20                  Wednesday                          
2001/03/15     21                  Thursday                           
2001/03/16     22                  Friday                             
2001/03/17     23                  Saturday                           
2001/03/18     24                  Sunday                             
2001/03/19     25                  Monday                             
2001/03/20     26                  Tuesday        Vernal Equinox      
2001/03/21     27                  Wednesday                          
2001/03/22     28                  Thursday                           
2001/03/23     29                  Friday                             
2001/03/24     30                  Saturday                           
2001/03/25     3rd Lunar month     Sunday                             
2001/03/26     2                   Monday                             
2001/03/27     3                   Tuesday                            
2001/03/28     4                   Wednesday                          
2001/03/29     5                   Thursday                           
2001/03/30     6                   Friday                             
2001/03/31     7                   Saturday                           
2001/04/01     8                   Sunday                             
2001/04/02     9                   Monday                             
2001/04/03     10                  Tuesday                            
2001/04/04     11                  Wednesday                          
2001/04/05     12                  Thursday       Bright & Clear      
2001/04/06     13                  Friday                             
2001/04/07     14                  Saturday                           
2001/04/08     15                  Sunday                             
2001/04/09     16                  Monday                             
2001/04/10     17                  Tuesday                            
2001/04/11     18                  Wednesday                          
2001/04/12     19                  Thursday                           
2001/04/13     20                  Friday                             
2001/04/14     21                  Saturday                           
2001/04/15     22                  Sunday                             
2001/04/16     23                  Monday                             
2001/04/17     24                  Tuesday                            
2001/04/18     25                  Wednesday                          
2001/04/19     26                  Thursday                           
2001/04/20     27                  Friday         Corn Rain           
2001/04/21     28                  Saturday                           
2001/04/22     29                  Sunday                             
2001/04/23     4th Lunar month     Monday                             
2001/04/24     2                   Tuesday                            
2001/04/25     3                   Wednesday                          
2001/04/26     4                   Thursday                           
2001/04/27     5                   Friday                             
2001/04/28     6                   Saturday                           
2001/04/29     7                   Sunday                             
2001/04/30     8                   Monday                             
2001/05/01     9                   Tuesday                            
2001/05/02     10                  Wednesday                          
2001/05/03     11                  Thursday                           
2001/05/04     12                  Friday                             
2001/05/05     13                  Saturday       Summer Commences    
2001/05/06     14                  Sunday                             
2001/05/07     15                  Monday                             
