Gregorian-Lunar Calendar Conversion Table of 2002 (Ren-wu ¡V year of the Horse)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
2002/01/01     18                  Tuesday                            
2002/01/02     19                  Wednesday                          
2002/01/03     20                  Thursday                           
2002/01/04     21                  Friday                             
2002/01/05     22                  Saturday       Moderate Cold       
2002/01/06     23                  Sunday                             
2002/01/07     24                  Monday                             
2002/01/08     25                  Tuesday                            
2002/01/09     26                  Wednesday                          
2002/01/10     27                  Thursday                           
2002/01/11     28                  Friday                             
2002/01/12     29                  Saturday                           
2002/01/13     12th Lunar month    Sunday                             
2002/01/14     2                   Monday                             
2002/01/15     3                   Tuesday                            
2002/01/16     4                   Wednesday                          
2002/01/17     5                   Thursday                           
2002/01/18     6                   Friday                             
2002/01/19     7                   Saturday                           
2002/01/20     8                   Sunday         Severe Cold         
2002/01/21     9                   Monday                             
2002/01/22     10                  Tuesday                            
2002/01/23     11                  Wednesday                          
2002/01/24     12                  Thursday                           
2002/01/25     13                  Friday                             
2002/01/26     14                  Saturday                           
2002/01/27     15                  Sunday                             
2002/01/28     16                  Monday                             
2002/01/29     17                  Tuesday                            
2002/01/30     18                  Wednesday                          
2002/01/31     19                  Thursday                           
2002/02/01     20                  Friday                             
2002/02/02     21                  Saturday                           
2002/02/03     22                  Sunday                             
2002/02/04     23                  Monday         Spring Commences    
2002/02/05     24                  Tuesday                            
2002/02/06     25                  Wednesday                          
2002/02/07     26                  Thursday                           
2002/02/08     27                  Friday                             
2002/02/09     28                  Saturday                           
2002/02/10     29                  Sunday                             
2002/02/11     30                  Monday                             
2002/02/12     1st Lunar month     Tuesday                            
2002/02/13     2                   Wednesday                          
2002/02/14     3                   Thursday                           
2002/02/15     4                   Friday                             
2002/02/16     5                   Saturday                           
2002/02/17     6                   Sunday                             
2002/02/18     7                   Monday                             
2002/02/19     8                   Tuesday        Spring Showers      
2002/02/20     9                   Wednesday                          
2002/02/21     10                  Thursday                           
2002/02/22     11                  Friday                             
2002/02/23     12                  Saturday                           
2002/02/24     13                  Sunday                             
2002/02/25     14                  Monday                             
2002/02/26     15                  Tuesday                            
2002/02/27     16                  Wednesday                          
2002/02/28     17                  Thursday                           
2002/03/01     18                  Friday                             
2002/03/02     19                  Saturday                           
2002/03/03     20                  Sunday                             
2002/03/04     21                  Monday                             
2002/03/05     22                  Tuesday                            
2002/03/06     23                  Wednesday      Insects Waken       
2002/03/07     24                  Thursday                           
2002/03/08     25                  Friday                             
2002/03/09     26                  Saturday                           
2002/03/10     27                  Sunday                             
2002/03/11     28                  Monday                             
2002/03/12     29                  Tuesday                            
2002/03/13     30                  Wednesday                          
2002/03/14     2nd Lunar month     Thursday                           
2002/03/15     2                   Friday                             
2002/03/16     3                   Saturday                           
2002/03/17     4                   Sunday                             
2002/03/18     5                   Monday                             
2002/03/19     6                   Tuesday                            
2002/03/20     7                   Wednesday                          
2002/03/21     8                   Thursday       Vernal Equinox      
2002/03/22     9                   Friday                             
2002/03/23     10                  Saturday                           
2002/03/24     11                  Sunday                             
2002/03/25     12                  Monday                             
2002/03/26     13                  Tuesday                            
2002/03/27     14                  Wednesday                          
2002/03/28     15                  Thursday                           
2002/03/29     16                  Friday                             
2002/03/30     17                  Saturday                           
2002/03/31     18                  Sunday                             
2002/04/01     19                  Monday                             
2002/04/02     20                  Tuesday                            
2002/04/03     21                  Wednesday                          
2002/04/04     22                  Thursday                           
2002/04/05     23                  Friday         Bright & Clear      
2002/04/06     24                  Saturday                           
2002/04/07     25                  Sunday                             
2002/04/08     26                  Monday                             
2002/04/09     27                  Tuesday                            
2002/04/10     28                  Wednesday                          
2002/04/11     29                  Thursday                           
2002/04/12     30                  Friday                             
2002/04/13     3rd Lunar month     Saturday                           
2002/04/14     2                   Sunday                             
2002/04/15     3                   Monday                             
2002/04/16     4                   Tuesday                            
2002/04/17     5                   Wednesday                          
2002/04/18     6                   Thursday                           
2002/04/19     7                   Friday                             
2002/04/20     8                   Saturday       Corn Rain           
2002/04/21     9                   Sunday                             
2002/04/22     10                  Monday                             
2002/04/23     11                  Tuesday                            
2002/04/24     12                  Wednesday                          
2002/04/25     13                  Thursday                           
2002/04/26     14                  Friday                             
2002/04/27     15                  Saturday                           
2002/04/28     16                  Sunday                             
2002/04/29     17                  Monday                             
2002/04/30     18                  Tuesday                            
2002/05/01     19                  Wednesday                          
2002/05/02     20                  Thursday                           
2002/05/03     21                  Friday                             
2002/05/04     22                  Saturday                           
2002/05/05     23                  Sunday                             
2002/05/06     24                  Monday         Summer Commences    
2002/05/07     25                  Tuesday                            
2002/05/08     26                  Wednesday                          
2002/05/09     27                  Thursday                           
2002/05/10     28                  Friday                             
2002/05/11     29                  Saturday                           
2002/05/12     4th Lunar month     Sunday                             
2002/05/13     2                   Monday                             
2002/05/14     3                   Tuesday                            
2002/05/15     4                   Wednesday                          
2002/05/16     5                   Thursday                           
2002/05/17     6                   Friday                             
2002/05/18     7                   Saturday                           
2002/05/19     8                   Sunday                             
2002/05/20     9                   Monday                             
2002/05/21     10                  Tuesday        Corn Forms          
2002/05/22     11                  Wednesday                          
2002/05/23     12                  Thursday                           
