Gregorian-Lunar Calendar Conversion Table of 2010 (Geng-yin ¡V year of the Tiger)                                                       
Gregorian date Lunar date          Day-of-week    Solar terms         
2010/01/01     17                  Friday                             
2010/01/02     18                  Saturday                           
2010/01/03     19                  Sunday                             
2010/01/04     20                  Monday                             
2010/01/05     21                  Tuesday        Moderate Cold       
2010/01/06     22                  Wednesday                          
2010/01/07     23                  Thursday                           
2010/01/08     24                  Friday                             
2010/01/09     25                  Saturday                           
2010/01/10     26                  Sunday                             
2010/01/11     27                  Monday                             
2010/01/12     28                  Tuesday                            
2010/01/13     29                  Wednesday                          
2010/01/14     30                  Thursday                           
2010/01/15     12th Lunar month    Friday                             
2010/01/16     2                   Saturday                           
2010/01/17     3                   Sunday                             
2010/01/18     4                   Monday                             
2010/01/19     5                   Tuesday                            
2010/01/20     6                   Wednesday      Severe Cold         
2010/01/21     7                   Thursday                           
2010/01/22     8                   Friday                             
2010/01/23     9                   Saturday                           
2010/01/24     10                  Sunday                             
2010/01/25     11                  Monday                             
2010/01/26     12                  Tuesday                            
2010/01/27     13                  Wednesday                          
2010/01/28     14                  Thursday                           
2010/01/29     15                  Friday                             
2010/01/30     16                  Saturday                           
2010/01/31     17                  Sunday                             
2010/02/01     18                  Monday                             
2010/02/02     19                  Tuesday                            
2010/02/03     20                  Wednesday                          
2010/02/04     21                  Thursday       Spring Commences    
2010/02/05     22                  Friday                             
2010/02/06     23                  Saturday                           
2010/02/07     24                  Sunday                             
2010/02/08     25                  Monday                             
2010/02/09     26                  Tuesday                            
2010/02/10     27                  Wednesday                          
2010/02/11     28                  Thursday                           
2010/02/12     29                  Friday                             
2010/02/13     30                  Saturday                           
2010/02/14     1st Lunar month     Sunday                             
2010/02/15     2                   Monday                             
2010/02/16     3                   Tuesday                            
2010/02/17     4                   Wednesday                          
2010/02/18     5                   Thursday                           
2010/02/19     6                   Friday         Spring Showers      
2010/02/20     7                   Saturday                           
2010/02/21     8                   Sunday                             
2010/02/22     9                   Monday                             
2010/02/23     10                  Tuesday                            
2010/02/24     11                  Wednesday                          
2010/02/25     12                  Thursday                           
2010/02/26     13                  Friday                             
2010/02/27     14                  Saturday                           
2010/02/28     15                  Sunday                             
2010/03/01     16                  Monday                             
2010/03/02     17                  Tuesday                            
2010/03/03     18                  Wednesday                          
2010/03/04     19                  Thursday                           
