Gregorian-Lunar Calendar Conversion Table of 2013 (Gui-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2013/1/1          20                      Tuesday                            
2013/1/2          21                      Wednesday                          
2013/1/3          22                      Thursday                           
2013/1/4          23                      Friday                             
2013/1/5          24                      Saturday       Moderate Cold       
2013/1/6          25                      Sunday                             
2013/1/7          26                      Monday                             
2013/1/8          27                      Tuesday                            
2013/1/9          28                      Wednesday                          
2013/1/10         29                      Thursday                           
2013/1/11         30                      Friday                             
2013/1/12         12th Lunar Month        Saturday                           
2013/1/13         2                       Sunday                             
2013/1/14         3                       Monday                             
2013/1/15         4                       Tuesday                            
2013/1/16         5                       Wednesday                          
2013/1/17         6                       Thursday                           
2013/1/18         7                       Friday                             
2013/1/19         8                       Saturday                           
2013/1/20         9                       Sunday         Severe Cold         
2013/1/21         10                      Monday                             
2013/1/22         11                      Tuesday                            
2013/1/23         12                      Wednesday                          
2013/1/24         13                      Thursday                           
2013/1/25         14                      Friday                             
2013/1/26         15                      Saturday                           
2013/1/27         16                      Sunday                             
2013/1/28         17                      Monday                             
2013/1/29         18                      Tuesday                            
2013/1/30         19                      Wednesday                          
2013/1/31         20                      Thursday                           
2013/2/1          21                      Friday                             
2013/2/2          22                      Saturday                           
2013/2/3          23                      Sunday                             
2013/2/4          24                      Monday         Spring Commences    
2013/2/5          25                      Tuesday                            
2013/2/6          26                      Wednesday                          
2013/2/7          27                      Thursday                           
2013/2/8          28                      Friday                             
2013/2/9          29                      Saturday                           
2013/2/10         1st Lunar Month         Sunday                             
2013/2/11         2                       Monday                             
2013/2/12         3                       Tuesday                            
2013/2/13         4                       Wednesday                          
2013/2/14         5                       Thursday                           
2013/2/15         6                       Friday                             
2013/2/16         7                       Saturday                           
2013/2/17         8                       Sunday                             
2013/2/18         9                       Monday         Spring Showers      
2013/2/19         10                      Tuesday                            
2013/2/20         11                      Wednesday                          
2013/2/21         12                      Thursday                           
2013/2/22         13                      Friday                             
2013/2/23         14                      Saturday                           
2013/2/24         15                      Sunday                             
2013/2/25         16                      Monday                             
2013/2/26         17                      Tuesday                            
2013/2/27         18                      Wednesday                          
2013/2/28         19                      Thursday                           
2013/3/1          20                      Friday                             
2013/3/2          21                      Saturday                           
2013/3/3          22                      Sunday                             
2013/3/4          23                      Monday                             
2013/3/5          24                      Tuesday        Insects Waken       
2013/3/6          25                      Wednesday                          
2013/3/7          26                      Thursday                           
2013/3/8          27                      Friday                             
2013/3/9          28                      Saturday                           
2013/3/10         29                      Sunday                             
2013/3/11         30                      Monday                             
2013/3/12         2nd Lunar Month         Tuesday                            
2013/3/13         2                       Wednesday                          
2013/3/14         3                       Thursday                           
2013/3/15         4                       Friday                             
2013/3/16         5                       Saturday                           
2013/3/17         6                       Sunday                             
2013/3/18         7                       Monday                             
2013/3/19         8                       Tuesday                            
