Gregorian-Lunar Calendar Conversion Table of 2014 (Jia-wu  -  year of the Horse)
Gregorian date    Lunar date              Day-of-week    Solar terms
2014/1/1          12th Lunar Month        Wednesday                          
2014/1/2          2                       Thursday                           
2014/1/3          3                       Friday                             
2014/1/4          4                       Saturday                           
2014/1/5          5                       Sunday         Moderate Cold       
2014/1/6          6                       Monday                             
2014/1/7          7                       Tuesday                            
2014/1/8          8                       Wednesday                          
2014/1/9          9                       Thursday                           
2014/1/10         10                      Friday                             
2014/1/11         11                      Saturday                           
2014/1/12         12                      Sunday                             
2014/1/13         13                      Monday                             
2014/1/14         14                      Tuesday                            
2014/1/15         15                      Wednesday                          
2014/1/16         16                      Thursday                           
2014/1/17         17                      Friday                             
2014/1/18         18                      Saturday                           
2014/1/19         19                      Sunday                             
2014/1/20         20                      Monday         Severe Cold         
2014/1/21         21                      Tuesday                            
2014/1/22         22                      Wednesday                          
2014/1/23         23                      Thursday                           
2014/1/24         24                      Friday                             
2014/1/25         25                      Saturday                           
2014/1/26         26                      Sunday                             
2014/1/27         27                      Monday                             
2014/1/28         28                      Tuesday                            
2014/1/29         29                      Wednesday                          
2014/1/30         30                      Thursday                           
2014/1/31         1st Lunar Month         Friday                             
2014/2/1          2                       Saturday                           
2014/2/2          3                       Sunday                             
2014/2/3          4                       Monday                             
2014/2/4          5                       Tuesday        Spring Commences    
2014/2/5          6                       Wednesday                          
2014/2/6          7                       Thursday                           
2014/2/7          8                       Friday                             
2014/2/8          9                       Saturday                           
2014/2/9          10                      Sunday                             
2014/2/10         11                      Monday                             
2014/2/11         12                      Tuesday                            
2014/2/12         13                      Wednesday                          
2014/2/13         14                      Thursday                           
2014/2/14         15                      Friday                             
2014/2/15         16                      Saturday                           
2014/2/16         17                      Sunday                             
2014/2/17         18                      Monday                             
2014/2/18         19                      Tuesday                            
2014/2/19         20                      Wednesday      Spring Showers      
2014/2/20         21                      Thursday                           
2014/2/21         22                      Friday                             
2014/2/22         23                      Saturday                           
2014/2/23         24                      Sunday                             
2014/2/24         25                      Monday                             
2014/2/25         26                      Tuesday                            
2014/2/26         27                      Wednesday                          
2014/2/27         28                      Thursday                           
2014/2/28         29                      Friday                             
2014/3/1          2nd Lunar Month         Saturday                           
2014/3/2          2                       Sunday                             
2014/3/3          3                       Monday                             
2014/3/4          4                       Tuesday                            
2014/3/5          5                       Wednesday                          
2014/3/6          6                       Thursday       Insects Waken       
2014/3/7          7                       Friday                             
2014/3/8          8                       Saturday                           
2014/3/9          9                       Sunday                             
2014/3/10         10                      Monday                             
2014/3/11         11                      Tuesday                            
2014/3/12         12                      Wednesday                          
2014/3/13         13                      Thursday                           
2014/3/14         14                      Friday                             
2014/3/15         15                      Saturday                           
2014/3/16         16                      Sunday                             
2014/3/17         17                      Monday                             
2014/3/18         18                      Tuesday                            
2014/3/19         19                      Wednesday                          
2014/3/20         20                      Thursday                           
2014/3/21         21                      Friday         Vernal Equinox      
2014/3/22         22                      Saturday                           
2014/3/23         23                      Sunday                             
2014/3/24         24                      Monday                             
2014/3/25         25                      Tuesday                            
2014/3/26         26                      Wednesday                          
2014/3/27         27                      Thursday                           
2014/3/28         28                      Friday                             
2014/3/29         29                      Saturday                           
2014/3/30         30                      Sunday                             
2014/3/31         3rd Lunar Month         Monday                             
2014/4/1          2                       Tuesday                            
2014/4/2          3                       Wednesday                          
2014/4/3          4                       Thursday                           
2014/4/4          5                       Friday                             
2014/4/5          6                       Saturday       Bright & Clear      
2014/4/6          7                       Sunday                             
2014/4/7          8                       Monday                             
2014/4/8          9                       Tuesday                            
2014/4/9          10                      Wednesday                          
2014/4/10         11                      Thursday                           
2014/4/11         12                      Friday                             
2014/4/12         13                      Saturday                           
2014/4/13         14                      Sunday                             
2014/4/14         15                      Monday                             
2014/4/15         16                      Tuesday                            
2014/4/16         17                      Wednesday                          
2014/4/17         18                      Thursday                           
2014/4/18         19                      Friday                             
2014/4/19         20                      Saturday                           
2014/4/20         21                      Sunday         Corn Rain           
2014/4/21         22                      Monday                             
2014/4/22         23                      Tuesday                            
2014/4/23         24                      Wednesday                          
2014/4/24         25                      Thursday                           
2014/4/25         26                      Friday                             
2014/4/26         27                      Saturday                           
2014/4/27         28                      Sunday                             
2014/4/28         29                      Monday                             
2014/4/29         4th Lunar Month         Tuesday                            
2014/4/30         2                       Wednesday                          
2014/5/1          3                       Thursday                           
2014/5/2          4                       Friday                             
2014/5/3          5                       Saturday                           
2014/5/4          6                       Sunday                             
2014/5/5          7                       Monday         Summer Commences    
2014/5/6          8                       Tuesday                            
2014/5/7          9                       Wednesday                          
2014/5/8          10                      Thursday                           
2014/5/9          11                      Friday                             
2014/5/10         12                      Saturday                           
2014/5/11         13                      Sunday                             
2014/5/12         14                      Monday                             
2014/5/13         15                      Tuesday                            
2014/5/14         16                      Wednesday                          
2014/5/15         17                      Thursday                           
2014/5/16         18                      Friday                             
2014/5/17         19                      Saturday                           
2014/5/18         20                      Sunday                             
2014/5/19         21                      Monday                             
2014/5/20         22                      Tuesday                            
2014/5/21         23                      Wednesday      Corn Forms          
2014/5/22         24                      Thursday                           
2014/5/23         25                      Friday                             
2014/5/24         26                      Saturday                           
2014/5/25         27                      Sunday                             
2014/5/26         28                      Monday                             
2014/5/27         29                      Tuesday                            
2014/5/28         30                      Wednesday                          
2014/5/29         5th Lunar Month         Thursday                           
2014/5/30         2                       Friday                             
2014/5/31         3                       Saturday                           
2014/6/1          4                       Sunday                             
2014/6/2          5                       Monday                             
2014/6/3          6                       Tuesday                            
2014/6/4          7                       Wednesday                          
2014/6/5          8                       Thursday                           
2014/6/6          9                       Friday         Corn on Ear         
2014/6/7          10                      Saturday                           
2014/6/8          11                      Sunday                             
2014/6/9          12                      Monday                             
2014/6/10         13                      Tuesday                            
2014/6/11         14                      Wednesday                          
2014/6/12         15                      Thursday                           
2014/6/13         16                      Friday                             
2014/6/14         17                      Saturday                           
2014/6/15         18                      Sunday                             
2014/6/16         19                      Monday                             
2014/6/17         20                      Tuesday                            
2014/6/18         21                      Wednesday                          
2014/6/19         22                      Thursday                           
2014/6/20         23                      Friday                             
2014/6/21         24                      Saturday       Summer Solstice     
2014/6/22         25                      Sunday                             
2014/6/23         26                      Monday                             
2014/6/24         27                      Tuesday                            
2014/6/25         28                      Wednesday                          
2014/6/26         29                      Thursday                           
