Gregorian-Lunar Calendar Conversion Table of 2016 (Bing-shen  -  year of the Monkey)
Gregorian date    Lunar date              Day-of-week    Solar terms
2016/1/1          22                      Friday                             
2016/1/2          23                      Saturday                           
2016/1/3          24                      Sunday                             
2016/1/4          25                      Monday                             
2016/1/5          26                      Tuesday                            
2016/1/6          27                      Wednesday      Moderate Cold       
2016/1/7          28                      Thursday                           
2016/1/8          29                      Friday                             
2016/1/9          30                      Saturday                           
2016/1/10         12th Lunar Month        Sunday                             
2016/1/11         2                       Monday                             
2016/1/12         3                       Tuesday                            
2016/1/13         4                       Wednesday                          
2016/1/14         5                       Thursday                           
2016/1/15         6                       Friday                             
2016/1/16         7                       Saturday                           
2016/1/17         8                       Sunday                             
2016/1/18         9                       Monday                             
2016/1/19         10                      Tuesday                            
2016/1/20         11                      Wednesday      Severe Cold         
2016/1/21         12                      Thursday                           
2016/1/22         13                      Friday                             
2016/1/23         14                      Saturday                           
2016/1/24         15                      Sunday                             
2016/1/25         16                      Monday                             
2016/1/26         17                      Tuesday                            
2016/1/27         18                      Wednesday                          
2016/1/28         19                      Thursday                           
2016/1/29         20                      Friday                             
2016/1/30         21                      Saturday                           
2016/1/31         22                      Sunday                             
2016/2/1          23                      Monday                             
2016/2/2          24                      Tuesday                            
2016/2/3          25                      Wednesday                          
2016/2/4          26                      Thursday       Spring Commences    
2016/2/5          27                      Friday                             
2016/2/6          28                      Saturday                           
2016/2/7          29                      Sunday                             
2016/2/8          1st Lunar Month         Monday                             
2016/2/9          2                       Tuesday                            
2016/2/10         3                       Wednesday                          
2016/2/11         4                       Thursday                           
2016/2/12         5                       Friday                             
2016/2/13         6                       Saturday                           
2016/2/14         7                       Sunday                             
2016/2/15         8                       Monday                             
2016/2/16         9                       Tuesday                            
2016/2/17         10                      Wednesday                          
2016/2/18         11                      Thursday                           
2016/2/19         12                      Friday         Spring Showers      
2016/2/20         13                      Saturday                           
2016/2/21         14                      Sunday                             
2016/2/22         15                      Monday                             
2016/2/23         16                      Tuesday                            
2016/2/24         17                      Wednesday                          
2016/2/25         18                      Thursday                           
2016/2/26         19                      Friday                             
2016/2/27         20                      Saturday                           
2016/2/28         21                      Sunday                             
2016/2/29         22                      Monday                             
2016/3/1          23                      Tuesday                            
2016/3/2          24                      Wednesday                          
2016/3/3          25                      Thursday                           
2016/3/4          26                      Friday                             
2016/3/5          27                      Saturday       Insects Waken       
2016/3/6          28                      Sunday                             
2016/3/7          29                      Monday                             
2016/3/8          30                      Tuesday                            
2016/3/9          2nd Lunar Month         Wednesday                          
2016/3/10         2                       Thursday                           
2016/3/11         3                       Friday                             
2016/3/12         4                       Saturday                           
2016/3/13         5                       Sunday                             
2016/3/14         6                       Monday                             
2016/3/15         7                       Tuesday                            
2016/3/16         8                       Wednesday                          
2016/3/17         9                       Thursday                           
2016/3/18         10                      Friday                             
2016/3/19         11                      Saturday                           
2016/3/20         12                      Sunday         Vernal Equinox      
2016/3/21         13                      Monday                             
2016/3/22         14                      Tuesday                            
2016/3/23         15                      Wednesday                          
2016/3/24         16                      Thursday                           
2016/3/25         17                      Friday                             
2016/3/26         18                      Saturday                           
2016/3/27         19                      Sunday                             
2016/3/28         20                      Monday                             
2016/3/29         21                      Tuesday                            
2016/3/30         22                      Wednesday                          
2016/3/31         23                      Thursday                           
2016/4/1          24                      Friday                             
2016/4/2          25                      Saturday                           
2016/4/3          26                      Sunday                             
2016/4/4          27                      Monday         Bright & Clear      
2016/4/5          28                      Tuesday                            
2016/4/6          29                      Wednesday                          
2016/4/7          3rd Lunar Month         Thursday                           
2016/4/8          2                       Friday                             
2016/4/9          3                       Saturday                           
2016/4/10         4                       Sunday                             
2016/4/11         5                       Monday                             
2016/4/12         6                       Tuesday                            
2016/4/13         7                       Wednesday                          
2016/4/14         8                       Thursday                           
2016/4/15         9                       Friday                             
2016/4/16         10                      Saturday                           
2016/4/17         11                      Sunday                             
2016/4/18         12                      Monday                             
2016/4/19         13                      Tuesday        Corn Rain           
2016/4/20         14                      Wednesday                          
2016/4/21         15                      Thursday                           
2016/4/22         16                      Friday                             
2016/4/23         17                      Saturday                           
2016/4/24         18                      Sunday                             
2016/4/25         19                      Monday                             
2016/4/26         20                      Tuesday                            
2016/4/27         21                      Wednesday                          
2016/4/28         22                      Thursday                           
2016/4/29         23                      Friday                             
2016/4/30         24                      Saturday                           
2016/5/1          25                      Sunday                             
2016/5/2          26                      Monday                             
2016/5/3          27                      Tuesday                            
2016/5/4          28                      Wednesday                          
2016/5/5          29                      Thursday       Summer Commences    
2016/5/6          30                      Friday                             
2016/5/7          4th Lunar Month         Saturday                           
2016/5/8          2                       Sunday                             
2016/5/9          3                       Monday                             
2016/5/10         4                       Tuesday                            
2016/5/11         5                       Wednesday                          
2016/5/12         6                       Thursday                           
2016/5/13         7                       Friday                             
2016/5/14         8                       Saturday                           
2016/5/15         9                       Sunday                             
2016/5/16         10                      Monday                             
2016/5/17         11                      Tuesday                            
2016/5/18         12                      Wednesday                          
2016/5/19         13                      Thursday                           
2016/5/20         14                      Friday         Corn Forms          
2016/5/21         15                      Saturday                           
2016/5/22         16                      Sunday                             
2016/5/23         17                      Monday                             
2016/5/24         18                      Tuesday                            
2016/5/25         19                      Wednesday                          
2016/5/26         20                      Thursday                           
2016/5/27         21                      Friday                             
2016/5/28         22                      Saturday                           
2016/5/29         23                      Sunday                             
2016/5/30         24                      Monday                             
2016/5/31         25                      Tuesday                            
2016/6/1          26                      Wednesday                          
2016/6/2          27                      Thursday                           
2016/6/3          28                      Friday                             
2016/6/4          29                      Saturday                           
2016/6/5          5th Lunar Month         Sunday         Corn on Ear         
2016/6/6          2                       Monday                             
2016/6/7          3                       Tuesday                            
2016/6/8          4                       Wednesday                          
2016/6/9          5                       Thursday                           
2016/6/10         6                       Friday                             
2016/6/11         7                       Saturday                           
2016/6/12         8                       Sunday                             
2016/6/13         9                       Monday                             
2016/6/14         10                      Tuesday                            
2016/6/15         11                      Wednesday                          
2016/6/16         12                      Thursday                           
2016/6/17         13                      Friday                             
2016/6/18         14                      Saturday                           
2016/6/19         15                      Sunday                             
2016/6/20         16                      Monday                             
2016/6/21         17                      Tuesday        Summer Solstice     
2016/6/22         18                      Wednesday                          
2016/6/23         19                      Thursday                           
2016/6/24         20                      Friday                             
2016/6/25         21                      Saturday                           
2016/6/26         22                      Sunday                             
2016/6/27         23                      Monday                             
2016/6/28         24                      Tuesday                            
2016/6/29         25                      Wednesday                          
2016/6/30         26                      Thursday                           
2016/7/1          27                      Friday                             
2016/7/2          28                      Saturday                           
2016/7/3          29                      Sunday                             
2016/7/4          6th Lunar Month         Monday                             
2016/7/5          2                       Tuesday                            
2016/7/6          3                       Wednesday                          
2016/7/7          4                       Thursday       Moderate Heat       
2016/7/8          5                       Friday                             
2016/7/9          6                       Saturday                           
2016/7/10         7                       Sunday                             
2016/7/11         8                       Monday                             
2016/7/12         9                       Tuesday                            
2016/7/13         10                      Wednesday                          
2016/7/14         11                      Thursday                           
2016/7/15         12                      Friday                             
2016/7/16         13                      Saturday                           
2016/7/17         14                      Sunday                             
2016/7/18         15                      Monday                             
2016/7/19         16                      Tuesday                            
2016/7/20         17                      Wednesday                          
2016/7/21         18                      Thursday                           
2016/7/22         19                      Friday         Great Heat          
2016/7/23         20                      Saturday                           
2016/7/24         21                      Sunday                             
2016/7/25         22                      Monday                             
2016/7/26         23                      Tuesday                            
2016/7/27         24                      Wednesday                          
2016/7/28         25                      Thursday                           
2016/7/29         26                      Friday                             
2016/7/30         27                      Saturday                           
2016/7/31         28                      Sunday                             
2016/8/1          29                      Monday                             
