Gregorian-Lunar Calendar Conversion Table of 2023 (Gui-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2023/1/1          10                      Sunday                             
2023/1/2          11                      Monday                             
2023/1/3          12                      Tuesday                            
2023/1/4          13                      Wednesday                          
2023/1/5          14                      Thursday       Moderate Cold       
2023/1/6          15                      Friday                             
2023/1/7          16                      Saturday                           
2023/1/8          17                      Sunday                             
2023/1/9          18                      Monday                             
2023/1/10         19                      Tuesday                            
2023/1/11         20                      Wednesday                          
2023/1/12         21                      Thursday                           
2023/1/13         22                      Friday                             
2023/1/14         23                      Saturday                           
2023/1/15         24                      Sunday                             
2023/1/16         25                      Monday                             
2023/1/17         26                      Tuesday                            
2023/1/18         27                      Wednesday                          
2023/1/19         28                      Thursday                           
2023/1/20         29                      Friday         Severe Cold         
2023/1/21         30                      Saturday                           
2023/1/22         1st Lunar Month         Sunday                             
2023/1/23         2                       Monday                             
2023/1/24         3                       Tuesday                            
2023/1/25         4                       Wednesday                          
2023/1/26         5                       Thursday                           
2023/1/27         6                       Friday                             
2023/1/28         7                       Saturday                           
2023/1/29         8                       Sunday                             
2023/1/30         9                       Monday                             
2023/1/31         10                      Tuesday                            
2023/2/1          11                      Wednesday                          
2023/2/2          12                      Thursday                           
2023/2/3          13                      Friday                             
2023/2/4          14                      Saturday       Spring Commences    
2023/2/5          15                      Sunday                             
2023/2/6          16                      Monday                             
2023/2/7          17                      Tuesday                            
2023/2/8          18                      Wednesday                          
2023/2/9          19                      Thursday                           
2023/2/10         20                      Friday                             
2023/2/11         21                      Saturday                           
2023/2/12         22                      Sunday                             
2023/2/13         23                      Monday                             
2023/2/14         24                      Tuesday                            
2023/2/15         25                      Wednesday                          
2023/2/16         26                      Thursday                           
2023/2/17         27                      Friday                             
2023/2/18         28                      Saturday                           
2023/2/19         29                      Sunday         Spring Showers      
2023/2/20         2nd Lunar Month         Monday                             
2023/2/21         2                       Tuesday                            
2023/2/22         3                       Wednesday                          
2023/2/23         4                       Thursday                           
2023/2/24         5                       Friday                             
2023/2/25         6                       Saturday                           
2023/2/26         7                       Sunday                             
