Gregorian-Lunar Calendar Conversion Table of 2025 (Yi-si  -  year of the Snake)
Gregorian date    Lunar date              Day-of-week    Solar terms
2025/1/1          2                       Wednesday                          
2025/1/2          3                       Thursday                           
2025/1/3          4                       Friday                             
2025/1/4          5                       Saturday                           
2025/1/5          6                       Sunday         Moderate Cold       
2025/1/6          7                       Monday                             
2025/1/7          8                       Tuesday                            
2025/1/8          9                       Wednesday                          
2025/1/9          10                      Thursday                           
2025/1/10         11                      Friday                             
2025/1/11         12                      Saturday                           
2025/1/12         13                      Sunday                             
2025/1/13         14                      Monday                             
2025/1/14         15                      Tuesday                            
2025/1/15         16                      Wednesday                          
2025/1/16         17                      Thursday                           
2025/1/17         18                      Friday                             
2025/1/18         19                      Saturday                           
2025/1/19         20                      Sunday                             
2025/1/20         21                      Monday         Severe Cold         
2025/1/21         22                      Tuesday                            
2025/1/22         23                      Wednesday                          
2025/1/23         24                      Thursday                           
2025/1/24         25                      Friday                             
2025/1/25         26                      Saturday                           
2025/1/26         27                      Sunday                             
2025/1/27         28                      Monday                             
2025/1/28         29                      Tuesday                            
2025/1/29         1st Lunar Month         Wednesday                          
2025/1/30         2                       Thursday                           
2025/1/31         3                       Friday                             
2025/2/1          4                       Saturday                           
2025/2/2          5                       Sunday                             
2025/2/3          6                       Monday         Spring Commences    
2025/2/4          7                       Tuesday                            
2025/2/5          8                       Wednesday                          
2025/2/6          9                       Thursday                           
2025/2/7          10                      Friday                             
2025/2/8          11                      Saturday                           
2025/2/9          12                      Sunday                             
2025/2/10         13                      Monday                             
2025/2/11         14                      Tuesday                            
2025/2/12         15                      Wednesday                          
2025/2/13         16                      Thursday                           
2025/2/14         17                      Friday                             
2025/2/15         18                      Saturday                           
2025/2/16         19                      Sunday                             
2025/2/17         20                      Monday                             
2025/2/18         21                      Tuesday        Spring Showers      
2025/2/19         22                      Wednesday                          
2025/2/20         23                      Thursday                           
2025/2/21         24                      Friday                             
2025/2/22         25                      Saturday                           
2025/2/23         26                      Sunday                             
2025/2/24         27                      Monday                             
2025/2/25         28                      Tuesday                            
2025/2/26         29                      Wednesday                          
2025/2/27         30                      Thursday                           
2025/2/28         2nd Lunar Month         Friday                             
2025/3/1          2                       Saturday                           
2025/3/2          3                       Sunday                             
2025/3/3          4                       Monday                             
2025/3/4          5                       Tuesday                            
2025/3/5          6                       Wednesday      Insects Waken       
2025/3/6          7                       Thursday                           
2025/3/7          8                       Friday                             
2025/3/8          9                       Saturday                           
2025/3/9          10                      Sunday                             
2025/3/10         11                      Monday                             
2025/3/11         12                      Tuesday                            
2025/3/12         13                      Wednesday                          
2025/3/13         14                      Thursday                           
2025/3/14         15                      Friday                             
2025/3/15         16                      Saturday                           
2025/3/16         17                      Sunday                             
2025/3/17         18                      Monday                             
2025/3/18         19                      Tuesday                            
2025/3/19         20                      Wednesday                          
2025/3/20         21                      Thursday       Vernal Equinox      
2025/3/21         22                      Friday                             
2025/3/22         23                      Saturday                           
2025/3/23         24                      Sunday                             
2025/3/24         25                      Monday                             
2025/3/25         26                      Tuesday                            
2025/3/26         27                      Wednesday                          
2025/3/27         28                      Thursday                           
2025/3/28         29                      Friday                             
2025/3/29         3rd Lunar Month         Saturday                           
2025/3/30         2                       Sunday                             
2025/3/31         3                       Monday                             
2025/4/1          4                       Tuesday                            
2025/4/2          5                       Wednesday                          
2025/4/3          6                       Thursday                           
2025/4/4          7                       Friday         Bright & Clear      
2025/4/5          8                       Saturday                           
2025/4/6          9                       Sunday                             
2025/4/7          10                      Monday                             
2025/4/8          11                      Tuesday                            
2025/4/9          12                      Wednesday                          
2025/4/10         13                      Thursday                           
