Gregorian-Lunar Calendar Conversion Table of 2027 (Ding-wei  -  year of the Goat)
Gregorian date    Lunar date              Day-of-week    Solar terms
2027/1/1          24                      Friday                             
2027/1/2          25                      Saturday                           
2027/1/3          26                      Sunday                             
2027/1/4          27                      Monday                             
2027/1/5          28                      Tuesday        Moderate Cold       
2027/1/6          29                      Wednesday                          
2027/1/7          30                      Thursday                           
2027/1/8          12th Lunar Month        Friday                             
2027/1/9          2                       Saturday                           
2027/1/10         3                       Sunday                             
2027/1/11         4                       Monday                             
2027/1/12         5                       Tuesday                            
2027/1/13         6                       Wednesday                          
2027/1/14         7                       Thursday                           
2027/1/15         8                       Friday                             
2027/1/16         9                       Saturday                           
2027/1/17         10                      Sunday                             
2027/1/18         11                      Monday                             
2027/1/19         12                      Tuesday                            
2027/1/20         13                      Wednesday      Severe Cold         
2027/1/21         14                      Thursday                           
2027/1/22         15                      Friday                             
2027/1/23         16                      Saturday                           
2027/1/24         17                      Sunday                             
2027/1/25         18                      Monday                             
2027/1/26         19                      Tuesday                            
2027/1/27         20                      Wednesday                          
2027/1/28         21                      Thursday                           
2027/1/29         22                      Friday                             
2027/1/30         23                      Saturday                           
2027/1/31         24                      Sunday                             
2027/2/1          25                      Monday                             
2027/2/2          26                      Tuesday                            
2027/2/3          27                      Wednesday                          
2027/2/4          28                      Thursday       Spring Commences    
2027/2/5          29                      Friday                             
2027/2/6          1st Lunar Month         Saturday                           
2027/2/7          2                       Sunday                             
2027/2/8          3                       Monday                             
2027/2/9          4                       Tuesday                            
2027/2/10         5                       Wednesday                          
2027/2/11         6                       Thursday                           
2027/2/12         7                       Friday                             
2027/2/13         8                       Saturday                           
2027/2/14         9                       Sunday                             
2027/2/15         10                      Monday                             
2027/2/16         11                      Tuesday                            
2027/2/17         12                      Wednesday                          
2027/2/18         13                      Thursday                           
2027/2/19         14                      Friday         Spring Showers      
2027/2/20         15                      Saturday                           
2027/2/21         16                      Sunday                             
2027/2/22         17                      Monday                             
2027/2/23         18                      Tuesday                            
2027/2/24         19                      Wednesday                          
2027/2/25         20                      Thursday                           
2027/2/26         21                      Friday                             
2027/2/27         22                      Saturday                           
2027/2/28         23                      Sunday                             
2027/3/1          24                      Monday                             
2027/3/2          25                      Tuesday                            
2027/3/3          26                      Wednesday                          
2027/3/4          27                      Thursday                           
2027/3/5          28                      Friday                             
2027/3/6          29                      Saturday       Insects Waken       
2027/3/7          30                      Sunday                             
2027/3/8          2nd Lunar Month         Monday                             
2027/3/9          2                       Tuesday                            
2027/3/10         3                       Wednesday                          
2027/3/11         4                       Thursday                           
2027/3/12         5                       Friday                             
2027/3/13         6                       Saturday                           
2027/3/14         7                       Sunday                             
2027/3/15         8                       Monday                             
2027/3/16         9                       Tuesday                            
2027/3/17         10                      Wednesday                          
2027/3/18         11                      Thursday                           
2027/3/19         12                      Friday                             
2027/3/20         13                      Saturday                           
2027/3/21         14                      Sunday         Vernal Equinox      
2027/3/22         15                      Monday                             
2027/3/23         16                      Tuesday                            
2027/3/24         17                      Wednesday                          
2027/3/25         18                      Thursday                           
2027/3/26         19                      Friday                             
2027/3/27         20                      Saturday                           
2027/3/28         21                      Sunday                             
2027/3/29         22                      Monday                             
2027/3/30         23                      Tuesday                            
2027/3/31         24                      Wednesday                          
2027/4/1          25                      Thursday                           
2027/4/2          26                      Friday                             
2027/4/3          27                      Saturday                           
2027/4/4          28                      Sunday                             
2027/4/5          29                      Monday         Bright & Clear      
2027/4/6          30                      Tuesday                            
2027/4/7          3rd Lunar Month         Wednesday                          
2027/4/8          2                       Thursday                           
2027/4/9          3                       Friday                             
2027/4/10         4                       Saturday                           
2027/4/11         5                       Sunday                             
2027/4/12         6                       Monday                             
2027/4/13         7                       Tuesday                            
2027/4/14         8                       Wednesday                          
2027/4/15         9                       Thursday                           
2027/4/16         10                      Friday                             
2027/4/17         11                      Saturday                           
2027/4/18         12                      Sunday                             
2027/4/19         13                      Monday                             
2027/4/20         14                      Tuesday        Corn Rain           
2027/4/21         15                      Wednesday                          
2027/4/22         16                      Thursday                           
2027/4/23         17                      Friday                             
2027/4/24         18                      Saturday                           
2027/4/25         19                      Sunday                             
2027/4/26         20                      Monday                             
2027/4/27         21                      Tuesday                            
2027/4/28         22                      Wednesday                          
2027/4/29         23                      Thursday                           
2027/4/30         24                      Friday                             
2027/5/1          25                      Saturday                           
2027/5/2          26                      Sunday                             
2027/5/3          27                      Monday                             
2027/5/4          28                      Tuesday                            
2027/5/5          29                      Wednesday                          
2027/5/6          4th Lunar Month         Thursday       Summer Commences    
2027/5/7          2                       Friday                             
2027/5/8          3                       Saturday                           
2027/5/9          4                       Sunday                             
2027/5/10         5                       Monday                             
2027/5/11         6                       Tuesday                            
2027/5/12         7                       Wednesday                          
2027/5/13         8                       Thursday                           
2027/5/14         9                       Friday                             
2027/5/15         10                      Saturday                           
2027/5/16         11                      Sunday                             
2027/5/17         12                      Monday                             
2027/5/18         13                      Tuesday                            
2027/5/19         14                      Wednesday                          
2027/5/20         15                      Thursday                           
2027/5/21         16                      Friday         Corn Forms          
2027/5/22         17                      Saturday                           
2027/5/23         18                      Sunday                             
2027/5/24         19                      Monday                             
2027/5/25         20                      Tuesday                            
2027/5/26         21                      Wednesday                          
2027/5/27         22                      Thursday                           
2027/5/28         23                      Friday                             
2027/5/29         24                      Saturday                           
2027/5/30         25                      Sunday                             
2027/5/31         26                      Monday                             
2027/6/1          27                      Tuesday                            
2027/6/2          28                      Wednesday                          
2027/6/3          29                      Thursday                           
2027/6/4          30                      Friday                             
2027/6/5          5th Lunar Month         Saturday                           
2027/6/6          2                       Sunday         Corn on Ear         
2027/6/7          3                       Monday                             
2027/6/8          4                       Tuesday                            
