Gregorian-Lunar Calendar Conversion Table of 2028 (Wu-shen  -  year of the Monkey)
Gregorian date    Lunar date              Day-of-week    Solar terms
2028/1/1          5                       Saturday                           
2028/1/2          6                       Sunday                             
2028/1/3          7                       Monday                             
2028/1/4          8                       Tuesday                            
2028/1/5          9                       Wednesday                          
2028/1/6          10                      Thursday       Moderate Cold       
2028/1/7          11                      Friday                             
2028/1/8          12                      Saturday                           
2028/1/9          13                      Sunday                             
2028/1/10         14                      Monday                             
2028/1/11         15                      Tuesday                            
2028/1/12         16                      Wednesday                          
2028/1/13         17                      Thursday                           
2028/1/14         18                      Friday                             
2028/1/15         19                      Saturday                           
2028/1/16         20                      Sunday                             
2028/1/17         21                      Monday                             
2028/1/18         22                      Tuesday                            
2028/1/19         23                      Wednesday                          
2028/1/20         24                      Thursday       Severe Cold         
2028/1/21         25                      Friday                             
2028/1/22         26                      Saturday                           
2028/1/23         27                      Sunday                             
2028/1/24         28                      Monday                             
2028/1/25         29                      Tuesday                            
2028/1/26         1st Lunar Month         Wednesday                          
2028/1/27         2                       Thursday                           
2028/1/28         3                       Friday                             
2028/1/29         4                       Saturday                           
2028/1/30         5                       Sunday                             
2028/1/31         6                       Monday                             
2028/2/1          7                       Tuesday                            
2028/2/2          8                       Wednesday                          
2028/2/3          9                       Thursday                           
2028/2/4          10                      Friday         Spring Commences    
2028/2/5          11                      Saturday                           
2028/2/6          12                      Sunday                             
2028/2/7          13                      Monday                             
2028/2/8          14                      Tuesday                            
2028/2/9          15                      Wednesday                          
2028/2/10         16                      Thursday                           
2028/2/11         17                      Friday                             
2028/2/12         18                      Saturday                           
2028/2/13         19                      Sunday                             
2028/2/14         20                      Monday                             
2028/2/15         21                      Tuesday                            
2028/2/16         22                      Wednesday                          
2028/2/17         23                      Thursday                           
2028/2/18         24                      Friday                             
2028/2/19         25                      Saturday       Spring Showers      
2028/2/20         26                      Sunday                             
2028/2/21         27                      Monday                             
2028/2/22         28                      Tuesday                            
2028/2/23         29                      Wednesday                          
2028/2/24         30                      Thursday                           
2028/2/25         2nd Lunar Month         Friday                             
2028/2/26         2                       Saturday                           
2028/2/27         3                       Sunday                             
2028/2/28         4                       Monday                             
2028/2/29         5                       Tuesday                            
2028/3/1          6                       Wednesday                          
2028/3/2          7                       Thursday                           
2028/3/3          8                       Friday                             
2028/3/4          9                       Saturday                           
2028/3/5          10                      Sunday         Insects Waken       
2028/3/6          11                      Monday                             
2028/3/7          12                      Tuesday                            
2028/3/8          13                      Wednesday                          
2028/3/9          14                      Thursday                           
2028/3/10         15                      Friday                             
2028/3/11         16                      Saturday                           
2028/3/12         17                      Sunday                             
2028/3/13         18                      Monday                             
2028/3/14         19                      Tuesday                            
2028/3/15         20                      Wednesday                          
2028/3/16         21                      Thursday                           
2028/3/17         22                      Friday                             
2028/3/18         23                      Saturday                           
2028/3/19         24                      Sunday                             
2028/3/20         25                      Monday         Vernal Equinox      
2028/3/21         26                      Tuesday                            
2028/3/22         27                      Wednesday                          
2028/3/23         28                      Thursday                           
2028/3/24         29                      Friday                             
2028/3/25         30                      Saturday                           
2028/3/26         3rd Lunar Month         Sunday                             
2028/3/27         2                       Monday                             
2028/3/28         3                       Tuesday                            
2028/3/29         4                       Wednesday                          
2028/3/30         5                       Thursday                           
2028/3/31         6                       Friday                             
2028/4/1          7                       Saturday                           
2028/4/2          8                       Sunday                             
2028/4/3          9                       Monday                             
2028/4/4          10                      Tuesday        Bright & Clear      
2028/4/5          11                      Wednesday                          
2028/4/6          12                      Thursday                           
2028/4/7          13                      Friday                             
2028/4/8          14                      Saturday                           
2028/4/9          15                      Sunday                             
2028/4/10         16                      Monday                             
2028/4/11         17                      Tuesday                            
2028/4/12         18                      Wednesday                          
