Gregorian-Lunar Calendar Conversion Table of 2030 (Geng-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2030/1/1          28                      Tuesday                            
2030/1/2          29                      Wednesday                          
2030/1/3          30                      Thursday                           
2030/1/4          12th Lunar Month        Friday                             
2030/1/5          2                       Saturday       Moderate Cold       
2030/1/6          3                       Sunday                             
2030/1/7          4                       Monday                             
2030/1/8          5                       Tuesday                            
2030/1/9          6                       Wednesday                          
2030/1/10         7                       Thursday                           
2030/1/11         8                       Friday                             
2030/1/12         9                       Saturday                           
2030/1/13         10                      Sunday                             
2030/1/14         11                      Monday                             
2030/1/15         12                      Tuesday                            
2030/1/16         13                      Wednesday                          
2030/1/17         14                      Thursday                           
2030/1/18         15                      Friday                             
2030/1/19         16                      Saturday                           
2030/1/20         17                      Sunday         Severe Cold         
2030/1/21         18                      Monday                             
2030/1/22         19                      Tuesday                            
2030/1/23         20                      Wednesday                          
2030/1/24         21                      Thursday                           
2030/1/25         22                      Friday                             
2030/1/26         23                      Saturday                           
2030/1/27         24                      Sunday                             
2030/1/28         25                      Monday                             
2030/1/29         26                      Tuesday                            
2030/1/30         27                      Wednesday                          
2030/1/31         28                      Thursday                           
2030/2/1          29                      Friday                             
2030/2/2          30                      Saturday                           
2030/2/3          1st Lunar Month         Sunday                             
2030/2/4          2                       Monday         Spring Commences    
2030/2/5          3                       Tuesday                            
2030/2/6          4                       Wednesday                          
2030/2/7          5                       Thursday                           
2030/2/8          6                       Friday                             
2030/2/9          7                       Saturday                           
2030/2/10         8                       Sunday                             
2030/2/11         9                       Monday                             
2030/2/12         10                      Tuesday                            
2030/2/13         11                      Wednesday                          
2030/2/14         12                      Thursday                           
2030/2/15         13                      Friday                             
2030/2/16         14                      Saturday                           
2030/2/17         15                      Sunday                             
2030/2/18         16                      Monday         Spring Showers      
2030/2/19         17                      Tuesday                            
2030/2/20         18                      Wednesday                          
2030/2/21         19                      Thursday                           
2030/2/22         20                      Friday                             
2030/2/23         21                      Saturday                           
2030/2/24         22                      Sunday                             
2030/2/25         23                      Monday                             
2030/2/26         24                      Tuesday                            
2030/2/27         25                      Wednesday                          
2030/2/28         26                      Thursday                           
2030/3/1          27                      Friday                             
2030/3/2          28                      Saturday                           
2030/3/3          29                      Sunday                             
2030/3/4          2nd Lunar Month         Monday                             
2030/3/5          2                       Tuesday        Insects Waken       
2030/3/6          3                       Wednesday                          
2030/3/7          4                       Thursday                           
2030/3/8          5                       Friday                             
2030/3/9          6                       Saturday                           
2030/3/10         7                       Sunday                             
2030/3/11         8                       Monday                             
2030/3/12         9                       Tuesday                            
2030/3/13         10                      Wednesday                          
2030/3/14         11                      Thursday                           
2030/3/15         12                      Friday                             
2030/3/16         13                      Saturday                           
2030/3/17         14                      Sunday                             
2030/3/18         15                      Monday                             
2030/3/19         16                      Tuesday                            
2030/3/20         17                      Wednesday      Vernal Equinox      
2030/3/21         18                      Thursday                           
2030/3/22         19                      Friday                             
2030/3/23         20                      Saturday                           
2030/3/24         21                      Sunday                             
2030/3/25         22                      Monday                             
2030/3/26         23                      Tuesday                            
2030/3/27         24                      Wednesday                          
2030/3/28         25                      Thursday                           
2030/3/29         26                      Friday                             
2030/3/30         27                      Saturday                           
2030/3/31         28                      Sunday                             
2030/4/1          29                      Monday                             
2030/4/2          30                      Tuesday                            
2030/4/3          3rd Lunar Month         Wednesday                          
2030/4/4          2                       Thursday                           
2030/4/5          3                       Friday         Bright & Clear      
2030/4/6          4                       Saturday                           
2030/4/7          5                       Sunday                             
