Gregorian-Lunar Calendar Conversion Table of 2031 (Xin-hai  -  year of the Pig)
Gregorian date    Lunar date              Day-of-week    Solar terms
2031/1/1          8                       Wednesday                          
2031/1/2          9                       Thursday                           
2031/1/3          10                      Friday                             
2031/1/4          11                      Saturday                           
2031/1/5          12                      Sunday         Moderate Cold       
2031/1/6          13                      Monday                             
2031/1/7          14                      Tuesday                            
2031/1/8          15                      Wednesday                          
2031/1/9          16                      Thursday                           
2031/1/10         17                      Friday                             
2031/1/11         18                      Saturday                           
2031/1/12         19                      Sunday                             
2031/1/13         20                      Monday                             
2031/1/14         21                      Tuesday                            
2031/1/15         22                      Wednesday                          
2031/1/16         23                      Thursday                           
2031/1/17         24                      Friday                             
2031/1/18         25                      Saturday                           
2031/1/19         26                      Sunday                             
2031/1/20         27                      Monday         Severe Cold         
2031/1/21         28                      Tuesday                            
2031/1/22         29                      Wednesday                          
2031/1/23         1st Lunar Month         Thursday                           
2031/1/24         2                       Friday                             
2031/1/25         3                       Saturday                           
2031/1/26         4                       Sunday                             
2031/1/27         5                       Monday                             
2031/1/28         6                       Tuesday                            
2031/1/29         7                       Wednesday                          
2031/1/30         8                       Thursday                           
2031/1/31         9                       Friday                             
2031/2/1          10                      Saturday                           
2031/2/2          11                      Sunday                             
2031/2/3          12                      Monday                             
2031/2/4          13                      Tuesday        Spring Commences    
2031/2/5          14                      Wednesday                          
2031/2/6          15                      Thursday                           
2031/2/7          16                      Friday                             
2031/2/8          17                      Saturday                           
2031/2/9          18                      Sunday                             
2031/2/10         19                      Monday                             
2031/2/11         20                      Tuesday                            
2031/2/12         21                      Wednesday                          
2031/2/13         22                      Thursday                           
2031/2/14         23                      Friday                             
2031/2/15         24                      Saturday                           
2031/2/16         25                      Sunday                             
2031/2/17         26                      Monday                             
2031/2/18         27                      Tuesday                            
2031/2/19         28                      Wednesday      Spring Showers      
2031/2/20         29                      Thursday                           
2031/2/21         2nd Lunar Month         Friday                             
2031/2/22         2                       Saturday                           
2031/2/23         3                       Sunday                             
2031/2/24         4                       Monday                             
2031/2/25         5                       Tuesday                            
2031/2/26         6                       Wednesday                          
2031/2/27         7                       Thursday                           
2031/2/28         8                       Friday                             
2031/3/1          9                       Saturday                           
2031/3/2          10                      Sunday                             
2031/3/3          11                      Monday                             
2031/3/4          12                      Tuesday                            
2031/3/5          13                      Wednesday                          
2031/3/6          14                      Thursday       Insects Waken       
2031/3/7          15                      Friday                             
2031/3/8          16                      Saturday                           
2031/3/9          17                      Sunday                             
2031/3/10         18                      Monday                             
2031/3/11         19                      Tuesday                            
2031/3/12         20                      Wednesday                          
2031/3/13         21                      Thursday                           
2031/3/14         22                      Friday                             
2031/3/15         23                      Saturday                           
2031/3/16         24                      Sunday                             
2031/3/17         25                      Monday                             
2031/3/18         26                      Tuesday                            
2031/3/19         27                      Wednesday                          
2031/3/20         28                      Thursday                           
2031/3/21         29                      Friday         Vernal Equinox      
2031/3/22         30                      Saturday                           
2031/3/23         3rd Lunar Month         Sunday                             
2031/3/24         2                       Monday                             
2031/3/25         3                       Tuesday                            
2031/3/26         4                       Wednesday                          
2031/3/27         5                       Thursday                           
2031/3/28         6                       Friday                             
2031/3/29         7                       Saturday                           
2031/3/30         8                       Sunday                             
2031/3/31         9                       Monday                             
2031/4/1          10                      Tuesday                            
2031/4/2          11                      Wednesday                          
2031/4/3          12                      Thursday                           
2031/4/4          13                      Friday                             
2031/4/5          14                      Saturday       Bright & Clear      
2031/4/6          15                      Sunday                             
2031/4/7          16                      Monday                             
2031/4/8          17                      Tuesday                            
2031/4/9          18                      Wednesday                          
2031/4/10         19                      Thursday                           
2031/4/11         20                      Friday                             
2031/4/12         21                      Saturday                           
2031/4/13         22                      Sunday                             
2031/4/14         23                      Monday                             
2031/4/15         24                      Tuesday                            
2031/4/16         25                      Wednesday                          
2031/4/17         26                      Thursday                           
2031/4/18         27                      Friday                             
2031/4/19         28                      Saturday                           
2031/4/20         29                      Sunday         Corn Rain           
2031/4/21         30                      Monday                             
2031/4/22         3rd Lunar Month         Tuesday                            
2031/4/23         2                       Wednesday                          
2031/4/24         3                       Thursday                           
2031/4/25         4                       Friday                             
2031/4/26         5                       Saturday                           
2031/4/27         6                       Sunday                             
2031/4/28         7                       Monday                             
2031/4/29         8                       Tuesday                            
2031/4/30         9                       Wednesday                          
2031/5/1          10                      Thursday                           
2031/5/2          11                      Friday                             
2031/5/3          12                      Saturday                           
2031/5/4          13                      Sunday                             
