Gregorian-Lunar Calendar Conversion Table of 2034 (Jia-yin  -  year of the Tiger)
Gregorian date    Lunar date              Day-of-week    Solar terms
2034/1/1          11                      Sunday                             
2034/1/2          12                      Monday                             
2034/1/3          13                      Tuesday                            
2034/1/4          14                      Wednesday                          
2034/1/5          15                      Thursday       Moderate Cold       
2034/1/6          16                      Friday                             
2034/1/7          17                      Saturday                           
2034/1/8          18                      Sunday                             
2034/1/9          19                      Monday                             
2034/1/10         20                      Tuesday                            
2034/1/11         21                      Wednesday                          
2034/1/12         22                      Thursday                           
2034/1/13         23                      Friday                             
2034/1/14         24                      Saturday                           
2034/1/15         25                      Sunday                             
2034/1/16         26                      Monday                             
2034/1/17         27                      Tuesday                            
2034/1/18         28                      Wednesday                          
2034/1/19         29                      Thursday                           
2034/1/20         12th Lunar Month        Friday         Severe Cold         
2034/1/21         2                       Saturday                           
2034/1/22         3                       Sunday                             
2034/1/23         4                       Monday                             
2034/1/24         5                       Tuesday                            
2034/1/25         6                       Wednesday                          
2034/1/26         7                       Thursday                           
2034/1/27         8                       Friday                             
2034/1/28         9                       Saturday                           
2034/1/29         10                      Sunday                             
2034/1/30         11                      Monday                             
2034/1/31         12                      Tuesday                            
2034/2/1          13                      Wednesday                          
2034/2/2          14                      Thursday                           
2034/2/3          15                      Friday                             
2034/2/4          16                      Saturday       Spring Commences    
2034/2/5          17                      Sunday                             
2034/2/6          18                      Monday                             
2034/2/7          19                      Tuesday                            
2034/2/8          20                      Wednesday                          
2034/2/9          21                      Thursday                           
2034/2/10         22                      Friday                             
2034/2/11         23                      Saturday                           
2034/2/12         24                      Sunday                             
2034/2/13         25                      Monday                             
2034/2/14         26                      Tuesday                            
2034/2/15         27                      Wednesday                          
2034/2/16         28                      Thursday                           
2034/2/17         29                      Friday                             
2034/2/18         30                      Saturday       Spring Showers      
2034/2/19         1st Lunar Month         Sunday                             
2034/2/20         2                       Monday                             
2034/2/21         3                       Tuesday                            
2034/2/22         4                       Wednesday                          
2034/2/23         5                       Thursday                           
2034/2/24         6                       Friday                             
2034/2/25         7                       Saturday                           
2034/2/26         8                       Sunday                             
2034/2/27         9                       Monday                             
2034/2/28         10                      Tuesday                            
2034/3/1          11                      Wednesday                          
2034/3/2          12                      Thursday                           
2034/3/3          13                      Friday                             
2034/3/4          14                      Saturday                           
2034/3/5          15                      Sunday         Insects Waken       
2034/3/6          16                      Monday                             
2034/3/7          17                      Tuesday                            
2034/3/8          18                      Wednesday                          
2034/3/9          19                      Thursday                           
2034/3/10         20                      Friday                             
2034/3/11         21                      Saturday                           
2034/3/12         22                      Sunday                             
2034/3/13         23                      Monday                             
2034/3/14         24                      Tuesday                            
2034/3/15         25                      Wednesday                          
2034/3/16         26                      Thursday                           
2034/3/17         27                      Friday                             
2034/3/18         28                      Saturday                           
2034/3/19         29                      Sunday                             
2034/3/20         2nd Lunar Month         Monday         Vernal Equinox      
2034/3/21         2                       Tuesday                            
2034/3/22         3                       Wednesday                          
2034/3/23         4                       Thursday                           
2034/3/24         5                       Friday                             
2034/3/25         6                       Saturday                           
2034/3/26         7                       Sunday                             
2034/3/27         8                       Monday                             
2034/3/28         9                       Tuesday                            
2034/3/29         10                      Wednesday                          
2034/3/30         11                      Thursday                           
2034/3/31         12                      Friday                             
2034/4/1          13                      Saturday                           
2034/4/2          14                      Sunday                             
