Gregorian-Lunar Calendar Conversion Table of 2035 (Yi-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2035/1/1          22                      Monday                             
2035/1/2          23                      Tuesday                            
2035/1/3          24                      Wednesday                          
2035/1/4          25                      Thursday                           
2035/1/5          26                      Friday         Moderate Cold       
2035/1/6          27                      Saturday                           
2035/1/7          28                      Sunday                             
2035/1/8          29                      Monday                             
2035/1/9          12th Lunar Month        Tuesday                            
2035/1/10         2                       Wednesday                          
2035/1/11         3                       Thursday                           
2035/1/12         4                       Friday                             
2035/1/13         5                       Saturday                           
2035/1/14         6                       Sunday                             
2035/1/15         7                       Monday                             
2035/1/16         8                       Tuesday                            
2035/1/17         9                       Wednesday                          
2035/1/18         10                      Thursday                           
2035/1/19         11                      Friday                             
2035/1/20         12                      Saturday       Severe Cold         
2035/1/21         13                      Sunday                             
2035/1/22         14                      Monday                             
2035/1/23         15                      Tuesday                            
2035/1/24         16                      Wednesday                          
2035/1/25         17                      Thursday                           
2035/1/26         18                      Friday                             
2035/1/27         19                      Saturday                           
2035/1/28         20                      Sunday                             
2035/1/29         21                      Monday                             
2035/1/30         22                      Tuesday                            
2035/1/31         23                      Wednesday                          
2035/2/1          24                      Thursday                           
2035/2/2          25                      Friday                             
2035/2/3          26                      Saturday                           
2035/2/4          27                      Sunday         Spring Commences    
2035/2/5          28                      Monday                             
2035/2/6          29                      Tuesday                            
2035/2/7          30                      Wednesday                          
2035/2/8          1st Lunar Month         Thursday                           
2035/2/9          2                       Friday                             
2035/2/10         3                       Saturday                           
2035/2/11         4                       Sunday                             
2035/2/12         5                       Monday                             
2035/2/13         6                       Tuesday                            
2035/2/14         7                       Wednesday                          
2035/2/15         8                       Thursday                           
2035/2/16         9                       Friday                             
2035/2/17         10                      Saturday                           
2035/2/18         11                      Sunday                             
2035/2/19         12                      Monday         Spring Showers      
2035/2/20         13                      Tuesday                            
2035/2/21         14                      Wednesday                          
2035/2/22         15                      Thursday                           
2035/2/23         16                      Friday                             
2035/2/24         17                      Saturday                           
2035/2/25         18                      Sunday                             
2035/2/26         19                      Monday                             
2035/2/27         20                      Tuesday                            
