Gregorian-Lunar Calendar Conversion Table of 2036 (Bing-chen  -  year of the Dragon)
Gregorian date    Lunar date              Day-of-week    Solar terms
2036/1/1          4                       Tuesday                            
2036/1/2          5                       Wednesday                          
2036/1/3          6                       Thursday                           
2036/1/4          7                       Friday                             
2036/1/5          8                       Saturday                           
2036/1/6          9                       Sunday         Moderate Cold       
2036/1/7          10                      Monday                             
2036/1/8          11                      Tuesday                            
2036/1/9          12                      Wednesday                          
2036/1/10         13                      Thursday                           
2036/1/11         14                      Friday                             
2036/1/12         15                      Saturday                           
2036/1/13         16                      Sunday                             
2036/1/14         17                      Monday                             
2036/1/15         18                      Tuesday                            
2036/1/16         19                      Wednesday                          
2036/1/17         20                      Thursday                           
2036/1/18         21                      Friday                             
2036/1/19         22                      Saturday                           
2036/1/20         23                      Sunday         Severe Cold         
2036/1/21         24                      Monday                             
2036/1/22         25                      Tuesday                            
2036/1/23         26                      Wednesday                          
2036/1/24         27                      Thursday                           
2036/1/25         28                      Friday                             
2036/1/26         29                      Saturday                           
2036/1/27         30                      Sunday                             
2036/1/28         1st Lunar Month         Monday                             
2036/1/29         2                       Tuesday                            
2036/1/30         3                       Wednesday                          
2036/1/31         4                       Thursday                           
2036/2/1          5                       Friday                             
2036/2/2          6                       Saturday                           
2036/2/3          7                       Sunday                             
2036/2/4          8                       Monday         Spring Commences    
2036/2/5          9                       Tuesday                            
2036/2/6          10                      Wednesday                          
2036/2/7          11                      Thursday                           
2036/2/8          12                      Friday                             
2036/2/9          13                      Saturday                           
2036/2/10         14                      Sunday                             
2036/2/11         15                      Monday                             
2036/2/12         16                      Tuesday                            
2036/2/13         17                      Wednesday                          
2036/2/14         18                      Thursday                           
2036/2/15         19                      Friday                             
2036/2/16         20                      Saturday                           
2036/2/17         21                      Sunday                             
2036/2/18         22                      Monday                             
2036/2/19         23                      Tuesday        Spring Showers      
2036/2/20         24                      Wednesday                          
2036/2/21         25                      Thursday                           
2036/2/22         26                      Friday                             
2036/2/23         27                      Saturday                           
2036/2/24         28                      Sunday                             
2036/2/25         29                      Monday                             
2036/2/26         30                      Tuesday                            
2036/2/27         2nd Lunar Month         Wednesday                          
2036/2/28         2                       Thursday                           
2036/2/29         3                       Friday                             
2036/3/1          4                       Saturday                           
2036/3/2          5                       Sunday                             
2036/3/3          6                       Monday                             
2036/3/4          7                       Tuesday                            
2036/3/5          8                       Wednesday      Insects Waken       
2036/3/6          9                       Thursday                           
2036/3/7          10                      Friday                             
2036/3/8          11                      Saturday                           
2036/3/9          12                      Sunday                             
2036/3/10         13                      Monday                             
2036/3/11         14                      Tuesday                            
2036/3/12         15                      Wednesday                          
2036/3/13         16                      Thursday                           
2036/3/14         17                      Friday                             
2036/3/15         18                      Saturday                           
2036/3/16         19                      Sunday                             
2036/3/17         20                      Monday                             
2036/3/18         21                      Tuesday                            
2036/3/19         22                      Wednesday                          
2036/3/20         23                      Thursday       Vernal Equinox      
2036/3/21         24                      Friday                             
2036/3/22         25                      Saturday                           
2036/3/23         26                      Sunday                             
2036/3/24         27                      Monday                             
2036/3/25         28                      Tuesday                            
2036/3/26         29                      Wednesday                          
2036/3/27         30                      Thursday                           
2036/3/28         3rd Lunar Month         Friday                             
2036/3/29         2                       Saturday                           
2036/3/30         3                       Sunday                             
2036/3/31         4                       Monday                             
2036/4/1          5                       Tuesday                            
2036/4/2          6                       Wednesday                          
2036/4/3          7                       Thursday                           
2036/4/4          8                       Friday         Bright & Clear      
2036/4/5          9                       Saturday                           
2036/4/6          10                      Sunday                             
2036/4/7          11                      Monday                             
2036/4/8          12                      Tuesday                            
2036/4/9          13                      Wednesday                          
2036/4/10         14                      Thursday                           
2036/4/11         15                      Friday                             
2036/4/12         16                      Saturday                           
2036/4/13         17                      Sunday                             
2036/4/14         18                      Monday                             
2036/4/15         19                      Tuesday                            
2036/4/16         20                      Wednesday                          
2036/4/17         21                      Thursday                           
2036/4/18         22                      Friday                             
2036/4/19         23                      Saturday       Corn Rain           
2036/4/20         24                      Sunday                             
2036/4/21         25                      Monday                             
2036/4/22         26                      Tuesday                            
2036/4/23         27                      Wednesday                          
2036/4/24         28                      Thursday                           
2036/4/25         29                      Friday                             
2036/4/26         4th Lunar Month         Saturday                           
2036/4/27         2                       Sunday                             
2036/4/28         3                       Monday                             
