Gregorian-Lunar Calendar Conversion Table of 2040 (Geng-shen  -  year of the Monkey)
Gregorian date    Lunar date              Day-of-week    Solar terms
2040/1/1          17                      Sunday                             
2040/1/2          18                      Monday                             
2040/1/3          19                      Tuesday                            
2040/1/4          20                      Wednesday                          
2040/1/5          21                      Thursday                           
2040/1/6          22                      Friday         Moderate Cold       
2040/1/7          23                      Saturday                           
2040/1/8          24                      Sunday                             
2040/1/9          25                      Monday                             
2040/1/10         26                      Tuesday                            
2040/1/11         27                      Wednesday                          
2040/1/12         28                      Thursday                           
2040/1/13         29                      Friday                             
2040/1/14         12th Lunar Month        Saturday                           
2040/1/15         2                       Sunday                             
2040/1/16         3                       Monday                             
2040/1/17         4                       Tuesday                            
2040/1/18         5                       Wednesday                          
2040/1/19         6                       Thursday                           
2040/1/20         7                       Friday         Severe Cold         
2040/1/21         8                       Saturday                           
2040/1/22         9                       Sunday                             
2040/1/23         10                      Monday                             
2040/1/24         11                      Tuesday                            
2040/1/25         12                      Wednesday                          
2040/1/26         13                      Thursday                           
2040/1/27         14                      Friday                             
2040/1/28         15                      Saturday                           
2040/1/29         16                      Sunday                             
2040/1/30         17                      Monday                             
2040/1/31         18                      Tuesday                            
2040/2/1          19                      Wednesday                          
2040/2/2          20                      Thursday                           
2040/2/3          21                      Friday                             
2040/2/4          22                      Saturday       Spring Commences    
2040/2/5          23                      Sunday                             
2040/2/6          24                      Monday                             
2040/2/7          25                      Tuesday                            
2040/2/8          26                      Wednesday                          
2040/2/9          27                      Thursday                           
2040/2/10         28                      Friday                             
2040/2/11         29                      Saturday                           
2040/2/12         1st Lunar Month         Sunday                             
2040/2/13         2                       Monday                             
2040/2/14         3                       Tuesday                            
2040/2/15         4                       Wednesday                          
2040/2/16         5                       Thursday                           
2040/2/17         6                       Friday                             
2040/2/18         7                       Saturday                           
2040/2/19         8                       Sunday         Spring Showers      
2040/2/20         9                       Monday                             
2040/2/21         10                      Tuesday                            
2040/2/22         11                      Wednesday                          
2040/2/23         12                      Thursday                           
2040/2/24         13                      Friday                             
2040/2/25         14                      Saturday                           
2040/2/26         15                      Sunday                             
2040/2/27         16                      Monday                             
2040/2/28         17                      Tuesday                            
2040/2/29         18                      Wednesday                          
2040/3/1          19                      Thursday                           
2040/3/2          20                      Friday                             
2040/3/3          21                      Saturday                           
2040/3/4          22                      Sunday                             
2040/3/5          23                      Monday         Insects Waken       
2040/3/6          24                      Tuesday                            
2040/3/7          25                      Wednesday                          
2040/3/8          26                      Thursday                           
2040/3/9          27                      Friday                             
2040/3/10         28                      Saturday                           
2040/3/11         29                      Sunday                             
2040/3/12         30                      Monday                             
2040/3/13         2nd Lunar Month         Tuesday                            
