Gregorian-Lunar Calendar Conversion Table of 2041 (Xin-you  -  year of the Rooster)
Gregorian date    Lunar date              Day-of-week    Solar terms
2041/1/1          29                      Tuesday                            
2041/1/2          30                      Wednesday                          
2041/1/3          12th Lunar Month        Thursday                           
2041/1/4          2                       Friday                             
2041/1/5          3                       Saturday       Moderate Cold       
2041/1/6          4                       Sunday                             
2041/1/7          5                       Monday                             
2041/1/8          6                       Tuesday                            
2041/1/9          7                       Wednesday                          
2041/1/10         8                       Thursday                           
2041/1/11         9                       Friday                             
2041/1/12         10                      Saturday                           
2041/1/13         11                      Sunday                             
2041/1/14         12                      Monday                             
2041/1/15         13                      Tuesday                            
2041/1/16         14                      Wednesday                          
2041/1/17         15                      Thursday                           
2041/1/18         16                      Friday                             
2041/1/19         17                      Saturday                           
2041/1/20         18                      Sunday         Severe Cold         
2041/1/21         19                      Monday                             
2041/1/22         20                      Tuesday                            
2041/1/23         21                      Wednesday                          
2041/1/24         22                      Thursday                           
2041/1/25         23                      Friday                             
2041/1/26         24                      Saturday                           
2041/1/27         25                      Sunday                             
2041/1/28         26                      Monday                             
2041/1/29         27                      Tuesday                            
2041/1/30         28                      Wednesday                          
2041/1/31         29                      Thursday                           
2041/2/1          1st Lunar Month         Friday                             
2041/2/2          2                       Saturday                           
2041/2/3          3                       Sunday         Spring Commences    
2041/2/4          4                       Monday                             
2041/2/5          5                       Tuesday                            
2041/2/6          6                       Wednesday                          
2041/2/7          7                       Thursday                           
2041/2/8          8                       Friday                             
2041/2/9          9                       Saturday                           
2041/2/10         10                      Sunday                             
2041/2/11         11                      Monday                             
2041/2/12         12                      Tuesday                            
2041/2/13         13                      Wednesday                          
2041/2/14         14                      Thursday                           
2041/2/15         15                      Friday                             
2041/2/16         16                      Saturday                           
2041/2/17         17                      Sunday                             
2041/2/18         18                      Monday         Spring Showers      
2041/2/19         19                      Tuesday                            
2041/2/20         20                      Wednesday                          
2041/2/21         21                      Thursday                           
2041/2/22         22                      Friday                             
2041/2/23         23                      Saturday                           
