Gregorian-Lunar Calendar Conversion Table of 2045 (Yi-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2045/1/1          14                      Sunday                             
2045/1/2          15                      Monday                             
2045/1/3          16                      Tuesday                            
2045/1/4          17                      Wednesday                          
2045/1/5          18                      Thursday       Moderate Cold       
2045/1/6          19                      Friday                             
2045/1/7          20                      Saturday                           
2045/1/8          21                      Sunday                             
2045/1/9          22                      Monday                             
2045/1/10         23                      Tuesday                            
2045/1/11         24                      Wednesday                          
2045/1/12         25                      Thursday                           
2045/1/13         26                      Friday                             
2045/1/14         27                      Saturday                           
2045/1/15         28                      Sunday                             
2045/1/16         29                      Monday                             
2045/1/17         30                      Tuesday                            
2045/1/18         12th Lunar Month        Wednesday                          
2045/1/19         2                       Thursday                           
2045/1/20         3                       Friday         Severe Cold         
2045/1/21         4                       Saturday                           
2045/1/22         5                       Sunday                             
2045/1/23         6                       Monday                             
2045/1/24         7                       Tuesday                            
2045/1/25         8                       Wednesday                          
2045/1/26         9                       Thursday                           
2045/1/27         10                      Friday                             
2045/1/28         11                      Saturday                           
2045/1/29         12                      Sunday                             
2045/1/30         13                      Monday                             
2045/1/31         14                      Tuesday                            
2045/2/1          15                      Wednesday                          
2045/2/2          16                      Thursday                           
2045/2/3          17                      Friday         Spring Commences    
2045/2/4          18                      Saturday                           
2045/2/5          19                      Sunday                             
2045/2/6          20                      Monday                             
2045/2/7          21                      Tuesday                            
2045/2/8          22                      Wednesday                          
2045/2/9          23                      Thursday                           
2045/2/10         24                      Friday                             
2045/2/11         25                      Saturday                           
2045/2/12         26                      Sunday                             
2045/2/13         27                      Monday                             
2045/2/14         28                      Tuesday                            
2045/2/15         29                      Wednesday                          
2045/2/16         30                      Thursday                           
2045/2/17         1st Lunar Month         Friday                             
2045/2/18         2                       Saturday       Spring Showers      
2045/2/19         3                       Sunday                             
2045/2/20         4                       Monday                             
2045/2/21         5                       Tuesday                            
2045/2/22         6                       Wednesday                          
2045/2/23         7                       Thursday                           
2045/2/24         8                       Friday                             
2045/2/25         9                       Saturday                           
2045/2/26         10                      Sunday                             
2045/2/27         11                      Monday                             
2045/2/28         12                      Tuesday                            
2045/3/1          13                      Wednesday                          
2045/3/2          14                      Thursday                           
2045/3/3          15                      Friday                             
2045/3/4          16                      Saturday                           
2045/3/5          17                      Sunday         Insects Waken       
2045/3/6          18                      Monday                             
2045/3/7          19                      Tuesday                            
2045/3/8          20                      Wednesday                          
2045/3/9          21                      Thursday                           
2045/3/10         22                      Friday                             
2045/3/11         23                      Saturday                           
2045/3/12         24                      Sunday                             
2045/3/13         25                      Monday                             
