Gregorian-Lunar Calendar Conversion Table of 2047 (Ding-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2047/1/1          6                       Tuesday                            
2047/1/2          7                       Wednesday                          
2047/1/3          8                       Thursday                           
2047/1/4          9                       Friday                             
2047/1/5          10                      Saturday       Moderate Cold       
2047/1/6          11                      Sunday                             
2047/1/7          12                      Monday                             
2047/1/8          13                      Tuesday                            
2047/1/9          14                      Wednesday                          
2047/1/10         15                      Thursday                           
2047/1/11         16                      Friday                             
2047/1/12         17                      Saturday                           
2047/1/13         18                      Sunday                             
2047/1/14         19                      Monday                             
2047/1/15         20                      Tuesday                            
2047/1/16         21                      Wednesday                          
2047/1/17         22                      Thursday                           
2047/1/18         23                      Friday                             
2047/1/19         24                      Saturday                           
2047/1/20         25                      Sunday         Severe Cold         
2047/1/21         26                      Monday                             
2047/1/22         27                      Tuesday                            
2047/1/23         28                      Wednesday                          
2047/1/24         29                      Thursday                           
2047/1/25         30                      Friday                             
2047/1/26         1st Lunar Month         Saturday                           
2047/1/27         2                       Sunday                             
2047/1/28         3                       Monday                             
2047/1/29         4                       Tuesday                            
2047/1/30         5                       Wednesday                          
2047/1/31         6                       Thursday                           
2047/2/1          7                       Friday                             
2047/2/2          8                       Saturday                           
2047/2/3          9                       Sunday                             
2047/2/4          10                      Monday         Spring Commences    
2047/2/5          11                      Tuesday                            
2047/2/6          12                      Wednesday                          
2047/2/7          13                      Thursday                           
2047/2/8          14                      Friday                             
2047/2/9          15                      Saturday                           
2047/2/10         16                      Sunday                             
2047/2/11         17                      Monday                             
2047/2/12         18                      Tuesday                            
2047/2/13         19                      Wednesday                          
2047/2/14         20                      Thursday                           
2047/2/15         21                      Friday                             
2047/2/16         22                      Saturday                           
2047/2/17         23                      Sunday                             
2047/2/18         24                      Monday                             
2047/2/19         25                      Tuesday        Spring Showers      
2047/2/20         26                      Wednesday                          
2047/2/21         27                      Thursday                           
2047/2/22         28                      Friday                             
2047/2/23         29                      Saturday                           
2047/2/24         30                      Sunday                             
2047/2/25         2nd Lunar Month         Monday                             
2047/2/26         2                       Tuesday                            
2047/2/27         3                       Wednesday                          
2047/2/28         4                       Thursday                           
2047/3/1          5                       Friday                             
2047/3/2          6                       Saturday                           
2047/3/3          7                       Sunday                             
2047/3/4          8                       Monday                             
2047/3/5          9                       Tuesday                            
2047/3/6          10                      Wednesday      Insects Waken       
2047/3/7          11                      Thursday                           
2047/3/8          12                      Friday                             
2047/3/9          13                      Saturday                           
2047/3/10         14                      Sunday                             
2047/3/11         15                      Monday                             
2047/3/12         16                      Tuesday                            
2047/3/13         17                      Wednesday                          
2047/3/14         18                      Thursday                           
2047/3/15         19                      Friday                             
2047/3/16         20                      Saturday                           
2047/3/17         21                      Sunday                             
2047/3/18         22                      Monday                             
2047/3/19         23                      Tuesday                            
2047/3/20         24                      Wednesday                          
2047/3/21         25                      Thursday       Vernal Equinox      
2047/3/22         26                      Friday                             
2047/3/23         27                      Saturday                           
2047/3/24         28                      Sunday                             
2047/3/25         29                      Monday                             
2047/3/26         3rd Lunar Month         Tuesday                            
2047/3/27         2                       Wednesday                          
2047/3/28         3                       Thursday                           
2047/3/29         4                       Friday                             
2047/3/30         5                       Saturday                           
2047/3/31         6                       Sunday                             
2047/4/1          7                       Monday                             
2047/4/2          8                       Tuesday                            
2047/4/3          9                       Wednesday                          
2047/4/4          10                      Thursday                           
2047/4/5          11                      Friday         Bright & Clear      
2047/4/6          12                      Saturday                           
2047/4/7          13                      Sunday                             
2047/4/8          14                      Monday                             
2047/4/9          15                      Tuesday                            
2047/4/10         16                      Wednesday                          
2047/4/11         17                      Thursday                           
2047/4/12         18                      Friday                             
2047/4/13         19                      Saturday                           
