Gregorian-Lunar Calendar Conversion Table of 2048 (Wu-chen  -  year of the Dragon)
Gregorian date    Lunar date              Day-of-week    Solar terms
2048/1/1          16                      Wednesday                          
2048/1/2          17                      Thursday                           
2048/1/3          18                      Friday                             
2048/1/4          19                      Saturday                           
2048/1/5          20                      Sunday                             
2048/1/6          21                      Monday         Moderate Cold       
2048/1/7          22                      Tuesday                            
2048/1/8          23                      Wednesday                          
2048/1/9          24                      Thursday                           
2048/1/10         25                      Friday                             
2048/1/11         26                      Saturday                           
2048/1/12         27                      Sunday                             
2048/1/13         28                      Monday                             
2048/1/14         29                      Tuesday                            
2048/1/15         12th Lunar Month        Wednesday                          
2048/1/16         2                       Thursday                           
2048/1/17         3                       Friday                             
2048/1/18         4                       Saturday                           
2048/1/19         5                       Sunday                             
2048/1/20         6                       Monday         Severe Cold         
2048/1/21         7                       Tuesday                            
2048/1/22         8                       Wednesday                          
2048/1/23         9                       Thursday                           
2048/1/24         10                      Friday                             
2048/1/25         11                      Saturday                           
2048/1/26         12                      Sunday                             
2048/1/27         13                      Monday                             
2048/1/28         14                      Tuesday                            
2048/1/29         15                      Wednesday                          
2048/1/30         16                      Thursday                           
2048/1/31         17                      Friday                             
2048/2/1          18                      Saturday                           
2048/2/2          19                      Sunday                             
2048/2/3          20                      Monday                             
2048/2/4          21                      Tuesday        Spring Commences    
2048/2/5          22                      Wednesday                          
2048/2/6          23                      Thursday                           
2048/2/7          24                      Friday                             
2048/2/8          25                      Saturday                           
2048/2/9          26                      Sunday                             
2048/2/10         27                      Monday                             
2048/2/11         28                      Tuesday                            
2048/2/12         29                      Wednesday                          
2048/2/13         30                      Thursday                           
2048/2/14         1st Lunar Month         Friday                             
2048/2/15         2                       Saturday                           
2048/2/16         3                       Sunday                             
2048/2/17         4                       Monday                             
2048/2/18         5                       Tuesday                            
2048/2/19         6                       Wednesday      Spring Showers      
2048/2/20         7                       Thursday                           
2048/2/21         8                       Friday                             
2048/2/22         9                       Saturday                           
2048/2/23         10                      Sunday                             
2048/2/24         11                      Monday                             
2048/2/25         12                      Tuesday                            
2048/2/26         13                      Wednesday                          
2048/2/27         14                      Thursday                           
2048/2/28         15                      Friday                             
2048/2/29         16                      Saturday                           
2048/3/1          17                      Sunday                             
2048/3/2          18                      Monday                             
2048/3/3          19                      Tuesday                            
2048/3/4          20                      Wednesday                          
2048/3/5          21                      Thursday       Insects Waken       
2048/3/6          22                      Friday                             
2048/3/7          23                      Saturday                           
2048/3/8          24                      Sunday                             
2048/3/9          25                      Monday                             
2048/3/10         26                      Tuesday                            
2048/3/11         27                      Wednesday                          
2048/3/12         28                      Thursday                           
2048/3/13         29                      Friday                             
2048/3/14         2nd Lunar Month         Saturday                           
2048/3/15         2                       Sunday                             
2048/3/16         3                       Monday                             
2048/3/17         4                       Tuesday                            
2048/3/18         5                       Wednesday                          
2048/3/19         6                       Thursday                           
2048/3/20         7                       Friday         Vernal Equinox      
2048/3/21         8                       Saturday                           
2048/3/22         9                       Sunday                             
2048/3/23         10                      Monday                             
2048/3/24         11                      Tuesday                            
