Gregorian-Lunar Calendar Conversion Table of 2051 Xin-wei  -  year of the Goat)
Gregorian date    Lunar date              Day-of-week    Solar terms
2051/1/1          19                      Saturday                           
2051/1/2          20                      Sunday                             
2051/1/3          21                      Monday                             
2051/1/4          22                      Tuesday                            
2051/1/5          23                      Wednesday      Moderate Cold       
2051/1/6          24                      Thursday                           
2051/1/7          25                      Friday                             
2051/1/8          26                      Saturday                           
2051/1/9          27                      Sunday                             
2051/1/10         28                      Monday                             
2051/1/11         29                      Tuesday                            
2051/1/12         30                      Wednesday                          
2051/1/13         12th Lunar Month        Thursday                           
2051/1/14         2                       Friday                             
2051/1/15         3                       Saturday                           
2051/1/16         4                       Sunday                             
2051/1/17         5                       Monday                             
2051/1/18         6                       Tuesday                            
2051/1/19         7                       Wednesday                          
2051/1/20         8                       Thursday       Severe Cold         
2051/1/21         9                       Friday                             
2051/1/22         10                      Saturday                           
2051/1/23         11                      Sunday                             
2051/1/24         12                      Monday                             
2051/1/25         13                      Tuesday                            
2051/1/26         14                      Wednesday                          
2051/1/27         15                      Thursday                           
2051/1/28         16                      Friday                             
2051/1/29         17                      Saturday                           
2051/1/30         18                      Sunday                             
2051/1/31         19                      Monday                             
2051/2/1          20                      Tuesday                            
2051/2/2          21                      Wednesday                          
2051/2/3          22                      Thursday                           
2051/2/4          23                      Friday         Spring Commences    
2051/2/5          24                      Saturday                           
2051/2/6          25                      Sunday                             
2051/2/7          26                      Monday                             
2051/2/8          27                      Tuesday                            
2051/2/9          28                      Wednesday                          
2051/2/10         29                      Thursday                           
2051/2/11         1st Lunar Month         Friday                             
2051/2/12         2                       Saturday                           
2051/2/13         3                       Sunday                             
2051/2/14         4                       Monday                             
2051/2/15         5                       Tuesday                            
2051/2/16         6                       Wednesday                          
2051/2/17         7                       Thursday                           
2051/2/18         8                       Friday                             
2051/2/19         9                       Saturday       Spring Showers      
2051/2/20         10                      Sunday                             
2051/2/21         11                      Monday                             
2051/2/22         12                      Tuesday                            
2051/2/23         13                      Wednesday                          
