Gregorian-Lunar Calendar Conversion Table of 2054 (Jia-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2054/1/1          23                      Thursday                           
2054/1/2          24                      Friday                             
2054/1/3          25                      Saturday                           
2054/1/4          26                      Sunday                             
2054/1/5          27                      Monday         Moderate Cold       
2054/1/6          28                      Tuesday                            
2054/1/7          29                      Wednesday                          
2054/1/8          30                      Thursday                           
2054/1/9          12th Lunar Month        Friday                             
2054/1/10         2                       Saturday                           
2054/1/11         3                       Sunday                             
2054/1/12         4                       Monday                             
2054/1/13         5                       Tuesday                            
2054/1/14         6                       Wednesday                          
2054/1/15         7                       Thursday                           
2054/1/16         8                       Friday                             
2054/1/17         9                       Saturday                           
2054/1/18         10                      Sunday                             
2054/1/19         11                      Monday                             
2054/1/20         12                      Tuesday        Severe Cold         
2054/1/21         13                      Wednesday                          
2054/1/22         14                      Thursday                           
2054/1/23         15                      Friday                             
2054/1/24         16                      Saturday                           
2054/1/25         17                      Sunday                             
2054/1/26         18                      Monday                             
2054/1/27         19                      Tuesday                            
2054/1/28         20                      Wednesday                          
2054/1/29         21                      Thursday                           
2054/1/30         22                      Friday                             
2054/1/31         23                      Saturday                           
2054/2/1          24                      Sunday                             
2054/2/2          25                      Monday                             
2054/2/3          26                      Tuesday        Spring Commences    
2054/2/4          27                      Wednesday                          
2054/2/5          28                      Thursday                           
2054/2/6          29                      Friday                             
2054/2/7          30                      Saturday                           
2054/2/8          1st Lunar Month         Sunday                             
2054/2/9          2                       Monday                             
2054/2/10         3                       Tuesday                            
2054/2/11         4                       Wednesday                          
2054/2/12         5                       Thursday                           
2054/2/13         6                       Friday                             
2054/2/14         7                       Saturday                           
2054/2/15         8                       Sunday                             
2054/2/16         9                       Monday                             
2054/2/17         10                      Tuesday                            
2054/2/18         11                      Wednesday      Spring Showers      
2054/2/19         12                      Thursday                           
2054/2/20         13                      Friday                             
2054/2/21         14                      Saturday                           
2054/2/22         15                      Sunday                             
2054/2/23         16                      Monday                             
2054/2/24         17                      Tuesday                            
2054/2/25         18                      Wednesday                          
2054/2/26         19                      Thursday                           
2054/2/27         20                      Friday                             
2054/2/28         21                      Saturday                           
2054/3/1          22                      Sunday                             
2054/3/2          23                      Monday                             
2054/3/3          24                      Tuesday                            
2054/3/4          25                      Wednesday                          
2054/3/5          26                      Thursday       Insects Waken       
2054/3/6          27                      Friday                             
2054/3/7          28                      Saturday                           
2054/3/8          29                      Sunday                             
2054/3/9          2nd Lunar Month         Monday                             
2054/3/10         2                       Tuesday                            
2054/3/11         3                       Wednesday                          
2054/3/12         4                       Thursday                           
2054/3/13         5                       Friday                             
2054/3/14         6                       Saturday                           
2054/3/15         7                       Sunday                             
2054/3/16         8                       Monday                             
2054/3/17         9                       Tuesday                            
2054/3/18         10                      Wednesday                          
2054/3/19         11                      Thursday                           
2054/3/20         12                      Friday         Vernal Equinox      
2054/3/21         13                      Saturday                           
2054/3/22         14                      Sunday                             
2054/3/23         15                      Monday                             
2054/3/24         16                      Tuesday                            
2054/3/25         17                      Wednesday                          
2054/3/26         18                      Thursday                           
2054/3/27         19                      Friday                             
2054/3/28         20                      Saturday                           
2054/3/29         21                      Sunday                             
2054/3/30         22                      Monday                             
2054/3/31         23                      Tuesday                            
2054/4/1          24                      Wednesday                          
2054/4/2          25                      Thursday                           
2054/4/3          26                      Friday                             
2054/4/4          27                      Saturday       Bright & Clear      
2054/4/5          28                      Sunday                             
2054/4/6          29                      Monday                             
2054/4/7          30                      Tuesday                            
2054/4/8          3rd Lunar Month         Wednesday                          
2054/4/9          2                       Thursday                           
2054/4/10         3                       Friday                             
2054/4/11         4                       Saturday                           
2054/4/12         5                       Sunday                             
2054/4/13         6                       Monday                             
2054/4/14         7                       Tuesday                            
2054/4/15         8                       Wednesday                          
2054/4/16         9                       Thursday                           
2054/4/17         10                      Friday                             
2054/4/18         11                      Saturday                           
2054/4/19         12                      Sunday                             
2054/4/20         13                      Monday         Corn Rain           
2054/4/21         14                      Tuesday                            
2054/4/22         15                      Wednesday                          
2054/4/23         16                      Thursday                           
2054/4/24         17                      Friday                             
