Gregorian-Lunar Calendar Conversion Table of 2055 (Yi-hai  -  year of the Pig)
Gregorian date    Lunar date              Day-of-week    Solar terms
2055/1/1          4                       Friday                             
2055/1/2          5                       Saturday                           
2055/1/3          6                       Sunday                             
2055/1/4          7                       Monday                             
2055/1/5          8                       Tuesday        Moderate Cold       
2055/1/6          9                       Wednesday                          
2055/1/7          10                      Thursday                           
2055/1/8          11                      Friday                             
2055/1/9          12                      Saturday                           
2055/1/10         13                      Sunday                             
2055/1/11         14                      Monday                             
2055/1/12         15                      Tuesday                            
2055/1/13         16                      Wednesday                          
2055/1/14         17                      Thursday                           
2055/1/15         18                      Friday                             
2055/1/16         19                      Saturday                           
2055/1/17         20                      Sunday                             
2055/1/18         21                      Monday                             
2055/1/19         22                      Tuesday                            
2055/1/20         23                      Wednesday      Severe Cold         
2055/1/21         24                      Thursday                           
2055/1/22         25                      Friday                             
2055/1/23         26                      Saturday                           
2055/1/24         27                      Sunday                             
2055/1/25         28                      Monday                             
2055/1/26         29                      Tuesday                            
2055/1/27         30                      Wednesday                          
2055/1/28         1st Lunar Month         Thursday                           
2055/1/29         2                       Friday                             
2055/1/30         3                       Saturday                           
2055/1/31         4                       Sunday                             
2055/2/1          5                       Monday                             
2055/2/2          6                       Tuesday                            
2055/2/3          7                       Wednesday                          
2055/2/4          8                       Thursday       Spring Commences    
2055/2/5          9                       Friday                             
2055/2/6          10                      Saturday                           
2055/2/7          11                      Sunday                             
2055/2/8          12                      Monday                             
2055/2/9          13                      Tuesday                            
2055/2/10         14                      Wednesday                          
2055/2/11         15                      Thursday                           
2055/2/12         16                      Friday                             
2055/2/13         17                      Saturday                           
2055/2/14         18                      Sunday                             
2055/2/15         19                      Monday                             
2055/2/16         20                      Tuesday                            
2055/2/17         21                      Wednesday                          
2055/2/18         22                      Thursday                           
2055/2/19         23                      Friday         Spring Showers      
2055/2/20         24                      Saturday                           
2055/2/21         25                      Sunday                             
2055/2/22         26                      Monday                             
2055/2/23         27                      Tuesday                            
2055/2/24         28                      Wednesday                          
2055/2/25         29                      Thursday                           
2055/2/26         2nd Lunar Month         Friday                             
2055/2/27         2                       Saturday                           
2055/2/28         3                       Sunday                             
2055/3/1          4                       Monday                             
2055/3/2          5                       Tuesday                            
2055/3/3          6                       Wednesday                          
2055/3/4          7                       Thursday                           
2055/3/5          8                       Friday         Insects Waken       
2055/3/6          9                       Saturday                           
2055/3/7          10                      Sunday                             
2055/3/8          11                      Monday                             
2055/3/9          12                      Tuesday                            
2055/3/10         13                      Wednesday                          
2055/3/11         14                      Thursday                           
2055/3/12         15                      Friday                             
2055/3/13         16                      Saturday                           
2055/3/14         17                      Sunday                             
2055/3/15         18                      Monday                             
2055/3/16         19                      Tuesday                            
2055/3/17         20                      Wednesday                          
2055/3/18         21                      Thursday                           
2055/3/19         22                      Friday                             
2055/3/20         23                      Saturday       Vernal Equinox      
2055/3/21         24                      Sunday                             
2055/3/22         25                      Monday                             
2055/3/23         26                      Tuesday                            
2055/3/24         27                      Wednesday                          
2055/3/25         28                      Thursday                           
2055/3/26         29                      Friday                             
2055/3/27         30                      Saturday                           
2055/3/28         3rd Lunar Month         Sunday                             
2055/3/29         2                       Monday                             
2055/3/30         3                       Tuesday                            
2055/3/31         4                       Wednesday                          
2055/4/1          5                       Thursday                           
2055/4/2          6                       Friday                             
2055/4/3          7                       Saturday                           
2055/4/4          8                       Sunday                             
2055/4/5          9                       Monday         Bright & Clear      
2055/4/6          10                      Tuesday                            
2055/4/7          11                      Wednesday                          
2055/4/8          12                      Thursday                           
2055/4/9          13                      Friday                             
2055/4/10         14                      Saturday                           
2055/4/11         15                      Sunday                             
2055/4/12         16                      Monday                             
2055/4/13         17                      Tuesday                            
2055/4/14         18                      Wednesday                          
2055/4/15         19                      Thursday                           
2055/4/16         20                      Friday                             
2055/4/17         21                      Saturday                           
2055/4/18         22                      Sunday                             
2055/4/19         23                      Monday                             
2055/4/20         24                      Tuesday        Corn Rain           
2055/4/21         25                      Wednesday                          
2055/4/22         26                      Thursday                           
2055/4/23         27                      Friday                             
2055/4/24         28                      Saturday                           
2055/4/25         29                      Sunday                             
2055/4/26         30                      Monday                             
2055/4/27         4th Lunar Month         Tuesday                            
2055/4/28         2                       Wednesday                          
2055/4/29         3                       Thursday                           
2055/4/30         4                       Friday                             
2055/5/1          5                       Saturday                           
2055/5/2          6                       Sunday                             
2055/5/3          7                       Monday                             
2055/5/4          8                       Tuesday                            
2055/5/5          9                       Wednesday      Summer Commences    
2055/5/6          10                      Thursday                           
2055/5/7          11                      Friday                             
2055/5/8          12                      Saturday                           
2055/5/9          13                      Sunday                             
2055/5/10         14                      Monday                             
2055/5/11         15                      Tuesday                            
2055/5/12         16                      Wednesday                          
2055/5/13         17                      Thursday                           
2055/5/14         18                      Friday                             
2055/5/15         19                      Saturday                           
2055/5/16         20                      Sunday                             
2055/5/17         21                      Monday                             
2055/5/18         22                      Tuesday                            
2055/5/19         23                      Wednesday                          
2055/5/20         24                      Thursday                           
2055/5/21         25                      Friday         Corn Forms          
2055/5/22         26                      Saturday                           
2055/5/23         27                      Sunday                             
2055/5/24         28                      Monday                             
2055/5/25         29                      Tuesday                            
2055/5/26         5th Lunar Month         Wednesday                          
2055/5/27         2                       Thursday                           
2055/5/28         3                       Friday                             
2055/5/29         4                       Saturday                           
2055/5/30         5                       Sunday                             
2055/5/31         6                       Monday                             
2055/6/1          7                       Tuesday                            
2055/6/2          8                       Wednesday                          
2055/6/3          9                       Thursday                           
2055/6/4          10                      Friday                             
2055/6/5          11                      Saturday       Corn on Ear         
2055/6/6          12                      Sunday                             
2055/6/7          13                      Monday                             
2055/6/8          14                      Tuesday                            
2055/6/9          15                      Wednesday                          
2055/6/10         16                      Thursday                           
2055/6/11         17                      Friday                             
2055/6/12         18                      Saturday                           
2055/6/13         19                      Sunday                             
2055/6/14         20                      Monday                             
2055/6/15         21                      Tuesday                            
2055/6/16         22                      Wednesday                          
2055/6/17         23                      Thursday                           
2055/6/18         24                      Friday                             
2055/6/19         25                      Saturday                           
2055/6/20         26                      Sunday                             
2055/6/21         27                      Monday         Summer Solstice     
2055/6/22         28                      Tuesday                            
2055/6/23         29                      Wednesday                          
2055/6/24         30                      Thursday                           
2055/6/25         6th Lunar Month         Friday                             
2055/6/26         2                       Saturday                           
2055/6/27         3                       Sunday                             
2055/6/28         4                       Monday                             
2055/6/29         5                       Tuesday                            
2055/6/30         6                       Wednesday                          
2055/7/1          7                       Thursday                           
2055/7/2          8                       Friday                             
2055/7/3          9                       Saturday                           
2055/7/4          10                      Sunday                             
2055/7/5          11                      Monday                             
2055/7/6          12                      Tuesday                            
2055/7/7          13                      Wednesday      Moderate Heat       
2055/7/8          14                      Thursday                           
2055/7/9          15                      Friday                             
2055/7/10         16                      Saturday                           
2055/7/11         17                      Sunday                             
2055/7/12         18                      Monday                             
2055/7/13         19                      Tuesday                            
2055/7/14         20                      Wednesday                          
2055/7/15         21                      Thursday                           
2055/7/16         22                      Friday                             
2055/7/17         23                      Saturday                           
2055/7/18         24                      Sunday                             
