Gregorian-Lunar Calendar Conversion Table of 2060 (Geng-chen  -  year of the Dragon)
Gregorian date    Lunar date              Day-of-week    Solar terms
2060/1/1          28                      Thursday                           
2060/1/2          29                      Friday                             
2060/1/3          30                      Saturday                           
2060/1/4          12th Lunar Month        Sunday                             
2060/1/5          2                       Monday         Moderate Cold       
2060/1/6          3                       Tuesday                            
2060/1/7          4                       Wednesday                          
2060/1/8          5                       Thursday                           
2060/1/9          6                       Friday                             
2060/1/10         7                       Saturday                           
2060/1/11         8                       Sunday                             
2060/1/12         9                       Monday                             
2060/1/13         10                      Tuesday                            
2060/1/14         11                      Wednesday                          
2060/1/15         12                      Thursday                           
2060/1/16         13                      Friday                             
2060/1/17         14                      Saturday                           
2060/1/18         15                      Sunday                             
2060/1/19         16                      Monday                             
2060/1/20         17                      Tuesday        Severe Cold         
2060/1/21         18                      Wednesday                          
2060/1/22         19                      Thursday                           
2060/1/23         20                      Friday                             
2060/1/24         21                      Saturday                           
2060/1/25         22                      Sunday                             
2060/1/26         23                      Monday                             
2060/1/27         24                      Tuesday                            
2060/1/28         25                      Wednesday                          
2060/1/29         26                      Thursday                           
2060/1/30         27                      Friday                             
2060/1/31         28                      Saturday                           
2060/2/1          29                      Sunday                             
2060/2/2          1st Lunar Month         Monday                             
2060/2/3          2                       Tuesday                            
2060/2/4          3                       Wednesday      Spring Commences    
2060/2/5          4                       Thursday                           
2060/2/6          5                       Friday                             
2060/2/7          6                       Saturday                           
2060/2/8          7                       Sunday                             
2060/2/9          8                       Monday                             
2060/2/10         9                       Tuesday                            
2060/2/11         10                      Wednesday                          
2060/2/12         11                      Thursday                           
2060/2/13         12                      Friday                             
2060/2/14         13                      Saturday                           
2060/2/15         14                      Sunday                             
2060/2/16         15                      Monday                             
2060/2/17         16                      Tuesday                            
2060/2/18         17                      Wednesday                          
2060/2/19         18                      Thursday       Spring Showers      
2060/2/20         19                      Friday                             
2060/2/21         20                      Saturday                           
2060/2/22         21                      Sunday                             
2060/2/23         22                      Monday                             
2060/2/24         23                      Tuesday                            
2060/2/25         24                      Wednesday                          
2060/2/26         25                      Thursday                           
2060/2/27         26                      Friday                             
2060/2/28         27                      Saturday                           
2060/2/29         28                      Sunday                             
2060/3/1          29                      Monday                             
2060/3/2          30                      Tuesday                            
2060/3/3          2nd Lunar Month         Wednesday                          
2060/3/4          2                       Thursday                           
2060/3/5          3                       Friday         Insects Waken       
2060/3/6          4                       Saturday                           
2060/3/7          5                       Sunday                             
2060/3/8          6                       Monday                             
2060/3/9          7                       Tuesday                            
2060/3/10         8                       Wednesday                          
2060/3/11         9                       Thursday                           
2060/3/12         10                      Friday                             
2060/3/13         11                      Saturday                           
2060/3/14         12                      Sunday                             
2060/3/15         13                      Monday                             
2060/3/16         14                      Tuesday                            
2060/3/17         15                      Wednesday                          
2060/3/18         16                      Thursday                           
2060/3/19         17                      Friday                             
2060/3/20         18                      Saturday       Vernal Equinox      
2060/3/21         19                      Sunday                             
2060/3/22         20                      Monday                             
2060/3/23         21                      Tuesday                            
2060/3/24         22                      Wednesday                          
2060/3/25         23                      Thursday                           
2060/3/26         24                      Friday                             
2060/3/27         25                      Saturday                           
2060/3/28         26                      Sunday                             
2060/3/29         27                      Monday                             
2060/3/30         28                      Tuesday                            
2060/3/31         29                      Wednesday                          
2060/4/1          3rd Lunar Month         Thursday                           
2060/4/2          2                       Friday                             
2060/4/3          3                       Saturday                           
2060/4/4          4                       Sunday         Bright & Clear      
2060/4/5          5                       Monday                             
2060/4/6          6                       Tuesday                            
2060/4/7          7                       Wednesday                          
2060/4/8          8                       Thursday                           
2060/4/9          9                       Friday                             
2060/4/10         10                      Saturday                           
2060/4/11         11                      Sunday                             
2060/4/12         12                      Monday                             
2060/4/13         13                      Tuesday                            
2060/4/14         14                      Wednesday                          
2060/4/15         15                      Thursday                           
2060/4/16         16                      Friday                             
2060/4/17         17                      Saturday                           
2060/4/18         18                      Sunday                             
2060/4/19         19                      Monday         Corn Rain           
2060/4/20         20                      Tuesday                            
2060/4/21         21                      Wednesday                          
2060/4/22         22                      Thursday                           
2060/4/23         23                      Friday                             
2060/4/24         24                      Saturday                           
2060/4/25         25                      Sunday                             
2060/4/26         26                      Monday                             
2060/4/27         27                      Tuesday                            
2060/4/28         28                      Wednesday                          
2060/4/29         29                      Thursday                           
2060/4/30         4th Lunar Month         Friday                             
2060/5/1          2                       Saturday                           
2060/5/2          3                       Sunday                             
2060/5/3          4                       Monday                             
2060/5/4          5                       Tuesday                            
2060/5/5          6                       Wednesday      Summer Commences    
2060/5/6          7                       Thursday                           
2060/5/7          8                       Friday                             
2060/5/8          9                       Saturday                           
2060/5/9          10                      Sunday                             
2060/5/10         11                      Monday                             
2060/5/11         12                      Tuesday                            
2060/5/12         13                      Wednesday                          
2060/5/13         14                      Thursday                           
2060/5/14         15                      Friday                             
2060/5/15         16                      Saturday                           
2060/5/16         17                      Sunday                             
2060/5/17         18                      Monday                             
2060/5/18         19                      Tuesday                            
2060/5/19         20                      Wednesday                          
2060/5/20         21                      Thursday       Corn Forms          
2060/5/21         22                      Friday                             
2060/5/22         23                      Saturday                           
2060/5/23         24                      Sunday                             
2060/5/24         25                      Monday                             
2060/5/25         26                      Tuesday                            
2060/5/26         27                      Wednesday                          
2060/5/27         28                      Thursday                           
2060/5/28         29                      Friday                             
2060/5/29         30                      Saturday                           
