Gregorian-Lunar Calendar Conversion Table of 2063 (Gui-wei  -  year of the Goat)
Gregorian date    Lunar date              Day-of-week    Solar terms
2063/1/1          2                       Monday                             
2063/1/2          3                       Tuesday                            
2063/1/3          4                       Wednesday                          
2063/1/4          5                       Thursday                           
2063/1/5          6                       Friday         Moderate Cold       
2063/1/6          7                       Saturday                           
2063/1/7          8                       Sunday                             
2063/1/8          9                       Monday                             
2063/1/9          10                      Tuesday                            
2063/1/10         11                      Wednesday                          
2063/1/11         12                      Thursday                           
2063/1/12         13                      Friday                             
2063/1/13         14                      Saturday                           
2063/1/14         15                      Sunday                             
2063/1/15         16                      Monday                             
2063/1/16         17                      Tuesday                            
2063/1/17         18                      Wednesday                          
2063/1/18         19                      Thursday                           
2063/1/19         20                      Friday                             
2063/1/20         21                      Saturday       Severe Cold         
2063/1/21         22                      Sunday                             
2063/1/22         23                      Monday                             
2063/1/23         24                      Tuesday                            
2063/1/24         25                      Wednesday                          
2063/1/25         26                      Thursday                           
2063/1/26         27                      Friday                             
2063/1/27         28                      Saturday                           
2063/1/28         29                      Sunday                             
2063/1/29         1st Lunar Month         Monday                             
2063/1/30         2                       Tuesday                            
2063/1/31         3                       Wednesday                          
2063/2/1          4                       Thursday                           
2063/2/2          5                       Friday                             
2063/2/3          6                       Saturday                           
2063/2/4          7                       Sunday         Spring Commences    
2063/2/5          8                       Monday                             
2063/2/6          9                       Tuesday                            
2063/2/7          10                      Wednesday                          
2063/2/8          11                      Thursday                           
2063/2/9          12                      Friday                             
2063/2/10         13                      Saturday                           
2063/2/11         14                      Sunday                             
2063/2/12         15                      Monday                             
2063/2/13         16                      Tuesday                            
2063/2/14         17                      Wednesday                          
2063/2/15         18                      Thursday                           
2063/2/16         19                      Friday                             
2063/2/17         20                      Saturday                           
2063/2/18         21                      Sunday         Spring Showers      
2063/2/19         22                      Monday                             
2063/2/20         23                      Tuesday                            
2063/2/21         24                      Wednesday                          
2063/2/22         25                      Thursday                           
2063/2/23         26                      Friday                             
2063/2/24         27                      Saturday                           
2063/2/25         28                      Sunday                             
2063/2/26         29                      Monday                             
2063/2/27         30                      Tuesday                            
2063/2/28         2nd Lunar Month         Wednesday                          
2063/3/1          2                       Thursday                           
2063/3/2          3                       Friday                             
2063/3/3          4                       Saturday                           
2063/3/4          5                       Sunday                             
2063/3/5          6                       Monday         Insects Waken       
2063/3/6          7                       Tuesday                            
2063/3/7          8                       Wednesday                          
2063/3/8          9                       Thursday                           
2063/3/9          10                      Friday                             
2063/3/10         11                      Saturday                           
2063/3/11         12                      Sunday                             
2063/3/12         13                      Monday                             
