Gregorian-Lunar Calendar Conversion Table of 2064 (Jia-shen  -  year of the Monkey)
Gregorian date    Lunar date              Day-of-week    Solar terms
2064/1/1          13                      Tuesday                            
2064/1/2          14                      Wednesday                          
2064/1/3          15                      Thursday                           
2064/1/4          16                      Friday                             
2064/1/5          17                      Saturday       Moderate Cold       
2064/1/6          18                      Sunday                             
2064/1/7          19                      Monday                             
2064/1/8          20                      Tuesday                            
2064/1/9          21                      Wednesday                          
2064/1/10         22                      Thursday                           
2064/1/11         23                      Friday                             
2064/1/12         24                      Saturday                           
2064/1/13         25                      Sunday                             
2064/1/14         26                      Monday                             
2064/1/15         27                      Tuesday                            
2064/1/16         28                      Wednesday                          
2064/1/17         29                      Thursday                           
2064/1/18         12th Lunar Month        Friday                             
2064/1/19         2                       Saturday                           
2064/1/20         3                       Sunday         Severe Cold         
2064/1/21         4                       Monday                             
2064/1/22         5                       Tuesday                            
2064/1/23         6                       Wednesday                          
2064/1/24         7                       Thursday                           
2064/1/25         8                       Friday                             
2064/1/26         9                       Saturday                           
2064/1/27         10                      Sunday                             
2064/1/28         11                      Monday                             
2064/1/29         12                      Tuesday                            
2064/1/30         13                      Wednesday                          
2064/1/31         14                      Thursday                           
2064/2/1          15                      Friday                             
2064/2/2          16                      Saturday                           
2064/2/3          17                      Sunday                             
2064/2/4          18                      Monday         Spring Commences    
2064/2/5          19                      Tuesday                            
2064/2/6          20                      Wednesday                          
2064/2/7          21                      Thursday                           
2064/2/8          22                      Friday                             
2064/2/9          23                      Saturday                           
2064/2/10         24                      Sunday                             
2064/2/11         25                      Monday                             
2064/2/12         26                      Tuesday                            
2064/2/13         27                      Wednesday                          
2064/2/14         28                      Thursday                           
2064/2/15         29                      Friday                             
2064/2/16         30                      Saturday                           
2064/2/17         1st Lunar Month         Sunday                             
2064/2/18         2                       Monday                             
2064/2/19         3                       Tuesday        Spring Showers      
2064/2/20         4                       Wednesday                          
2064/2/21         5                       Thursday                           
2064/2/22         6                       Friday                             
2064/2/23         7                       Saturday                           
2064/2/24         8                       Sunday                             
2064/2/25         9                       Monday                             
2064/2/26         10                      Tuesday                            
2064/2/27         11                      Wednesday                          
2064/2/28         12                      Thursday                           
2064/2/29         13                      Friday                             
2064/3/1          14                      Saturday                           
2064/3/2          15                      Sunday                             
2064/3/3          16                      Monday                             
2064/3/4          17                      Tuesday                            
2064/3/5          18                      Wednesday      Insects Waken       
2064/3/6          19                      Thursday                           
2064/3/7          20                      Friday                             
2064/3/8          21                      Saturday                           
2064/3/9          22                      Sunday                             
2064/3/10         23                      Monday                             
2064/3/11         24                      Tuesday                            
2064/3/12         25                      Wednesday                          
2064/3/13         26                      Thursday                           
2064/3/14         27                      Friday                             
2064/3/15         28                      Saturday                           
2064/3/16         29                      Sunday                             
2064/3/17         30                      Monday                             
2064/3/18         2nd Lunar Month         Tuesday                            
2064/3/19         2                       Wednesday                          
