Gregorian-Lunar Calendar Conversion Table of 2066 (Bing-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2066/1/1          6                       Friday                             
2066/1/2          7                       Saturday                           
2066/1/3          8                       Sunday                             
2066/1/4          9                       Monday                             
2066/1/5          10                      Tuesday        Moderate Cold       
2066/1/6          11                      Wednesday                          
2066/1/7          12                      Thursday                           
2066/1/8          13                      Friday                             
2066/1/9          14                      Saturday                           
2066/1/10         15                      Sunday                             
2066/1/11         16                      Monday                             
2066/1/12         17                      Tuesday                            
2066/1/13         18                      Wednesday                          
2066/1/14         19                      Thursday                           
2066/1/15         20                      Friday                             
2066/1/16         21                      Saturday                           
2066/1/17         22                      Sunday                             
2066/1/18         23                      Monday                             
2066/1/19         24                      Tuesday                            
2066/1/20         25                      Wednesday      Severe Cold         
2066/1/21         26                      Thursday                           
2066/1/22         27                      Friday                             
2066/1/23         28                      Saturday                           
2066/1/24         29                      Sunday                             
2066/1/25         30                      Monday                             
2066/1/26         1st Lunar Month         Tuesday                            
2066/1/27         2                       Wednesday                          
2066/1/28         3                       Thursday                           
2066/1/29         4                       Friday                             
2066/1/30         5                       Saturday                           
2066/1/31         6                       Sunday                             
2066/2/1          7                       Monday                             
2066/2/2          8                       Tuesday                            
2066/2/3          9                       Wednesday      Spring Commences    
2066/2/4          10                      Thursday                           
2066/2/5          11                      Friday                             
2066/2/6          12                      Saturday                           
2066/2/7          13                      Sunday                             
2066/2/8          14                      Monday                             
2066/2/9          15                      Tuesday                            
2066/2/10         16                      Wednesday                          
2066/2/11         17                      Thursday                           
2066/2/12         18                      Friday                             
2066/2/13         19                      Saturday                           
2066/2/14         20                      Sunday                             
2066/2/15         21                      Monday                             
2066/2/16         22                      Tuesday                            
2066/2/17         23                      Wednesday                          
2066/2/18         24                      Thursday       Spring Showers      
2066/2/19         25                      Friday                             
2066/2/20         26                      Saturday                           
2066/2/21         27                      Sunday                             
2066/2/22         28                      Monday                             
2066/2/23         29                      Tuesday                            
2066/2/24         2nd Lunar Month         Wednesday                          
2066/2/25         2                       Thursday                           
2066/2/26         3                       Friday                             
2066/2/27         4                       Saturday                           
2066/2/28         5                       Sunday                             
2066/3/1          6                       Monday                             
