Gregorian-Lunar Calendar Conversion Table of 2068 (Wu-zi  -  year of the Mouse)
Gregorian date    Lunar date              Day-of-week    Solar terms
2068/1/1          27                      Sunday                             
2068/1/2          28                      Monday                             
2068/1/3          29                      Tuesday                            
2068/1/4          30                      Wednesday                          
2068/1/5          12th Lunar Month        Thursday       Moderate Cold       
2068/1/6          2                       Friday                             
2068/1/7          3                       Saturday                           
2068/1/8          4                       Sunday                             
2068/1/9          5                       Monday                             
2068/1/10         6                       Tuesday                            
2068/1/11         7                       Wednesday                          
2068/1/12         8                       Thursday                           
2068/1/13         9                       Friday                             
2068/1/14         10                      Saturday                           
2068/1/15         11                      Sunday                             
2068/1/16         12                      Monday                             
2068/1/17         13                      Tuesday                            
2068/1/18         14                      Wednesday                          
2068/1/19         15                      Thursday                           
2068/1/20         16                      Friday         Severe Cold         
2068/1/21         17                      Saturday                           
2068/1/22         18                      Sunday                             
2068/1/23         19                      Monday                             
2068/1/24         20                      Tuesday                            
2068/1/25         21                      Wednesday                          
2068/1/26         22                      Thursday                           
2068/1/27         23                      Friday                             
2068/1/28         24                      Saturday                           
2068/1/29         25                      Sunday                             
2068/1/30         26                      Monday                             
2068/1/31         27                      Tuesday                            
2068/2/1          28                      Wednesday                          
2068/2/2          29                      Thursday                           
2068/2/3          1st Lunar Month         Friday                             
2068/2/4          2                       Saturday       Spring Commences    
2068/2/5          3                       Sunday                             
2068/2/6          4                       Monday                             
2068/2/7          5                       Tuesday                            
2068/2/8          6                       Wednesday                          
2068/2/9          7                       Thursday                           
2068/2/10         8                       Friday                             
2068/2/11         9                       Saturday                           
2068/2/12         10                      Sunday                             
2068/2/13         11                      Monday                             
2068/2/14         12                      Tuesday                            
2068/2/15         13                      Wednesday                          
2068/2/16         14                      Thursday                           
2068/2/17         15                      Friday                             
2068/2/18         16                      Saturday                           
2068/2/19         17                      Sunday         Spring Showers      
2068/2/20         18                      Monday                             
2068/2/21         19                      Tuesday                            
2068/2/22         20                      Wednesday                          
2068/2/23         21                      Thursday                           
2068/2/24         22                      Friday                             
2068/2/25         23                      Saturday                           
2068/2/26         24                      Sunday                             
2068/2/27         25                      Monday                             
2068/2/28         26                      Tuesday                            
2068/2/29         27                      Wednesday                          
2068/3/1          28                      Thursday                           
2068/3/2          29                      Friday                             
2068/3/3          30                      Saturday                           
2068/3/4          2nd Lunar Month         Sunday                             
2068/3/5          2                       Monday         Insects Waken       
2068/3/6          3                       Tuesday                            
2068/3/7          4                       Wednesday                          
2068/3/8          5                       Thursday                           
2068/3/9          6                       Friday                             
2068/3/10         7                       Saturday                           
2068/3/11         8                       Sunday                             
2068/3/12         9                       Monday                             
2068/3/13         10                      Tuesday                            
2068/3/14         11                      Wednesday                          
2068/3/15         12                      Thursday                           
2068/3/16         13                      Friday                             
