Gregorian-Lunar Calendar Conversion Table of 2069 (Ji-chou  -  year of the Ox)
Gregorian date    Lunar date              Day-of-week    Solar terms
2069/1/1          9                       Tuesday                            
2069/1/2          10                      Wednesday                          
2069/1/3          11                      Thursday                           
2069/1/4          12                      Friday                             
2069/1/5          13                      Saturday       Moderate Cold       
2069/1/6          14                      Sunday                             
2069/1/7          15                      Monday                             
2069/1/8          16                      Tuesday                            
2069/1/9          17                      Wednesday                          
2069/1/10         18                      Thursday                           
2069/1/11         19                      Friday                             
2069/1/12         20                      Saturday                           
2069/1/13         21                      Sunday                             
2069/1/14         22                      Monday                             
2069/1/15         23                      Tuesday                            
2069/1/16         24                      Wednesday                          
2069/1/17         25                      Thursday                           
2069/1/18         26                      Friday                             
2069/1/19         27                      Saturday       Severe Cold         
2069/1/20         28                      Sunday                             
2069/1/21         29                      Monday                             
2069/1/22         30                      Tuesday                            
2069/1/23         1st Lunar Month         Wednesday                          
2069/1/24         2                       Thursday                           
2069/1/25         3                       Friday                             
2069/1/26         4                       Saturday                           
2069/1/27         5                       Sunday                             
2069/1/28         6                       Monday                             
2069/1/29         7                       Tuesday                            
2069/1/30         8                       Wednesday                          
2069/1/31         9                       Thursday                           
2069/2/1          10                      Friday                             
2069/2/2          11                      Saturday                           
2069/2/3          12                      Sunday         Spring Commences    
2069/2/4          13                      Monday                             
2069/2/5          14                      Tuesday                            
2069/2/6          15                      Wednesday                          
2069/2/7          16                      Thursday                           
2069/2/8          17                      Friday                             
2069/2/9          18                      Saturday                           
2069/2/10         19                      Sunday                             
2069/2/11         20                      Monday                             
2069/2/12         21                      Tuesday                            
2069/2/13         22                      Wednesday                          
2069/2/14         23                      Thursday                           
2069/2/15         24                      Friday                             
2069/2/16         25                      Saturday                           
2069/2/17         26                      Sunday                             
2069/2/18         27                      Monday         Spring Showers      
2069/2/19         28                      Tuesday                            
2069/2/20         29                      Wednesday                          
2069/2/21         2nd Lunar Month         Thursday                           
2069/2/22         2                       Friday                             
2069/2/23         3                       Saturday                           
2069/2/24         4                       Sunday                             
2069/2/25         5                       Monday                             
2069/2/26         6                       Tuesday                            
