Gregorian-Lunar Calendar Conversion Table of 2070 (Geng-yin  -  year of the Tiger)
Gregorian date    Lunar date              Day-of-week    Solar terms
2070/1/1          19                      Wednesday                          
2070/1/2          20                      Thursday                           
2070/1/3          21                      Friday                             
2070/1/4          22                      Saturday                           
2070/1/5          23                      Sunday         Moderate Cold       
2070/1/6          24                      Monday                             
2070/1/7          25                      Tuesday                            
2070/1/8          26                      Wednesday                          
2070/1/9          27                      Thursday                           
2070/1/10         28                      Friday                             
2070/1/11         29                      Saturday                           
2070/1/12         12th Lunar Month        Sunday                             
2070/1/13         2                       Monday                             
2070/1/14         3                       Tuesday                            
2070/1/15         4                       Wednesday                          
2070/1/16         5                       Thursday                           
2070/1/17         6                       Friday                             
2070/1/18         7                       Saturday                           
2070/1/19         8                       Sunday                             
2070/1/20         9                       Monday         Severe Cold         
2070/1/21         10                      Tuesday                            
2070/1/22         11                      Wednesday                          
2070/1/23         12                      Thursday                           
2070/1/24         13                      Friday                             
2070/1/25         14                      Saturday                           
2070/1/26         15                      Sunday                             
2070/1/27         16                      Monday                             
2070/1/28         17                      Tuesday                            
2070/1/29         18                      Wednesday                          
2070/1/30         19                      Thursday                           
2070/1/31         20                      Friday                             
2070/2/1          21                      Saturday                           
2070/2/2          22                      Sunday                             
2070/2/3          23                      Monday         Spring Commences    
2070/2/4          24                      Tuesday                            
2070/2/5          25                      Wednesday                          
2070/2/6          26                      Thursday                           
2070/2/7          27                      Friday                             
2070/2/8          28                      Saturday                           
2070/2/9          29                      Sunday                             
2070/2/10         30                      Monday                             
2070/2/11         1st Lunar Month         Tuesday                            
2070/2/12         2                       Wednesday                          
2070/2/13         3                       Thursday                           
2070/2/14         4                       Friday                             
2070/2/15         5                       Saturday                           
2070/2/16         6                       Sunday                             
2070/2/17         7                       Monday                             
2070/2/18         8                       Tuesday        Spring Showers      
2070/2/19         9                       Wednesday                          
2070/2/20         10                      Thursday                           
2070/2/21         11                      Friday                             
2070/2/22         12                      Saturday                           
2070/2/23         13                      Sunday                             
2070/2/24         14                      Monday                             
2070/2/25         15                      Tuesday                            
2070/2/26         16                      Wednesday                          
2070/2/27         17                      Thursday                           
2070/2/28         18                      Friday                             
2070/3/1          19                      Saturday                           
2070/3/2          20                      Sunday                             
2070/3/3          21                      Monday                             
2070/3/4          22                      Tuesday                            
2070/3/5          23                      Wednesday      Insects Waken       
2070/3/6          24                      Thursday                           
2070/3/7          25                      Friday                             
2070/3/8          26                      Saturday                           
2070/3/9          27                      Sunday                             
2070/3/10         28                      Monday                             
2070/3/11         29                      Tuesday                            
2070/3/12         2nd Lunar Month         Wednesday                          
2070/3/13         2                       Thursday                           
2070/3/14         3                       Friday                             
2070/3/15         4                       Saturday                           
2070/3/16         5                       Sunday                             
2070/3/17         6                       Monday                             
2070/3/18         7                       Tuesday                            
2070/3/19         8                       Wednesday                          
2070/3/20         9                       Thursday       Vernal Equinox      
2070/3/21         10                      Friday                             
2070/3/22         11                      Saturday                           
2070/3/23         12                      Sunday                             
2070/3/24         13                      Monday                             
2070/3/25         14                      Tuesday                            
2070/3/26         15                      Wednesday                          
2070/3/27         16                      Thursday                           
2070/3/28         17                      Friday                             
2070/3/29         18                      Saturday                           
2070/3/30         19                      Sunday                             
2070/3/31         20                      Monday                             
2070/4/1          21                      Tuesday                            
2070/4/2          22                      Wednesday                          
2070/4/3          23                      Thursday                           
2070/4/4          24                      Friday         Bright & Clear      
2070/4/5          25                      Saturday                           
2070/4/6          26                      Sunday                             
2070/4/7          27                      Monday                             
2070/4/8          28                      Tuesday                            
2070/4/9          29                      Wednesday                          
2070/4/10         30                      Thursday                           
2070/4/11         3rd Lunar Month         Friday                             
2070/4/12         2                       Saturday                           
2070/4/13         3                       Sunday                             
2070/4/14         4                       Monday                             
2070/4/15         5                       Tuesday                            
2070/4/16         6                       Wednesday                          
2070/4/17         7                       Thursday                           
2070/4/18         8                       Friday                             
2070/4/19         9                       Saturday                           
2070/4/20         10                      Sunday         Corn Rain           
2070/4/21         11                      Monday                             
2070/4/22         12                      Tuesday                            
2070/4/23         13                      Wednesday                          
2070/4/24         14                      Thursday                           
2070/4/25         15                      Friday                             
2070/4/26         16                      Saturday                           
2070/4/27         17                      Sunday                             
2070/4/28         18                      Monday                             
2070/4/29         19                      Tuesday                            
2070/4/30         20                      Wednesday                          
2070/5/1          21                      Thursday                           
2070/5/2          22                      Friday                             
2070/5/3          23                      Saturday                           
2070/5/4          24                      Sunday                             
2070/5/5          25                      Monday         Summer Commences    
2070/5/6          26                      Tuesday                            
2070/5/7          27                      Wednesday                          
2070/5/8          28                      Thursday                           
2070/5/9          29                      Friday                             
2070/5/10         4th Lunar Month         Saturday                           
2070/5/11         2                       Sunday                             
2070/5/12         3                       Monday                             
2070/5/13         4                       Tuesday                            
2070/5/14         5                       Wednesday                          
2070/5/15         6                       Thursday                           
2070/5/16         7                       Friday                             
2070/5/17         8                       Saturday                           
2070/5/18         9                       Sunday                             
2070/5/19         10                      Monday                             
2070/5/20         11                      Tuesday        Corn Forms          
2070/5/21         12                      Wednesday                          
2070/5/22         13                      Thursday                           
2070/5/23         14                      Friday                             
2070/5/24         15                      Saturday                           
2070/5/25         16                      Sunday                             
2070/5/26         17                      Monday                             
2070/5/27         18                      Tuesday                            
2070/5/28         19                      Wednesday                          
2070/5/29         20                      Thursday                           
2070/5/30         21                      Friday                             
2070/5/31         22                      Saturday                           
2070/6/1          23                      Sunday                             
2070/6/2          24                      Monday                             
2070/6/3          25                      Tuesday                            
2070/6/4          26                      Wednesday                          
2070/6/5          27                      Thursday       Corn on Ear         
2070/6/6          28                      Friday                             
2070/6/7          29                      Saturday                           
2070/6/8          30                      Sunday                             
2070/6/9          5th Lunar Month         Monday                             
2070/6/10         2                       Tuesday                            
2070/6/11         3                       Wednesday                          
2070/6/12         4                       Thursday                           
2070/6/13         5                       Friday                             
2070/6/14         6                       Saturday                           
2070/6/15         7                       Sunday                             
2070/6/16         8                       Monday                             
2070/6/17         9                       Tuesday                            
2070/6/18         10                      Wednesday                          
2070/6/19         11                      Thursday                           
2070/6/20         12                      Friday                             
2070/6/21         13                      Saturday       Summer Solstice     
2070/6/22         14                      Sunday                             
2070/6/23         15                      Monday                             
2070/6/24         16                      Tuesday                            
2070/6/25         17                      Wednesday                          
2070/6/26         18                      Thursday                           
2070/6/27         19                      Friday                             
2070/6/28         20                      Saturday                           
2070/6/29         21                      Sunday                             
