Gregorian-Lunar Calendar Conversion Table of 2071 (Xin-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2071/1/1          12th Lunar Month        Thursday                           
2071/1/2          2                       Friday                             
2071/1/3          3                       Saturday                           
2071/1/4          4                       Sunday                             
2071/1/5          5                       Monday         Moderate Cold       
2071/1/6          6                       Tuesday                            
2071/1/7          7                       Wednesday                          
2071/1/8          8                       Thursday                           
2071/1/9          9                       Friday                             
2071/1/10         10                      Saturday                           
2071/1/11         11                      Sunday                             
2071/1/12         12                      Monday                             
2071/1/13         13                      Tuesday                            
2071/1/14         14                      Wednesday                          
2071/1/15         15                      Thursday                           
2071/1/16         16                      Friday                             
2071/1/17         17                      Saturday                           
2071/1/18         18                      Sunday                             
2071/1/19         19                      Monday                             
2071/1/20         20                      Tuesday        Severe Cold         
2071/1/21         21                      Wednesday                          
2071/1/22         22                      Thursday                           
2071/1/23         23                      Friday                             
2071/1/24         24                      Saturday                           
2071/1/25         25                      Sunday                             
2071/1/26         26                      Monday                             
2071/1/27         27                      Tuesday                            
2071/1/28         28                      Wednesday                          
2071/1/29         29                      Thursday                           
2071/1/30         30                      Friday                             
2071/1/31         1st Lunar Month         Saturday                           
2071/2/1          2                       Sunday                             
2071/2/2          3                       Monday                             
2071/2/3          4                       Tuesday                            
2071/2/4          5                       Wednesday      Spring Commences    
2071/2/5          6                       Thursday                           
2071/2/6          7                       Friday                             
2071/2/7          8                       Saturday                           
2071/2/8          9                       Sunday                             
2071/2/9          10                      Monday                             
2071/2/10         11                      Tuesday                            
2071/2/11         12                      Wednesday                          
2071/2/12         13                      Thursday                           
2071/2/13         14                      Friday                             
2071/2/14         15                      Saturday                           
2071/2/15         16                      Sunday                             
2071/2/16         17                      Monday                             
2071/2/17         18                      Tuesday                            
2071/2/18         19                      Wednesday      Spring Showers      
2071/2/19         20                      Thursday                           
2071/2/20         21                      Friday                             
2071/2/21         22                      Saturday                           
2071/2/22         23                      Sunday                             
2071/2/23         24                      Monday                             
2071/2/24         25                      Tuesday                            
2071/2/25         26                      Wednesday                          
2071/2/26         27                      Thursday                           
2071/2/27         28                      Friday                             
2071/2/28         29                      Saturday                           
2071/3/1          30                      Sunday                             
2071/3/2          2nd Lunar Month         Monday                             
2071/3/3          2                       Tuesday                            
2071/3/4          3                       Wednesday                          
2071/3/5          4                       Thursday       Insects Waken       
2071/3/6          5                       Friday                             
2071/3/7          6                       Saturday                           
2071/3/8          7                       Sunday                             
2071/3/9          8                       Monday                             
2071/3/10         9                       Tuesday                            
2071/3/11         10                      Wednesday                          
2071/3/12         11                      Thursday                           
2071/3/13         12                      Friday                             
2071/3/14         13                      Saturday                           
2071/3/15         14                      Sunday                             
2071/3/16         15                      Monday                             
2071/3/17         16                      Tuesday                            
2071/3/18         17                      Wednesday                          
2071/3/19         18                      Thursday                           
2071/3/20         19                      Friday         Vernal Equinox      
2071/3/21         20                      Saturday                           
2071/3/22         21                      Sunday                             
2071/3/23         22                      Monday                             
2071/3/24         23                      Tuesday                            
2071/3/25         24                      Wednesday                          
2071/3/26         25                      Thursday                           
2071/3/27         26                      Friday                             
2071/3/28         27                      Saturday                           
2071/3/29         28                      Sunday                             
2071/3/30         29                      Monday                             
2071/3/31         3rd Lunar Month         Tuesday                            
2071/4/1          2                       Wednesday                          
2071/4/2          3                       Thursday                           
2071/4/3          4                       Friday                             
2071/4/4          5                       Saturday                           
2071/4/5          6                       Sunday         Bright & Clear      
2071/4/6          7                       Monday                             
2071/4/7          8                       Tuesday                            
2071/4/8          9                       Wednesday                          
2071/4/9          10                      Thursday                           
2071/4/10         11                      Friday                             
2071/4/11         12                      Saturday                           
2071/4/12         13                      Sunday                             
2071/4/13         14                      Monday                             
2071/4/14         15                      Tuesday                            
2071/4/15         16                      Wednesday                          
2071/4/16         17                      Thursday                           
2071/4/17         18                      Friday                             
2071/4/18         19                      Saturday                           
2071/4/19         20                      Sunday                             
2071/4/20         21                      Monday         Corn Rain           
2071/4/21         22                      Tuesday                            
