Gregorian-Lunar Calendar Conversion Table of 2072 (Ren-chen  -  year of the Dragon)
Gregorian date    Lunar date              Day-of-week    Solar terms
2072/1/1          12                      Friday                             
2072/1/2          13                      Saturday                           
2072/1/3          14                      Sunday                             
2072/1/4          15                      Monday                             
2072/1/5          16                      Tuesday        Moderate Cold       
2072/1/6          17                      Wednesday                          
2072/1/7          18                      Thursday                           
2072/1/8          19                      Friday                             
2072/1/9          20                      Saturday                           
2072/1/10         21                      Sunday                             
2072/1/11         22                      Monday                             
2072/1/12         23                      Tuesday                            
2072/1/13         24                      Wednesday                          
2072/1/14         25                      Thursday                           
2072/1/15         26                      Friday                             
2072/1/16         27                      Saturday                           
2072/1/17         28                      Sunday                             
2072/1/18         29                      Monday                             
2072/1/19         30                      Tuesday                            
2072/1/20         12th Lunar Month        Wednesday      Severe Cold         
2072/1/21         2                       Thursday                           
2072/1/22         3                       Friday                             
2072/1/23         4                       Saturday                           
2072/1/24         5                       Sunday                             
2072/1/25         6                       Monday                             
2072/1/26         7                       Tuesday                            
2072/1/27         8                       Wednesday                          
2072/1/28         9                       Thursday                           
2072/1/29         10                      Friday                             
2072/1/30         11                      Saturday                           
2072/1/31         12                      Sunday                             
2072/2/1          13                      Monday                             
2072/2/2          14                      Tuesday                            
2072/2/3          15                      Wednesday                          
2072/2/4          16                      Thursday       Spring Commences    
2072/2/5          17                      Friday                             
2072/2/6          18                      Saturday                           
2072/2/7          19                      Sunday                             
2072/2/8          20                      Monday                             
2072/2/9          21                      Tuesday                            
2072/2/10         22                      Wednesday                          
2072/2/11         23                      Thursday                           
2072/2/12         24                      Friday                             
2072/2/13         25                      Saturday                           
2072/2/14         26                      Sunday                             
2072/2/15         27                      Monday                             
2072/2/16         28                      Tuesday                            
2072/2/17         29                      Wednesday                          
2072/2/18         30                      Thursday                           
2072/2/19         1st Lunar Month         Friday         Spring Showers      
2072/2/20         2                       Saturday                           
2072/2/21         3                       Sunday                             
2072/2/22         4                       Monday                             
2072/2/23         5                       Tuesday                            
2072/2/24         6                       Wednesday                          
2072/2/25         7                       Thursday                           
2072/2/26         8                       Friday                             
2072/2/27         9                       Saturday                           
2072/2/28         10                      Sunday                             
2072/2/29         11                      Monday                             
2072/3/1          12                      Tuesday                            
2072/3/2          13                      Wednesday                          
2072/3/3          14                      Thursday                           
2072/3/4          15                      Friday                             
2072/3/5          16                      Saturday       Insects Waken       
2072/3/6          17                      Sunday                             
2072/3/7          18                      Monday                             
2072/3/8          19                      Tuesday                            
2072/3/9          20                      Wednesday                          
2072/3/10         21                      Thursday                           
2072/3/11         22                      Friday                             
2072/3/12         23                      Saturday                           
2072/3/13         24                      Sunday                             
2072/3/14         25                      Monday                             
2072/3/15         26                      Tuesday                            
2072/3/16         27                      Wednesday                          
2072/3/17         28                      Thursday                           
2072/3/18         29                      Friday                             
2072/3/19         30                      Saturday                           
2072/3/20         2nd Lunar Month         Sunday         Vernal Equinox      
