Gregorian-Lunar Calendar Conversion Table of 2078 (Wu-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2078/1/1          18                      Saturday                           
2078/1/2          19                      Sunday                             
2078/1/3          20                      Monday                             
2078/1/4          21                      Tuesday                            
2078/1/5          22                      Wednesday      Moderate Cold       
2078/1/6          23                      Thursday                           
2078/1/7          24                      Friday                             
2078/1/8          25                      Saturday                           
2078/1/9          26                      Sunday                             
2078/1/10         27                      Monday                             
2078/1/11         28                      Tuesday                            
2078/1/12         29                      Wednesday                          
2078/1/13         30                      Thursday                           
2078/1/14         12th Lunar Month        Friday                             
2078/1/15         2                       Saturday                           
2078/1/16         3                       Sunday                             
2078/1/17         4                       Monday                             
2078/1/18         5                       Tuesday                            
2078/1/19         6                       Wednesday                          
2078/1/20         7                       Thursday       Severe Cold         
2078/1/21         8                       Friday                             
2078/1/22         9                       Saturday                           
2078/1/23         10                      Sunday                             
2078/1/24         11                      Monday                             
2078/1/25         12                      Tuesday                            
2078/1/26         13                      Wednesday                          
2078/1/27         14                      Thursday                           
2078/1/28         15                      Friday                             
2078/1/29         16                      Saturday                           
2078/1/30         17                      Sunday                             
2078/1/31         18                      Monday                             
2078/2/1          19                      Tuesday                            
2078/2/2          20                      Wednesday                          
2078/2/3          21                      Thursday       Spring Commences    
2078/2/4          22                      Friday                             
2078/2/5          23                      Saturday                           
2078/2/6          24                      Sunday                             
2078/2/7          25                      Monday                             
2078/2/8          26                      Tuesday                            
2078/2/9          27                      Wednesday                          
2078/2/10         28                      Thursday                           
2078/2/11         29                      Friday                             
2078/2/12         1st Lunar Month         Saturday                           
2078/2/13         2                       Sunday                             
2078/2/14         3                       Monday                             
2078/2/15         4                       Tuesday                            
2078/2/16         5                       Wednesday                          
2078/2/17         6                       Thursday                           
2078/2/18         7                       Friday         Spring Showers      
2078/2/19         8                       Saturday                           
2078/2/20         9                       Sunday                             
2078/2/21         10                      Monday                             
2078/2/22         11                      Tuesday                            
2078/2/23         12                      Wednesday                          
2078/2/24         13                      Thursday                           
2078/2/25         14                      Friday                             
2078/2/26         15                      Saturday                           
2078/2/27         16                      Sunday                             
2078/2/28         17                      Monday                             
2078/3/1          18                      Tuesday                            
2078/3/2          19                      Wednesday                          
2078/3/3          20                      Thursday                           
2078/3/4          21                      Friday                             
2078/3/5          22                      Saturday       Insects Waken       
2078/3/6          23                      Sunday                             
2078/3/7          24                      Monday                             
2078/3/8          25                      Tuesday                            
2078/3/9          26                      Wednesday                          
2078/3/10         27                      Thursday                           
2078/3/11         28                      Friday                             
2078/3/12         29                      Saturday                           
2078/3/13         30                      Sunday                             
2078/3/14         2nd Lunar Month         Monday                             
2078/3/15         2                       Tuesday                            
2078/3/16         3                       Wednesday                          
2078/3/17         4                       Thursday                           
2078/3/18         5                       Friday                             
2078/3/19         6                       Saturday                           
2078/3/20         7                       Sunday         Vernal Equinox      
2078/3/21         8                       Monday                             
2078/3/22         9                       Tuesday                            
2078/3/23         10                      Wednesday                          
2078/3/24         11                      Thursday                           
2078/3/25         12                      Friday                             
2078/3/26         13                      Saturday                           
2078/3/27         14                      Sunday                             
2078/3/28         15                      Monday                             
2078/3/29         16                      Tuesday                            
2078/3/30         17                      Wednesday                          
2078/3/31         18                      Thursday                           
2078/4/1          19                      Friday                             
2078/4/2          20                      Saturday                           
2078/4/3          21                      Sunday                             
2078/4/4          22                      Monday         Bright & Clear      
2078/4/5          23                      Tuesday                            
2078/4/6          24                      Wednesday                          
2078/4/7          25                      Thursday                           
2078/4/8          26                      Friday                             
2078/4/9          27                      Saturday                           
2078/4/10         28                      Sunday                             
2078/4/11         29                      Monday                             
2078/4/12         3rd Lunar Month         Tuesday                            
2078/4/13         2                       Wednesday                          
2078/4/14         3                       Thursday                           
2078/4/15         4                       Friday                             
2078/4/16         5                       Saturday                           
2078/4/17         6                       Sunday                             
2078/4/18         7                       Monday                             
2078/4/19         8                       Tuesday        Corn Rain           
2078/4/20         9                       Wednesday                          
2078/4/21         10                      Thursday                           
2078/4/22         11                      Friday                             
2078/4/23         12                      Saturday                           
2078/4/24         13                      Sunday                             
2078/4/25         14                      Monday                             
2078/4/26         15                      Tuesday                            
