Gregorian-Lunar Calendar Conversion Table of 2082 (Ren-yin  -  year of the Tiger)
Gregorian date    Lunar date              Day-of-week    Solar terms
2082/1/1          3                       Thursday                           
2082/1/2          4                       Friday                             
2082/1/3          5                       Saturday                           
2082/1/4          6                       Sunday                             
2082/1/5          7                       Monday         Moderate Cold       
2082/1/6          8                       Tuesday                            
2082/1/7          9                       Wednesday                          
2082/1/8          10                      Thursday                           
2082/1/9          11                      Friday                             
2082/1/10         12                      Saturday                           
2082/1/11         13                      Sunday                             
2082/1/12         14                      Monday                             
2082/1/13         15                      Tuesday                            
2082/1/14         16                      Wednesday                          
2082/1/15         17                      Thursday                           
2082/1/16         18                      Friday                             
2082/1/17         19                      Saturday                           
2082/1/18         20                      Sunday                             
2082/1/19         21                      Monday                             
2082/1/20         22                      Tuesday        Severe Cold         
2082/1/21         23                      Wednesday                          
2082/1/22         24                      Thursday                           
2082/1/23         25                      Friday                             
2082/1/24         26                      Saturday                           
2082/1/25         27                      Sunday                             
2082/1/26         28                      Monday                             
2082/1/27         29                      Tuesday                            
2082/1/28         30                      Wednesday                          
2082/1/29         1st Lunar Month         Thursday                           
2082/1/30         2                       Friday                             
2082/1/31         3                       Saturday                           
2082/2/1          4                       Sunday                             
2082/2/2          5                       Monday                             
2082/2/3          6                       Tuesday        Spring Commences    
2082/2/4          7                       Wednesday                          
2082/2/5          8                       Thursday                           
2082/2/6          9                       Friday                             
2082/2/7          10                      Saturday                           
2082/2/8          11                      Sunday                             
2082/2/9          12                      Monday                             
2082/2/10         13                      Tuesday                            
2082/2/11         14                      Wednesday                          
2082/2/12         15                      Thursday                           
2082/2/13         16                      Friday                             
2082/2/14         17                      Saturday                           
2082/2/15         18                      Sunday                             
2082/2/16         19                      Monday                             
2082/2/17         20                      Tuesday                            
2082/2/18         21                      Wednesday      Spring Showers      
2082/2/19         22                      Thursday                           
2082/2/20         23                      Friday                             
2082/2/21         24                      Saturday                           
2082/2/22         25                      Sunday                             
2082/2/23         26                      Monday                             
2082/2/24         27                      Tuesday                            
2082/2/25         28                      Wednesday                          
2082/2/26         29                      Thursday                           
2082/2/27         2nd Lunar Month         Friday                             
2082/2/28         2                       Saturday                           
2082/3/1          3                       Sunday                             
2082/3/2          4                       Monday                             
2082/3/3          5                       Tuesday                            
2082/3/4          6                       Wednesday                          
2082/3/5          7                       Thursday       Insects Waken       
2082/3/6          8                       Friday                             
2082/3/7          9                       Saturday                           
2082/3/8          10                      Sunday                             
