Gregorian-Lunar Calendar Conversion Table of 2083 (Gui-mao  -  year of the Rabbit)
Gregorian date    Lunar date              Day-of-week    Solar terms
2083/1/1          14                      Friday                             
2083/1/2          15                      Saturday                           
2083/1/3          16                      Sunday                             
2083/1/4          17                      Monday                             
2083/1/5          18                      Tuesday        Moderate Cold       
2083/1/6          19                      Wednesday                          
2083/1/7          20                      Thursday                           
2083/1/8          21                      Friday                             
2083/1/9          22                      Saturday                           
2083/1/10         23                      Sunday                             
2083/1/11         24                      Monday                             
2083/1/12         25                      Tuesday                            
2083/1/13         26                      Wednesday                          
2083/1/14         27                      Thursday                           
2083/1/15         28                      Friday                             
2083/1/16         29                      Saturday                           
2083/1/17         30                      Sunday                             
2083/1/18         12th Lunar Month        Monday                             
2083/1/19         2                       Tuesday                            
2083/1/20         3                       Wednesday      Severe Cold         
2083/1/21         4                       Thursday                           
2083/1/22         5                       Friday                             
2083/1/23         6                       Saturday                           
2083/1/24         7                       Sunday                             
2083/1/25         8                       Monday                             
2083/1/26         9                       Tuesday                            
2083/1/27         10                      Wednesday                          
2083/1/28         11                      Thursday                           
2083/1/29         12                      Friday                             
2083/1/30         13                      Saturday                           
2083/1/31         14                      Sunday                             
2083/2/1          15                      Monday                             
2083/2/2          16                      Tuesday                            
2083/2/3          17                      Wednesday      Spring Commences    
2083/2/4          18                      Thursday                           
2083/2/5          19                      Friday                             
2083/2/6          20                      Saturday                           
2083/2/7          21                      Sunday                             
2083/2/8          22                      Monday                             
2083/2/9          23                      Tuesday                            
2083/2/10         24                      Wednesday                          
2083/2/11         25                      Thursday                           
2083/2/12         26                      Friday                             
2083/2/13         27                      Saturday                           
2083/2/14         28                      Sunday                             
2083/2/15         29                      Monday                             
2083/2/16         30                      Tuesday                            
2083/2/17         1st Lunar Month         Wednesday                          
2083/2/18         2                       Thursday       Spring Showers      
2083/2/19         3                       Friday                             
2083/2/20         4                       Saturday                           
2083/2/21         5                       Sunday                             
2083/2/22         6                       Monday                             
2083/2/23         7                       Tuesday                            
2083/2/24         8                       Wednesday                          
2083/2/25         9                       Thursday                           
2083/2/26         10                      Friday                             
2083/2/27         11                      Saturday                           
2083/2/28         12                      Sunday                             
2083/3/1          13                      Monday                             
2083/3/2          14                      Tuesday                            
2083/3/3          15                      Wednesday                          
2083/3/4          16                      Thursday                           
2083/3/5          17                      Friday         Insects Waken       
2083/3/6          18                      Saturday                           
2083/3/7          19                      Sunday                             
2083/3/8          20                      Monday                             
2083/3/9          21                      Tuesday                            
2083/3/10         22                      Wednesday                          
2083/3/11         23                      Thursday                           
2083/3/12         24                      Friday                             
2083/3/13         25                      Saturday                           
2083/3/14         26                      Sunday                             
2083/3/15         27                      Monday                             
2083/3/16         28                      Tuesday                            
2083/3/17         29                      Wednesday                          
2083/3/18         2nd Lunar Month         Thursday                           
2083/3/19         2                       Friday                             
2083/3/20         3                       Saturday       Vernal Equinox      
2083/3/21         4                       Sunday                             
2083/3/22         5                       Monday                             
2083/3/23         6                       Tuesday                            
2083/3/24         7                       Wednesday                          
